relative_to,sender,receiver,operator,type,date,amount
Théodore-Alain Laroche,Théodore-Alain Laroche,Célina Imbert-Girard,moov,TRANSFER,2022-01-01,160600
Célina Imbert-Girard,Célina Imbert-Girard,Luc Bègue-Poulain,moov,TRANSFER,2022-01-08,318700
Luc Bègue-Poulain,Célina Imbert-Girard,Luc Bègue-Poulain,moov,RECEIPT,2022-01-08,318700
,,,moov,CASH_OUT,2022-01-15,41500
,,,moov,CASH_OUT,2022-01-23,9900
,,Guillaume Valentin-Fleury,moov,CASH_IN,2022-01-02,312300
,,Guillaume Valentin-Fleury,moov,CASH_IN,2022-01-22,134400
,,Yves Brunet,mtn,CASH_IN,2022-01-18,389000
,,Adrienne Delattre,moov,CASH_IN,2022-01-02,460600
Adrienne Delattre,Adrienne Delattre,Michelle-Hélène Sanchez,moov,TRANSFER,2022-01-05,181700
Michelle-Hélène Sanchez,Adrienne Delattre,Michelle-Hélène Sanchez,moov,RECEIPT,2022-01-05,181700
Adrienne Delattre,Susan Le Lejeune,Adrienne Delattre,moov,RECEIPT,2022-01-27,71700
Susan Le Lejeune,Susan Le Lejeune,Adrienne Delattre,moov,TRANSFER,2022-01-27,71700
,,,mtn,CASH_OUT,2022-01-17,465400
Roland Étienne,Roland Étienne,Alice Brunet du Pascal,mtn,TRANSFER,2022-01-20,353400
Alice Brunet du Pascal,Roland Étienne,Alice Brunet du Pascal,mtn,RECEIPT,2022-01-20,353400
Jacqueline Fernandez,Richard Bonnet,Jacqueline Fernandez,mtn,RECEIPT,2022-01-10,459500
Richard Bonnet,Richard Bonnet,Jacqueline Fernandez,mtn,TRANSFER,2022-01-10,459500
,,Jacqueline Fernandez,mtn,CASH_IN,2022-01-18,160400
Jacqueline Fernandez,Jacqueline Fernandez,Bertrand Delannoy,mtn,TRANSFER,2022-01-20,177300
Bertrand Delannoy,Jacqueline Fernandez,Bertrand Delannoy,mtn,RECEIPT,2022-01-20,177300
Hélène Diaz,Hélène Diaz,Thomas-Victor Regnier,mtn,TRANSFER,2022-01-10,154600
Thomas-Victor Regnier,Hélène Diaz,Thomas-Victor Regnier,mtn,RECEIPT,2022-01-10,154600
Hélène Diaz,Capucine-Dorothée Petit,Hélène Diaz,mtn,RECEIPT,2022-01-22,439600
Capucine-Dorothée Petit,Capucine-Dorothée Petit,Hélène Diaz,mtn,TRANSFER,2022-01-22,439600
,,,mtn,CASH_OUT,2022-01-23,285200
Mathilde du Clerc,Mathilde du Clerc,Alfred Meunier,moov,TRANSFER,2022-01-08,361900
Alfred Meunier,Mathilde du Clerc,Alfred Meunier,moov,RECEIPT,2022-01-08,361900
Mathilde du Clerc,Isabelle Loiseau Le Pineau,Mathilde du Clerc,moov,RECEIPT,2022-01-13,300900
Isabelle Loiseau Le Pineau,Isabelle Loiseau Le Pineau,Mathilde du Clerc,moov,TRANSFER,2022-01-13,300900
,,,moov,CASH_OUT,2022-01-23,155900
,,,moov,CASH_OUT,2022-01-24,444500
Mathilde du Clerc,Mathilde du Clerc,Robert Martin,moov,TRANSFER,2022-01-26,225000
Robert Martin,Mathilde du Clerc,Robert Martin,moov,RECEIPT,2022-01-26,225000
,,Marie Letellier,mtn,CASH_IN,2022-01-05,231900
,,Marie Letellier,mtn,CASH_IN,2022-01-08,153300
,,,mtn,CASH_OUT,2022-01-24,260500
,,,mtn,CASH_OUT,2022-01-04,281300
Michelle Lebreton,Théodore-Alain Laroche,Michelle Lebreton,mtn,RECEIPT,2022-01-05,81200
Théodore-Alain Laroche,Théodore-Alain Laroche,Michelle Lebreton,mtn,TRANSFER,2022-01-05,81200
Michelle Lebreton,Gilbert-Stéphane Blanchet,Michelle Lebreton,mtn,RECEIPT,2022-01-08,32200
Gilbert-Stéphane Blanchet,Gilbert-Stéphane Blanchet,Michelle Lebreton,mtn,TRANSFER,2022-01-08,32200
,,Michelle Lebreton,mtn,CASH_IN,2022-01-11,499400
,,,mtn,CASH_OUT,2022-01-23,376700
,,Timothée Lemonnier,moov,CASH_IN,2022-01-10,57400
,,,moov,CASH_OUT,2022-01-12,426700
,,Henri-Gilles Lefort,mtn,CASH_IN,2022-01-07,376500
,,,mtn,CASH_OUT,2022-01-21,248800
,,,moov,CASH_OUT,2022-01-02,296600
Aurore-Audrey Hernandez,René du Gimenez,Aurore-Audrey Hernandez,moov,RECEIPT,2022-01-04,164200
René du Gimenez,René du Gimenez,Aurore-Audrey Hernandez,moov,TRANSFER,2022-01-04,164200
Aurore-Audrey Hernandez,Aurore-Audrey Hernandez,Olivie Meyer,moov,TRANSFER,2022-01-22,53100
Olivie Meyer,Aurore-Audrey Hernandez,Olivie Meyer,moov,RECEIPT,2022-01-22,53100
Aurore-Audrey Hernandez,Martine Gimenez,Aurore-Audrey Hernandez,moov,RECEIPT,2022-01-27,484300
Martine Gimenez,Martine Gimenez,Aurore-Audrey Hernandez,moov,TRANSFER,2022-01-27,484300
Richard Bonnet,Théodore-Alain Laroche,Richard Bonnet,moov,RECEIPT,2022-01-12,67300
Théodore-Alain Laroche,Théodore-Alain Laroche,Richard Bonnet,moov,TRANSFER,2022-01-12,67300
Richard Bonnet,Richard Bonnet,René de la Descamps,moov,TRANSFER,2022-01-22,190600
René de la Descamps,Richard Bonnet,René de la Descamps,moov,RECEIPT,2022-01-22,190600
Isabelle Loiseau Le Pineau,Isabelle Loiseau Le Pineau,Marc-Raymond Hamel,moov,TRANSFER,2022-01-24,65100
Marc-Raymond Hamel,Isabelle Loiseau Le Pineau,Marc-Raymond Hamel,moov,RECEIPT,2022-01-24,65100
,,Hugues Maury,moov,CASH_IN,2022-01-07,367300
,,,moov,CASH_OUT,2022-01-01,71300
,,,moov,CASH_OUT,2022-01-03,257400
,,Alfred Meunier,moov,CASH_IN,2022-01-05,200200
Alfred Meunier,Alfred Meunier,Margot Hervé,moov,TRANSFER,2022-01-05,268700
Margot Hervé,Alfred Meunier,Margot Hervé,moov,RECEIPT,2022-01-05,268700
Alfred Meunier,Claude Lemaire,Alfred Meunier,moov,RECEIPT,2022-01-07,467400
Claude Lemaire,Claude Lemaire,Alfred Meunier,moov,TRANSFER,2022-01-07,467400
,,Alfred Meunier,moov,CASH_IN,2022-01-08,139100
,,,moov,CASH_OUT,2022-01-09,10900
,,,moov,CASH_OUT,2022-01-09,226700
,,Alfred Meunier,moov,CASH_IN,2022-01-10,483400
Alfred Meunier,Matthieu-Étienne Legendre,Alfred Meunier,moov,RECEIPT,2022-01-10,185900
Matthieu-Étienne Legendre,Matthieu-Étienne Legendre,Alfred Meunier,moov,TRANSFER,2022-01-10,185900
,,,moov,CASH_OUT,2022-01-13,444300
Alfred Meunier,Alfred Meunier,Auguste du Jacob,moov,TRANSFER,2022-01-14,239500
Auguste du Jacob,Alfred Meunier,Auguste du Jacob,moov,RECEIPT,2022-01-14,239500
Alfred Meunier,Alfred Meunier,Augustin Chevallier,moov,TRANSFER,2022-01-14,410800
Augustin Chevallier,Alfred Meunier,Augustin Chevallier,moov,RECEIPT,2022-01-14,410800
Alfred Meunier,Alfred Meunier,Olivier Dumont,moov,TRANSFER,2022-01-15,421800
Olivier Dumont,Alfred Meunier,Olivier Dumont,moov,RECEIPT,2022-01-15,421800
Alfred Meunier,Alfred Meunier,Pauline Collin-Lesage,moov,TRANSFER,2022-01-17,312000
Pauline Collin-Lesage,Alfred Meunier,Pauline Collin-Lesage,moov,RECEIPT,2022-01-17,312000
,,,moov,CASH_OUT,2022-01-17,280500
Alfred Meunier,Alfred Meunier,Daniel Courtois,moov,TRANSFER,2022-01-23,75400
Daniel Courtois,Alfred Meunier,Daniel Courtois,moov,RECEIPT,2022-01-23,75400
Alfred Meunier,Augustin Chevallier,Alfred Meunier,moov,RECEIPT,2022-01-23,443700
Augustin Chevallier,Augustin Chevallier,Alfred Meunier,moov,TRANSFER,2022-01-23,443700
,,,moov,CASH_OUT,2022-01-24,201700
Alfred Meunier,Alfred Meunier,Alice Brunet du Pascal,moov,TRANSFER,2022-01-24,444600
Alice Brunet du Pascal,Alfred Meunier,Alice Brunet du Pascal,moov,RECEIPT,2022-01-24,444600
,,Alfred Meunier,moov,CASH_IN,2022-01-24,188000
Alfred Meunier,Alfred Meunier,René du Gimenez,moov,TRANSFER,2022-01-26,204800
René du Gimenez,Alfred Meunier,René du Gimenez,moov,RECEIPT,2022-01-26,204800
Alfred Meunier,Capucine-Dorothée Petit,Alfred Meunier,moov,RECEIPT,2022-01-26,480000
Capucine-Dorothée Petit,Capucine-Dorothée Petit,Alfred Meunier,moov,TRANSFER,2022-01-26,480000
,,Alfred Meunier,moov,CASH_IN,2022-01-27,195000
Eugène Giraud,Eugène Giraud,Matthieu-Étienne Legendre,moov,TRANSFER,2022-01-01,286200
Matthieu-Étienne Legendre,Eugène Giraud,Matthieu-Étienne Legendre,moov,RECEIPT,2022-01-01,286200
Eugène Giraud,Eugène Giraud,Michelle Roy,moov,TRANSFER,2022-01-01,176700
Michelle Roy,Eugène Giraud,Michelle Roy,moov,RECEIPT,2022-01-01,176700
Eugène Giraud,Franck de Joubert,Eugène Giraud,moov,RECEIPT,2022-01-01,145800
Franck de Joubert,Franck de Joubert,Eugène Giraud,moov,TRANSFER,2022-01-01,145800
Eugène Giraud,Eugène Giraud,Daniel Courtois,moov,TRANSFER,2022-01-02,482800
Daniel Courtois,Eugène Giraud,Daniel Courtois,moov,RECEIPT,2022-01-02,482800
Eugène Giraud,Georges Fischer,Eugène Giraud,moov,RECEIPT,2022-01-03,221300
Georges Fischer,Georges Fischer,Eugène Giraud,moov,TRANSFER,2022-01-03,221300
Eugène Giraud,Eugène Giraud,Victoire Lemoine,moov,TRANSFER,2022-01-03,264600
Victoire Lemoine,Eugène Giraud,Victoire Lemoine,moov,RECEIPT,2022-01-03,264600
,,Eugène Giraud,moov,CASH_IN,2022-01-03,159200
,,,moov,CASH_OUT,2022-01-04,485900
,,,moov,CASH_OUT,2022-01-06,467500
Eugène Giraud,Alice Brunet du Pascal,Eugène Giraud,moov,RECEIPT,2022-01-10,393300
Alice Brunet du Pascal,Alice Brunet du Pascal,Eugène Giraud,moov,TRANSFER,2022-01-10,393300
,,,moov,CASH_OUT,2022-01-10,101400
,,,moov,CASH_OUT,2022-01-10,256000
,,Eugène Giraud,moov,CASH_IN,2022-01-11,28700
,,Eugène Giraud,moov,CASH_IN,2022-01-13,113200
Eugène Giraud,Eugène Giraud,Luc Clerc,moov,TRANSFER,2022-01-14,302500
Luc Clerc,Eugène Giraud,Luc Clerc,moov,RECEIPT,2022-01-14,302500
Eugène Giraud,Mathilde Petitjean,Eugène Giraud,moov,RECEIPT,2022-01-15,44700
Mathilde Petitjean,Mathilde Petitjean,Eugène Giraud,moov,TRANSFER,2022-01-15,44700
,,,moov,CASH_OUT,2022-01-15,210000
Eugène Giraud,Eugène Giraud,Marc-Raymond Hamel,moov,TRANSFER,2022-01-16,282600
Marc-Raymond Hamel,Eugène Giraud,Marc-Raymond Hamel,moov,RECEIPT,2022-01-16,282600
,,,moov,CASH_OUT,2022-01-16,409300
Eugène Giraud,Raymond Barbier,Eugène Giraud,moov,RECEIPT,2022-01-17,259700
Raymond Barbier,Raymond Barbier,Eugène Giraud,moov,TRANSFER,2022-01-17,259700
Eugène Giraud,Eugène Giraud,Michel-François Pineau,moov,TRANSFER,2022-01-17,371200
Michel-François Pineau,Eugène Giraud,Michel-François Pineau,moov,RECEIPT,2022-01-17,371200
,,Eugène Giraud,moov,CASH_IN,2022-01-19,14200
,,,moov,CASH_OUT,2022-01-19,210700
Eugène Giraud,Susan Le Lejeune,Eugène Giraud,moov,RECEIPT,2022-01-21,487500
Susan Le Lejeune,Susan Le Lejeune,Eugène Giraud,moov,TRANSFER,2022-01-21,487500
Eugène Giraud,Margot Hervé,Eugène Giraud,moov,RECEIPT,2022-01-22,315200
Margot Hervé,Margot Hervé,Eugène Giraud,moov,TRANSFER,2022-01-22,315200
,,Eugène Giraud,moov,CASH_IN,2022-01-23,59300
,,,moov,CASH_OUT,2022-01-24,149900
Eugène Giraud,Eugène Giraud,Martine Gimenez,moov,TRANSFER,2022-01-24,169000
Martine Gimenez,Eugène Giraud,Martine Gimenez,moov,RECEIPT,2022-01-24,169000
Eugène Giraud,Alexandre du Jacquet,Eugène Giraud,moov,RECEIPT,2022-01-25,493300
Alexandre du Jacquet,Alexandre du Jacquet,Eugène Giraud,moov,TRANSFER,2022-01-25,493300
Michelle-Hélène Sanchez,Marc-Raymond Hamel,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-02,351400
Marc-Raymond Hamel,Marc-Raymond Hamel,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-02,351400
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-03,481400
,,,mtn,CASH_OUT,2022-01-05,221200
Michelle-Hélène Sanchez,Léon Mary,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-06,263100
Léon Mary,Léon Mary,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-06,263100
,,,mtn,CASH_OUT,2022-01-06,133500
,,,mtn,CASH_OUT,2022-01-06,433900
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-07,247000
Michelle-Hélène Sanchez,Margot Hervé,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-09,368800
Margot Hervé,Margot Hervé,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-09,368800
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-09,108000
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Bertrand-Benoît Pereira,mtn,TRANSFER,2022-01-09,294900
Bertrand-Benoît Pereira,Michelle-Hélène Sanchez,Bertrand-Benoît Pereira,mtn,RECEIPT,2022-01-09,294900
,,,mtn,CASH_OUT,2022-01-11,339800
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-11,453500
,,,mtn,CASH_OUT,2022-01-12,430500
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Raymond Barbier,mtn,TRANSFER,2022-01-12,148400
Raymond Barbier,Michelle-Hélène Sanchez,Raymond Barbier,mtn,RECEIPT,2022-01-12,148400
Michelle-Hélène Sanchez,Pauline Collin-Lesage,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-13,395400
Pauline Collin-Lesage,Pauline Collin-Lesage,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-13,395400
Michelle-Hélène Sanchez,Robert Martin,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-14,491000
Robert Martin,Robert Martin,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-14,491000
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-15,435200
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-17,81200
,,Michelle-Hélène Sanchez,mtn,CASH_IN,2022-01-17,439100
Michelle-Hélène Sanchez,Olivie Dupuis,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-18,165400
Olivie Dupuis,Olivie Dupuis,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-18,165400
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Gilbert-Stéphane Blanchet,mtn,TRANSFER,2022-01-20,259100
Gilbert-Stéphane Blanchet,Michelle-Hélène Sanchez,Gilbert-Stéphane Blanchet,mtn,RECEIPT,2022-01-20,259100
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Luc Bègue-Poulain,mtn,TRANSFER,2022-01-20,180100
Luc Bègue-Poulain,Michelle-Hélène Sanchez,Luc Bègue-Poulain,mtn,RECEIPT,2022-01-20,180100
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Olivier Dumont,mtn,TRANSFER,2022-01-24,254100
Olivier Dumont,Michelle-Hélène Sanchez,Olivier Dumont,mtn,RECEIPT,2022-01-24,254100
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,Olivie Dumont,mtn,TRANSFER,2022-01-27,291800
Olivie Dumont,Michelle-Hélène Sanchez,Olivie Dumont,mtn,RECEIPT,2022-01-27,291800
,,,mtn,CASH_OUT,2022-01-27,281200
Michelle-Hélène Sanchez,Gabrielle Mendès,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-27,368000
Gabrielle Mendès,Gabrielle Mendès,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-27,368000
Michelle-Hélène Sanchez,Michelle-Hélène Sanchez,René du Gimenez,mtn,TRANSFER,2022-01-27,490500
René du Gimenez,Michelle-Hélène Sanchez,René du Gimenez,mtn,RECEIPT,2022-01-27,490500
Michelle-Hélène Sanchez,Georges Bouvet,Michelle-Hélène Sanchez,mtn,RECEIPT,2022-01-27,392500
Georges Bouvet,Georges Bouvet,Michelle-Hélène Sanchez,mtn,TRANSFER,2022-01-27,392500
,,,moov,CASH_OUT,2022-01-03,69500
,,,moov,CASH_OUT,2022-01-04,284900
,,Olivie Dumont,moov,CASH_IN,2022-01-08,16900
Olivie Dumont,Olivie Dumont,Michel-François Pineau,moov,TRANSFER,2022-01-09,270800
Michel-François Pineau,Olivie Dumont,Michel-François Pineau,moov,RECEIPT,2022-01-09,270800
Olivie Dumont,Olivie Dumont,Rémy Renault de Laroche,moov,TRANSFER,2022-01-10,411000
Rémy Renault de Laroche,Olivie Dumont,Rémy Renault de Laroche,moov,RECEIPT,2022-01-10,411000
,,,moov,CASH_OUT,2022-01-11,149600
,,Olivie Dumont,moov,CASH_IN,2022-01-15,3000
,,Olivie Dumont,moov,CASH_IN,2022-01-15,228200
Olivie Dumont,Olivie Dumont,Pauline Collin-Lesage,moov,TRANSFER,2022-01-17,188800
Pauline Collin-Lesage,Olivie Dumont,Pauline Collin-Lesage,moov,RECEIPT,2022-01-17,188800
Olivie Dumont,Olivie Dumont,Honoré De Sousa-Bruneau,moov,TRANSFER,2022-01-18,160400
Honoré De Sousa-Bruneau,Olivie Dumont,Honoré De Sousa-Bruneau,moov,RECEIPT,2022-01-18,160400
,,Olivie Dumont,moov,CASH_IN,2022-01-18,283000
Olivie Dumont,Marc-Raymond Hamel,Olivie Dumont,moov,RECEIPT,2022-01-20,228100
Marc-Raymond Hamel,Marc-Raymond Hamel,Olivie Dumont,moov,TRANSFER,2022-01-20,228100
Olivie Dumont,Bertrand Delannoy,Olivie Dumont,moov,RECEIPT,2022-01-20,162800
Bertrand Delannoy,Bertrand Delannoy,Olivie Dumont,moov,TRANSFER,2022-01-20,162800
,,Olivie Dumont,moov,CASH_IN,2022-01-21,283600
Olivie Dumont,Olivie Dumont,Matthieu-Étienne Legendre,moov,TRANSFER,2022-01-22,177000
Matthieu-Étienne Legendre,Olivie Dumont,Matthieu-Étienne Legendre,moov,RECEIPT,2022-01-22,177000
,,,moov,CASH_OUT,2022-01-22,431800
,,,moov,CASH_OUT,2022-01-23,302600
Olivie Dumont,Diane Lemoine,Olivie Dumont,moov,RECEIPT,2022-01-23,470400
Diane Lemoine,Diane Lemoine,Olivie Dumont,moov,TRANSFER,2022-01-23,470400
,,,moov,CASH_OUT,2022-01-25,61000
Olivie Dumont,Caroline Roche,Olivie Dumont,moov,RECEIPT,2022-01-25,33500
Caroline Roche,Caroline Roche,Olivie Dumont,moov,TRANSFER,2022-01-25,33500
,,,moov,CASH_OUT,2022-01-26,88100
Capucine-Dorothée Petit,Jules Le Gosselin,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-03,314100
Jules Le Gosselin,Jules Le Gosselin,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-03,314100
Capucine-Dorothée Petit,Luc Bègue-Poulain,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-03,378100
Luc Bègue-Poulain,Luc Bègue-Poulain,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-03,378100
,,,mtn,CASH_OUT,2022-01-03,99200
,,,mtn,CASH_OUT,2022-01-04,382200
,,,mtn,CASH_OUT,2022-01-04,262500
,,,mtn,CASH_OUT,2022-01-04,70600
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-08,165800
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-09,59400
,,,mtn,CASH_OUT,2022-01-10,15400
,,,mtn,CASH_OUT,2022-01-10,311600
,,,mtn,CASH_OUT,2022-01-11,115400
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-13,224100
Capucine-Dorothée Petit,Capucine-Dorothée Petit,Robert Martin,mtn,TRANSFER,2022-01-14,441200
Robert Martin,Capucine-Dorothée Petit,Robert Martin,mtn,RECEIPT,2022-01-14,441200
,,,mtn,CASH_OUT,2022-01-14,51600
Capucine-Dorothée Petit,Christophe Rey,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-15,78300
Christophe Rey,Christophe Rey,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-15,78300
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-18,364500
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-19,215900
Capucine-Dorothée Petit,Franck de Joubert,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-19,67200
Franck de Joubert,Franck de Joubert,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-19,67200
Capucine-Dorothée Petit,Thomas-Victor Regnier,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-21,354400
Thomas-Victor Regnier,Thomas-Victor Regnier,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-21,354400
Capucine-Dorothée Petit,Olivie Meyer,Capucine-Dorothée Petit,mtn,RECEIPT,2022-01-22,468400
Olivie Meyer,Olivie Meyer,Capucine-Dorothée Petit,mtn,TRANSFER,2022-01-22,468400
,,Capucine-Dorothée Petit,mtn,CASH_IN,2022-01-23,309400
Capucine-Dorothée Petit,Capucine-Dorothée Petit,Pauline Collin-Lesage,mtn,TRANSFER,2022-01-25,188300
Pauline Collin-Lesage,Capucine-Dorothée Petit,Pauline Collin-Lesage,mtn,RECEIPT,2022-01-25,188300
Capucine-Dorothée Petit,Capucine-Dorothée Petit,Léon Gallet,mtn,TRANSFER,2022-01-26,358700
Léon Gallet,Capucine-Dorothée Petit,Léon Gallet,mtn,RECEIPT,2022-01-26,358700
Colette Robert-Lambert,Jacques Gonzalez-Teixeira,Colette Robert-Lambert,mtn,RECEIPT,2022-01-02,303500
Jacques Gonzalez-Teixeira,Jacques Gonzalez-Teixeira,Colette Robert-Lambert,mtn,TRANSFER,2022-01-02,303500
Colette Robert-Lambert,Susan Le Lejeune,Colette Robert-Lambert,mtn,RECEIPT,2022-01-03,426300
Susan Le Lejeune,Susan Le Lejeune,Colette Robert-Lambert,mtn,TRANSFER,2022-01-03,426300
Colette Robert-Lambert,Émilie de la Adam,Colette Robert-Lambert,mtn,RECEIPT,2022-01-05,372300
Émilie de la Adam,Émilie de la Adam,Colette Robert-Lambert,mtn,TRANSFER,2022-01-05,372300
,,Colette Robert-Lambert,mtn,CASH_IN,2022-01-05,442900
,,,mtn,CASH_OUT,2022-01-05,278500
Colette Robert-Lambert,Honoré De Sousa-Bruneau,Colette Robert-Lambert,mtn,RECEIPT,2022-01-06,339800
Honoré De Sousa-Bruneau,Honoré De Sousa-Bruneau,Colette Robert-Lambert,mtn,TRANSFER,2022-01-06,339800
,,Colette Robert-Lambert,mtn,CASH_IN,2022-01-07,255800
Colette Robert-Lambert,Olivie Meyer,Colette Robert-Lambert,mtn,RECEIPT,2022-01-09,408200
Olivie Meyer,Olivie Meyer,Colette Robert-Lambert,mtn,TRANSFER,2022-01-09,408200
Colette Robert-Lambert,Colette Robert-Lambert,Rémy Renault de Laroche,mtn,TRANSFER,2022-01-10,320600
Rémy Renault de Laroche,Colette Robert-Lambert,Rémy Renault de Laroche,mtn,RECEIPT,2022-01-10,320600
,,Colette Robert-Lambert,mtn,CASH_IN,2022-01-11,287400
Colette Robert-Lambert,Colette Robert-Lambert,Marc-Raymond Hamel,mtn,TRANSFER,2022-01-12,88800
Marc-Raymond Hamel,Colette Robert-Lambert,Marc-Raymond Hamel,mtn,RECEIPT,2022-01-12,88800
Colette Robert-Lambert,Colette Robert-Lambert,Jacques Gonzalez-Teixeira,mtn,TRANSFER,2022-01-13,369900
Jacques Gonzalez-Teixeira,Colette Robert-Lambert,Jacques Gonzalez-Teixeira,mtn,RECEIPT,2022-01-13,369900
,,,mtn,CASH_OUT,2022-01-14,432800
