Nom,Age,Type_d_infraction,Infraction,Date_d_infraction
Arthur Fabre,46.0,Contraventions,Ordre administratif et judiciaire,2011-01-08
Manon Gauthier,65.0,Délits,Atteintes à l'environnement,2009-02-22
Manon Gauthier,65.0,Crimes,Homicides volontaires,1987-11-30
Manon Gauthier,65.0,Délits,Circulation routière,2020-02-17
Manon Gauthier,65.0,Délits,Infractions sur les stupéfiants,1985-10-10
Manon Gauthier,65.0,Contraventions,Atteintes aux moeurs,2005-10-20
Manon Gauthier,65.0,Crimes,"Vols, recels, destructions",2015-08-21
Manon Gauthier,65.0,Crimes,Atteintes a la surete publique,2005-10-08
Manon Gauthier,65.0,Crimes,Atteintes a la surete publique,1999-04-29
Pierre Gérard,27.0,Contraventions,Ordre administratif et judiciaire,2016-05-08
Pierre Gérard,27.0,Délits,Atteintes aux moeurs,2014-07-16
Pierre Gérard,27.0,Délits,Commerce et transport d'armes,2020-05-14
Pierre Gérard,27.0,Crimes,Coups et violences volontaires,2019-01-04
Pierre Gérard,27.0,Contraventions,Atteintes aux biens,2017-02-09
Pierre Gérard,27.0,Délits,Atteintes à l'environnement,2016-10-03
Pierre Gérard,27.0,Contraventions,Ordre administratif et judiciaire,2015-06-25
Pierre Gérard,27.0,Contraventions,Atteintes à l'ordre économique,2021-04-17
Pierre Gérard,27.0,Contraventions,Atteintes à la sûreté publique,2015-05-01
Pierre Gérard,27.0,Délits,Travail et sécurité sociale,2014-09-28
Colette Weiss du Loiseau,90.0,Contraventions,Infractions en matière de transport,1953-05-20
Colette Weiss du Loiseau,90.0,Délits,Atteintes à la famille,2018-11-14
Colette Weiss du Loiseau,90.0,Délits,Atteintes aux moeurs,2015-02-15
Guy Diallo,38.0,Contraventions,Ordre administratif et judiciaire,2014-02-26
Guy Diallo,38.0,Délits,"Législation sur la concurrence, les prix",2015-12-30
Guy Diallo,38.0,Contraventions,Ordre administratif et judiciaire,2003-02-11
Guy Diallo,38.0,Délits,Commerce et transport d'armes,2015-11-10
Guy Diallo,38.0,Crimes,Coups et violences volontaires,2014-11-08
Guy Diallo,38.0,Contraventions,Atteintes à l'environnement,2007-05-05
Guy Diallo,38.0,Crimes,Atteintes a la surete publique,2013-08-14
Guy Diallo,38.0,Délits,Destructions - dégradations,2006-11-11
Guy Diallo,38.0,Crimes,Homicides volontaires,2018-01-14
Guy Diallo,38.0,Contraventions,Travail et sécurité sociale,2016-07-30
Théodore Bertin,78.0,Contraventions,Atteintes à l'ordre économique,2007-06-30
Théodore Bertin,78.0,Contraventions,Coups et violences volontaires,1998-04-04
Théodore Bertin,78.0,Crimes,Atteintes a la surete publique,1975-07-04
François Barthelemy,29.0,Contraventions,Autres atteintes aux personnes,2021-11-02
François Barthelemy,29.0,Crimes,Coups et violences volontaires,2018-02-28
François Barthelemy,29.0,Crimes,"Vols, recels, destructions",2020-08-21
François Barthelemy,29.0,Crimes,"Vols, recels, destructions",2019-12-11
François Barthelemy,29.0,Délits,Autres infractions à la santé publique,2019-09-27
François Barthelemy,29.0,Délits,Autres infractions à la santé publique,2020-04-21
François Barthelemy,29.0,Crimes,Atteintes a la surete publique,2019-03-11
François Barthelemy,29.0,Crimes,"Vols, recels, destructions",2015-03-01
François Barthelemy,29.0,Délits,"Législation sur la concurrence, les prix",2020-09-11
Marcelle Paris,89.0,Contraventions,Atteintes à l'ordre économique,2011-03-04
Brigitte Hardy,75.0,Délits,Blessures involontaires,2002-09-15
Roger Rocher,47.0,Délits,Travail et sécurité sociale,1997-04-04
Roger Rocher,47.0,Crimes,"Vols, recels, destructions",2008-05-14
Roger Rocher,47.0,Délits,Blessures involontaires,2012-01-10
Roger Rocher,47.0,Délits,"Législation sur la concurrence, les prix",2006-10-10
Roger Rocher,47.0,Crimes,Homicides volontaires,2006-08-29
Roger Rocher,47.0,Délits,Vols - recels,2006-10-18
Roger Rocher,47.0,Contraventions,Infractions en matière de transport,2000-11-29
Roger Rocher,47.0,Délits,Circulation routière,1996-05-19
Michelle Rocher du Rolland,57.0,Crimes,Atteintes a la surete publique,1988-09-29
Christophe Laurent de la Ledoux,43.0,Délits,Police des étrangers - nomades,2008-02-27
Christophe Laurent de la Ledoux,43.0,Contraventions,Atteintes à l'ordre économique,2011-03-23
Christophe Laurent de la Ledoux,43.0,Contraventions,Atteintes à la sûreté publique,2021-03-16
Christophe Laurent de la Ledoux,43.0,Contraventions,Coups et violences volontaires,1999-07-25
Christophe Laurent de la Ledoux,43.0,Crimes,Coups et violences volontaires,2020-12-11
Christophe Laurent de la Ledoux,43.0,Contraventions,Autres atteintes aux personnes,2012-02-20
Christophe Laurent de la Ledoux,43.0,Contraventions,Atteintes à l'environnement,2022-04-16
Christophe Laurent de la Ledoux,43.0,Crimes,Homicides volontaires,1998-09-09
Christophe Laurent de la Ledoux,43.0,Contraventions,Coups et violences volontaires,2018-09-14
Gilles-Lucas Muller,47.0,Contraventions,Coups et violences volontaires,2013-11-21
Gilles-Lucas Muller,47.0,Crimes,Coups et violences volontaires,2020-11-27
Gilles-Lucas Muller,47.0,Contraventions,Coups et violences volontaires,2005-01-18
Joseph Lévêque de Gomez,68.0,Crimes,Atteintes a la surete publique,2002-01-14
Joseph Lévêque de Gomez,68.0,Contraventions,Infractions en matière de transport,2019-02-17
Joseph Lévêque de Gomez,68.0,Crimes,"Vols, recels, destructions",2005-01-15
Joseph Lévêque de Gomez,68.0,Délits,Transport,1988-07-26
Joseph Lévêque de Gomez,68.0,Contraventions,Autres atteintes aux personnes,2007-08-02
Joseph Lévêque de Gomez,68.0,Contraventions,Coups et violences volontaires,1973-06-10
Joseph Lévêque de Gomez,68.0,Contraventions,Blessures involontaires,1982-09-16
Claudine Vallet,75.0,Contraventions,Ordre administratif et judiciaire,2011-10-23
Claudine Vallet,75.0,Contraventions,Autres atteintes aux personnes,1999-11-21
Henriette du Mary,41.0,Contraventions,Ordre administratif et judiciaire,2022-04-09
Henriette du Mary,41.0,Crimes,Coups et violences volontaires,2006-12-23
Henriette du Mary,41.0,Contraventions,Ordre administratif et judiciaire,2012-01-14
Henriette du Mary,41.0,Crimes,Atteintes a la surete publique,2000-04-15
Henriette du Mary,41.0,Crimes,Atteintes a la surete publique,2007-12-01
Henriette du Mary,41.0,Crimes,Homicides volontaires,2001-11-15
Gabriel Ferreira-Michel,21.0,Contraventions,Atteintes à la sûreté publique,2021-12-08
Gabriel Ferreira-Michel,21.0,Délits,Vols - recels,2020-11-17
Aimé Maréchal,24.0,Délits,Infractions militaires,2019-05-10
Léon Hervé,39.0,Contraventions,Blessures involontaires,2007-12-03
Léon Hervé,39.0,Contraventions,Coups et violences volontaires,2008-11-07
Léon Hervé,39.0,Contraventions,Atteintes aux moeurs,2020-12-28
Léon Hervé,39.0,Délits,Atteintes aux moeurs,2014-01-18
Léon Hervé,39.0,Contraventions,Atteintes aux biens,2008-02-23
Pauline Blanc-Barbier,52.0,Crimes,Atteintes a la surete publique,2021-01-12
Pauline Blanc-Barbier,52.0,Contraventions,Ordre administratif et judiciaire,2020-02-05
Pauline Blanc-Barbier,52.0,Crimes,"Vols, recels, destructions",1990-06-09
Eugène Ribeiro,52.0,Contraventions,Atteintes aux moeurs,2008-02-24
Eugène Ribeiro,52.0,Crimes,Coups et violences volontaires,1993-07-14
Susanne de la Lelièvre,35.0,Crimes,Atteintes a la surete publique,2019-01-01
Susanne de la Lelièvre,35.0,Contraventions,Atteintes à la santé,2006-07-04
Susanne de la Lelièvre,35.0,Délits,Autres atteintes à la sûreté publique,2020-04-07
Susanne de la Lelièvre,35.0,Délits,Atteintes aux moeurs,2021-02-15
Susanne de la Lelièvre,35.0,Crimes,Coups et violences volontaires,2012-12-15
Susanne de la Lelièvre,35.0,Crimes,Atteintes a la surete publique,2021-08-19
Susanne de la Lelièvre,35.0,Crimes,Coups et violences volontaires,2017-11-15
René Brunet,51.0,Délits,Coups et violences volontaires,1995-08-09
René Brunet,51.0,Crimes,Atteintes a la surete publique,1994-03-09
René Brunet,51.0,Contraventions,Coups et violences volontaires,2006-08-09
René Brunet,51.0,Contraventions,Atteintes aux moeurs,2006-02-02
René Brunet,51.0,Délits,Blessures involontaires,2001-10-16
René Brunet,51.0,Crimes,Homicides volontaires,2004-03-17
René Brunet,51.0,Crimes,Coups et violences volontaires,2017-09-02
Adrien Blin,84.0,Contraventions,Coups et violences volontaires,1993-11-03
Adrien Blin,84.0,Délits,Destructions - dégradations,1962-01-05
Adrien Blin,84.0,Crimes,Atteintes a la surete publique,1957-06-12
Christine Mary,47.0,Délits,Atteintes à la famille,2003-08-19
Christine Mary,47.0,Contraventions,Autres atteintes aux personnes,2014-07-02
Christine Mary,47.0,Contraventions,Atteintes à l'environnement,2019-06-19
Christine Mary,47.0,Délits,Escroqueries - abus de confiance,1996-12-12
Christine Mary,47.0,Délits,Blessures involontaires,2020-09-23
Christine Mary,47.0,Délits,Circulation routière,2006-05-08
Christine Mary,47.0,Crimes,Homicides volontaires,2000-06-22
Christine Mary,47.0,Délits,"Législation sur la concurrence, les prix",1994-01-10
Sébastien du Guillet,49.0,Crimes,Coups et violences volontaires,2016-01-08
Sébastien du Guillet,49.0,Délits,Police des étrangers - nomades,2020-07-21
Sébastien du Guillet,49.0,Crimes,Atteintes a la surete publique,2020-01-12
Sébastien du Guillet,49.0,Crimes,"Vols, recels, destructions",1996-05-08
Sébastien du Guillet,49.0,Délits,Commerce et transport d'armes,2014-11-14
Sébastien du Guillet,49.0,Crimes,Coups et violences volontaires,2019-03-24
Sébastien du Guillet,49.0,Délits,Destructions - dégradations,2012-05-26
Dorothée Lefebvre,77.0,Contraventions,Blessures involontaires,1976-01-28
Dorothée Lefebvre,77.0,Contraventions,Atteintes à la santé,2014-05-25
Jacqueline Guillot,72.0,Crimes,Coups et violences volontaires,1995-08-06
Jacqueline Guillot,72.0,Contraventions,Circulation routière,1974-06-15
Roland Colin,50.0,Délits,Fraudes et contrefaçons,1992-04-14
Corinne Blanchet de Dumont,92.0,Crimes,Coups et violences volontaires,1954-09-16
Victoire Barre,86.0,Contraventions,Autres atteintes aux personnes,1974-08-03
Victoire Barre,86.0,Contraventions,Atteintes à l'environnement,1971-12-19
Victoire Barre,86.0,Crimes,Homicides volontaires,2000-08-19
Zacharie Guillot,51.0,Contraventions,Circulation routière,2013-06-27
Zacharie Guillot,51.0,Crimes,Atteintes a la surete publique,1991-08-09
Zacharie Guillot,51.0,Crimes,Coups et violences volontaires,2006-04-30
Zacharie Guillot,51.0,Crimes,"Vols, recels, destructions",2007-06-10
Zacharie Guillot,51.0,Délits,Autres atteintes à la personne,2004-11-05
Zacharie Guillot,51.0,Contraventions,Atteintes à l'environnement,2005-02-24
Zacharie Guillot,51.0,Contraventions,Atteintes à l'ordre économique,2019-08-24
Maurice Fontaine,66.0,Crimes,"Vols, recels, destructions",1982-08-10
Maurice Fontaine,66.0,Crimes,Atteintes a la surete publique,1988-03-31
Maurice Fontaine,66.0,Contraventions,Atteintes à l'environnement,1981-04-15
Maurice Fontaine,66.0,Crimes,Coups et violences volontaires,2018-09-14
Matthieu Toussaint,65.0,Crimes,Homicides volontaires,1981-11-26
Matthieu Toussaint,65.0,Contraventions,Ordre administratif et judiciaire,2006-09-23
Matthieu Toussaint,65.0,Crimes,Atteintes a la surete publique,1986-01-16
Matthieu Toussaint,65.0,Délits,Escroqueries - abus de confiance,1994-11-24
Matthieu Toussaint,65.0,Contraventions,Circulation routière,2001-03-13
Alexandre Poirier,71.0,Crimes,Homicides volontaires,1991-03-13
Alexandre Poirier,71.0,Délits,Destructions - dégradations,1975-12-21
Alexandre Poirier,71.0,Crimes,"Vols, recels, destructions",2018-10-16
Thomas Garnier,23.0,Contraventions,Atteintes à la santé,2022-11-26
Thomas Garnier,23.0,Délits,Fraudes et contrefaçons,2020-11-09
Daniel Vasseur du Le Gall,39.0,Crimes,Atteintes a la surete publique,2004-08-14
Daniel Vasseur du Le Gall,39.0,Délits,Atteintes à la famille,2019-05-04
Daniel Vasseur du Le Gall,39.0,Contraventions,Atteintes aux biens,2018-08-16
Daniel Vasseur du Le Gall,39.0,Délits,Circulation routière,2021-04-08
Daniel Vasseur du Le Gall,39.0,Contraventions,Atteintes aux moeurs,2017-03-28
Lorraine de Laroche,86.0,Crimes,Homicides volontaires,1964-06-11
Augustin Hervé,64.0,Contraventions,Circulation routière,1988-07-30
Valérie-Anastasie Mace,70.0,Délits,Chèques,1999-12-11
Valérie-Anastasie Mace,70.0,Crimes,"Vols, recels, destructions",1991-03-08
Valérie-Anastasie Mace,70.0,Crimes,Homicides volontaires,2022-02-06
Bernadette Le Pinto,57.0,Contraventions,Infractions en matière de transport,2012-07-22
Bernadette Le Pinto,57.0,Crimes,Atteintes a la surete publique,2004-07-18
Bernadette Le Pinto,57.0,Délits,Autres atteintes à la personne,2020-05-10
Jacqueline Merle-Jourdan,27.0,Délits,Atteintes aux finances publiques,2017-03-28
Jacqueline Merle-Jourdan,27.0,Délits,Blessures involontaires,2020-04-30
Jacqueline Merle-Jourdan,27.0,Contraventions,Atteintes aux moeurs,2020-03-05
Jacqueline Merle-Jourdan,27.0,Crimes,"Vols, recels, destructions",2014-07-02
Jacqueline Merle-Jourdan,27.0,Contraventions,Atteintes aux moeurs,2015-07-13
Jacqueline Merle-Jourdan,27.0,Délits,Fraudes et contrefaçons,2022-11-02
Roland Garcia,25.0,Contraventions,Autres atteintes aux personnes,2019-11-01
Roland Garcia,25.0,Contraventions,Atteintes à l'environnement,2022-10-31
Roland Garcia,25.0,Contraventions,Infractions en matière de transport,2017-03-12
Roland Garcia,25.0,Contraventions,Autres atteintes aux personnes,2019-11-28
Josette Guillet-Blin,72.0,Crimes,"Vols, recels, destructions",2005-05-17
Thierry-Augustin Morel,75.0,Contraventions,Ordre administratif et judiciaire,1984-10-08
Sophie Lévêque,56.0,Contraventions,Atteintes aux moeurs,2004-05-18
Sophie Lévêque,56.0,Contraventions,Atteintes à la santé,2019-06-09
Sophie Lévêque,56.0,Contraventions,Atteintes à l'environnement,2016-09-22
Sophie Lévêque,56.0,Crimes,"Vols, recels, destructions",1985-01-24
Sophie Lévêque,56.0,Délits,Travail et sécurité sociale,2022-11-26
Sophie Lévêque,56.0,Crimes,Homicides volontaires,1995-03-16
Nathalie Robert,88.0,Crimes,Coups et violences volontaires,1956-09-23
Nathalie Robert,88.0,Contraventions,Atteintes à la sûreté publique,1968-10-18
Nathalie Robert,88.0,Crimes,Homicides volontaires,1993-07-02
Stéphane-Xavier Vaillant,64.0,Délits,Infractions militaires,1978-07-01
Stéphane-Xavier Vaillant,64.0,Contraventions,Atteintes à l'environnement,1993-08-18
Stéphane-Xavier Vaillant,64.0,Crimes,Coups et violences volontaires,1980-09-16
Stéphane-Xavier Vaillant,64.0,Contraventions,Atteintes à l'ordre économique,1991-03-03
Stéphane-Xavier Vaillant,64.0,Délits,Atteintes aux moeurs,2015-09-27
Stéphane-Xavier Vaillant,64.0,Crimes,Homicides volontaires,2005-11-07
Stéphane-Xavier Vaillant,64.0,Contraventions,Atteintes à l'environnement,1990-12-27
Henriette Olivier,88.0,Contraventions,Ordre administratif et judiciaire,2018-07-02
Henriette Olivier,88.0,Contraventions,Coups et violences volontaires,2018-07-29
Martine Bruneau,43.0,Crimes,Atteintes a la surete publique,2008-09-20
