Type,Montant,Nom_src,Ancien_solde_src,Nouveau_solde_src,Nom_dest,Ancien_solde_dest,Nouveau_solde_dest,Date
CASH_IN,21559,Agence_moov_Abomey,300000,278441,Émile-René Baudry,285611,307170,2022-01-04
CASH_OUT,287594,Émile-René Baudry,307170,19576,Agence_moov_Cotonou,300000,12406,2022-01-06
TRANSFER,8518,Émile-René Baudry,19576,11058,Richard Michel,66892,58374,2022-01-07
CASH_OUT,278,Émile-René Baudry,11058,10780,Agence_moov_Cotonou,300000,299722,2022-01-09
TRANSFER,5861,Émile-René Baudry,10780,4919,Constance Bourdon-Millet,1482100,1476239,2022-01-10
TRANSFER,510555,Manon Valette,1676700,1166145,Émile-René Baudry,4919,515474,2022-01-11
CASH_IN,157136,Agence_moov_Ouidah,300000,142864,Émile-René Baudry,515474,672610,2022-01-12
CASH_IN,20375,Agence_moov_Ouidah,300000,279625,Émile-René Baudry,672610,692985,2022-01-13
CASH_OUT,25660,Émile-René Baudry,692985,667325,Agence_moov_Cotonou,300000,274340,2022-01-16
CASH_OUT,172847,Émile-René Baudry,667325,494478,Agence_moov_Cotonou,300000,127153,2022-01-17
CASH_IN,250571,Agence_moov_Ouidah,300000,49429,Émile-René Baudry,494478,745049,2022-01-17
TRANSFER,96538,Émile-René Baudry,745049,648511,Thomas Guichard du Renault,470807,374269,2022-01-18
CASH_OUT,343987,Émile-René Baudry,648511,304524,Agence_moov_Ouidah,300000,-43987,2022-01-18
TRANSFER,51827,Émile-René Baudry,304524,252697,Alix Barbe,1692800,1640973,2022-01-20
CASH_OUT,109163,Émile-René Baudry,252697,143534,Agence_moov_Ouidah,300000,190837,2022-01-20
CASH_OUT,81534,Émile-René Baudry,143534,62000,Agence_moov_Abomey,300000,218466,2022-01-21
CASH_IN,74368,Agence_moov_Ouidah,300000,225632,Émile-René Baudry,62000,136368,2022-01-21
TRANSFER,11363,Andrée-Thérèse Mendès,281812,270449,Émile-René Baudry,136368,147731,2022-01-21
CASH_IN,276570,Agence_moov_Abomey,300000,23430,Émile-René Baudry,147731,424301,2022-01-21
TRANSFER,1013824,Alphonse Gomes,1211700,197876,Émile-René Baudry,424301,1438125,2022-01-21
CASH_IN,194482,Agence_moov_Ouidah,300000,105518,Émile-René Baudry,1438125,1632607,2022-01-22
TRANSFER,735538,Émile-René Baudry,1632607,897069,Michel Bouchet,1577200,841662,2022-01-24
CASH_IN,1335,Agence_moov_Ouidah,300000,298665,Émile-René Baudry,897069,898404,2022-01-24
CASH_OUT,201139,Émile-René Baudry,898404,697265,Agence_moov_Abomey,300000,98861,2022-01-25
TRANSFER,171489,Alphonse Gomes,197876,26387,Émile-René Baudry,697265,868754,2022-01-25
CASH_OUT,655807,Émile-René Baudry,868754,212947,Agence_moov_Abomey,300000,-355807,2022-01-26
CASH_OUT,208794,Émile-René Baudry,212947,4153,Agence_moov_Ouidah,300000,91206,2022-01-26
TRANSFER,151081,Christine Texier,915000,763919,Vincent de la Dumont,774897,925978,2022-01-01
TRANSFER,34686,Simone Muller de la Brun,63889,29203,Vincent de la Dumont,925978,960664,2022-01-02
CASH_IN,88771,Agence_moov_Cotonou,300000,211229,Vincent de la Dumont,960664,1049435,2022-01-03
CASH_IN,134565,Agence_moov_Abomey,300000,165435,Vincent de la Dumont,1049435,1184000,2022-01-03
TRANSFER,471587,Camille Morvan,668800,197213,Vincent de la Dumont,1184000,1655587,2022-01-05
CASH_IN,149007,Agence_moov_Cotonou,300000,150993,Vincent de la Dumont,1655587,1804594,2022-01-07
CASH_OUT,666471,Vincent de la Dumont,1804594,1138123,Agence_moov_Abomey,300000,-366471,2022-01-08
CASH_OUT,409629,Vincent de la Dumont,1138123,728494,Agence_moov_Ouidah,300000,-109629,2022-01-08
TRANSFER,1117176,Gabriel Bègue,1204200,87024,Vincent de la Dumont,728494,1845670,2022-01-09
TRANSFER,18394,Richard Michel,58374,39980,Vincent de la Dumont,1845670,1864064,2022-01-09
CASH_IN,293354,Agence_moov_Ouidah,300000,6646,Vincent de la Dumont,1864064,2157418,2022-01-11
CASH_IN,77424,Agence_moov_Abomey,300000,222576,Vincent de la Dumont,2157418,2234842,2022-01-12
CASH_OUT,1048347,Vincent de la Dumont,2234842,1186495,Agence_moov_Abomey,300000,-748347,2022-01-16
CASH_OUT,567900,Vincent de la Dumont,1186495,618595,Agence_moov_Abomey,300000,-267900,2022-01-17
TRANSFER,497684,Vincent de la Dumont,618595,120911,Vincent Joubert,1753600,1255916,2022-01-18
CASH_OUT,52901,Vincent de la Dumont,120911,68010,Agence_moov_Ouidah,300000,247099,2022-01-20
CASH_IN,100115,Agence_moov_Abomey,300000,199885,Vincent de la Dumont,68010,168125,2022-01-21
CASH_OUT,37804,Vincent de la Dumont,168125,130321,Agence_moov_Abomey,300000,262196,2022-01-23
CASH_OUT,109891,Vincent de la Dumont,130321,20430,Agence_moov_Cotonou,300000,190109,2022-01-23
CASH_IN,254409,Agence_moov_Cotonou,300000,45591,Vincent de la Dumont,20430,274839,2022-01-23
CASH_IN,170648,Agence_moov_Abomey,300000,129352,Vincent de la Dumont,274839,445487,2022-01-24
CASH_IN,151186,Agence_moov_Cotonou,300000,148814,Vincent de la Dumont,445487,596673,2022-01-24
CASH_IN,12897,Agence_moov_Ouidah,300000,287103,Vincent de la Dumont,596673,609570,2022-01-25
CASH_IN,142610,Agence_moov_Abomey,300000,157390,Vincent de la Dumont,609570,752180,2022-01-26
CASH_OUT,366623,Vincent de la Dumont,752180,385557,Agence_moov_Ouidah,300000,-66623,2022-01-27
CASH_IN,278055,Agence_moov_Ouidah,300000,21945,Vincent de la Dumont,385557,663612,2022-01-27
TRANSFER,450286,Vincent de la Dumont,663612,213326,Antoinette de Dupuis,27500,-422786,2022-01-27
TRANSFER,37249,Richard Michel,39980,2731,Théodore Joseph-Lefebvre,1509500,1472251,2022-01-01
TRANSFER,338221,Colette-Sophie Prévost,350538,12317,Richard Michel,2731,340952,2022-01-02
CASH_IN,67794,Agence_moov_Cotonou,300000,232206,Richard Michel,340952,408746,2022-01-03
TRANSFER,218860,Richard Michel,408746,189886,Audrey Julien de Leleu,1696400,1477540,2022-01-06
TRANSFER,208256,Christine Texier,763919,555663,Richard Michel,189886,398142,2022-01-08
CASH_OUT,114805,Richard Michel,398142,283337,Agence_moov_Ouidah,300000,185195,2022-01-10
TRANSFER,244544,Richard Michel,283337,38793,Tristan Bousquet-Gros,518900,274356,2022-01-11
TRANSFER,3565,Richard Michel,38793,35228,Christine Texier,555663,552098,2022-01-11
CASH_OUT,7186,Richard Michel,35228,28042,Agence_moov_Abomey,300000,292814,2022-01-13
CASH_OUT,13941,Richard Michel,28042,14101,Agence_moov_Abomey,300000,286059,2022-01-14
CASH_OUT,4851,Richard Michel,14101,9250,Agence_moov_Ouidah,300000,295149,2022-01-15
TRANSFER,164319,Camille Morvan,197213,32894,Richard Michel,9250,173569,2022-01-15
CASH_IN,203803,Agence_moov_Abomey,300000,96197,Richard Michel,173569,377372,2022-01-16
TRANSFER,226255,Constance Bourdon-Millet,1476239,1249984,Richard Michel,377372,603627,2022-01-16
CASH_OUT,311125,Richard Michel,603627,292502,Agence_moov_Ouidah,300000,-11125,2022-01-17
CASH_IN,205486,Agence_moov_Abomey,300000,94514,Richard Michel,292502,497988,2022-01-17
TRANSFER,175366,Richard Michel,497988,322622,Andrée-Thérèse Mendès,270449,95083,2022-01-21
CASH_IN,249628,Agence_moov_Abomey,300000,50372,Richard Michel,322622,572250,2022-01-23
CASH_IN,71105,Agence_moov_Cotonou,300000,228895,Richard Michel,572250,643355,2022-01-23
CASH_IN,243392,Agence_moov_Abomey,300000,56608,Richard Michel,643355,886747,2022-01-25
CASH_IN,14544,Agence_moov_Abomey,300000,285456,Richard Michel,886747,901291,2022-01-27
CASH_IN,267804,Agence_moov_Cotonou,300000,32196,Raymond Lévy,409600,677404,2022-01-03
TRANSFER,200526,Raymond Lévy,677404,476878,Lucie Aubert,1227700,1027174,2022-01-04
TRANSFER,595811,Martine Aubert,731604,135793,Raymond Lévy,476878,1072689,2022-01-04
CASH_OUT,264815,Raymond Lévy,1072689,807874,Agence_moov_Abomey,300000,35185,2022-01-04
CASH_IN,253923,Agence_moov_Cotonou,300000,46077,Raymond Lévy,807874,1061797,2022-01-05
CASH_IN,182639,Agence_moov_Ouidah,300000,117361,Raymond Lévy,1061797,1244436,2022-01-05
CASH_OUT,909458,Raymond Lévy,1244436,334978,Agence_moov_Cotonou,300000,-609458,2022-01-06
CASH_IN,37391,Agence_moov_Cotonou,300000,262609,Raymond Lévy,334978,372369,2022-01-10
TRANSFER,368249,Raymond Lévy,372369,4120,Colette-Sophie Prévost,12317,-355932,2022-01-10
TRANSFER,59523,Luc Lévêque-Carre,1174800,1115277,Raymond Lévy,4120,63643,2022-01-12
TRANSFER,298394,Bernard Maurice,651300,352906,Raymond Lévy,63643,362037,2022-01-13
CASH_IN,4776,Agence_moov_Ouidah,300000,295224,Raymond Lévy,362037,366813,2022-01-13
CASH_OUT,318507,Raymond Lévy,366813,48306,Agence_moov_Ouidah,300000,-18507,2022-01-14
CASH_OUT,3472,Raymond Lévy,48306,44834,Agence_moov_Abomey,300000,296528,2022-01-15
TRANSFER,10292,Raymond Lévy,44834,34542,Andrée-Thérèse Mendès,95083,84791,2022-01-15
CASH_OUT,31040,Raymond Lévy,34542,3502,Agence_moov_Ouidah,300000,268960,2022-01-16
CASH_IN,117293,Agence_moov_Ouidah,300000,182707,Raymond Lévy,3502,120795,2022-01-17
CASH_OUT,95996,Raymond Lévy,120795,24799,Agence_moov_Abomey,300000,204004,2022-01-17
CASH_OUT,24586,Raymond Lévy,24799,213,Agence_moov_Ouidah,300000,275414,2022-01-20
TRANSFER,195,Raymond Lévy,213,18,Frédéric Guillou,1322000,1321805,2022-01-20
CASH_IN,111598,Agence_moov_Abomey,300000,188402,Raymond Lévy,18,111616,2022-01-21
TRANSFER,48888,Raymond Lévy,111616,62728,Anne Peltier-Raynaud,1199838,1150950,2022-01-21
CASH_OUT,46068,Raymond Lévy,62728,16660,Agence_moov_Ouidah,300000,253932,2022-01-21
CASH_OUT,16321,Raymond Lévy,16660,339,Agence_moov_Cotonou,300000,283679,2022-01-21
TRANSFER,54032,Vincent Joubert,1255916,1201884,Raymond Lévy,339,54371,2022-01-22
TRANSFER,78076,Thibaut de la Lombard,847300,769224,Raymond Lévy,54371,132447,2022-01-24
CASH_OUT,4537,Raymond Lévy,132447,127910,Agence_moov_Ouidah,300000,295463,2022-01-24
TRANSFER,534345,Aurore Charrier,601600,67255,Raymond Lévy,127910,662255,2022-01-25
CASH_OUT,121631,Raymond Lévy,662255,540624,Agence_moov_Abomey,300000,178369,2022-01-26
CASH_IN,293169,Agence_moov_Ouidah,300000,6831,Raymond Lévy,540624,833793,2022-01-26
CASH_IN,84708,Agence_moov_Ouidah,300000,215292,Colette-Sophie Prévost,-355932,-271224,2022-01-01
CASH_IN,200448,Agence_moov_Cotonou,300000,99552,Colette-Sophie Prévost,-271224,-70776,2022-01-01
CASH_IN,78933,Agence_moov_Abomey,300000,221067,Colette-Sophie Prévost,-70776,8157,2022-01-02
CASH_OUT,4124,Colette-Sophie Prévost,8157,4033,Agence_moov_Cotonou,300000,295876,2022-01-03
CASH_OUT,3570,Colette-Sophie Prévost,4033,463,Agence_moov_Abomey,300000,296430,2022-01-03
TRANSFER,161,Colette-Sophie Prévost,463,302,Michelle de Étienne,1150500,1150339,2022-01-04
TRANSFER,243,Colette-Sophie Prévost,302,59,Martine Aubert,135793,135550,2022-01-04
CASH_IN,150705,Agence_moov_Cotonou,300000,149295,Colette-Sophie Prévost,59,150764,2022-01-04
CASH_IN,6026,Agence_moov_Abomey,300000,293974,Colette-Sophie Prévost,150764,156790,2022-01-08
TRANSFER,23879,Simone Muller de la Brun,29203,5324,Colette-Sophie Prévost,156790,180669,2022-01-09
TRANSFER,24531,Colette-Sophie Prévost,180669,156138,Clémence-Véronique Munoz,559677,535146,2022-01-10
CASH_OUT,66843,Colette-Sophie Prévost,156138,89295,Agence_moov_Abomey,300000,233157,2022-01-12
TRANSFER,27739,Manon Lebon,38100,10361,Colette-Sophie Prévost,89295,117034,2022-01-13
CASH_OUT,96305,Colette-Sophie Prévost,117034,20729,Agence_moov_Cotonou,300000,203695,2022-01-13
TRANSFER,7050,Colette-Sophie Prévost,20729,13679,Jules-Roland Bousquet,1476700,1469650,2022-01-14
CASH_OUT,11815,Colette-Sophie Prévost,13679,1864,Agence_moov_Cotonou,300000,288185,2022-01-15
CASH_IN,5041,Agence_moov_Abomey,300000,294959,Colette-Sophie Prévost,1864,6905,2022-01-15
CASH_OUT,1093,Colette-Sophie Prévost,6905,5812,Agence_moov_Ouidah,300000,298907,2022-01-15
CASH_IN,68019,Agence_moov_Abomey,300000,231981,Colette-Sophie Prévost,5812,73831,2022-01-16
TRANSFER,8777,Colette-Sophie Prévost,73831,65054,Agnès Le Giraud,1243748,1234971,2022-01-17
TRANSFER,23406,Colette-Sophie Prévost,65054,41648,Anastasie Richard-Neveu,795300,771894,2022-01-17
TRANSFER,14976,Colette-Sophie Prévost,41648,26672,Michelle de Étienne,1150339,1135363,2022-01-18
CASH_OUT,20731,Colette-Sophie Prévost,26672,5941,Agence_moov_Abomey,300000,279269,2022-01-18
TRANSFER,19495,Martine Aubert,135550,116055,Colette-Sophie Prévost,5941,25436,2022-01-20
CASH_IN,94584,Agence_moov_Ouidah,300000,205416,Colette-Sophie Prévost,25436,120020,2022-01-21
CASH_IN,131239,Agence_moov_Abomey,300000,168761,Colette-Sophie Prévost,120020,251259,2022-01-22
CASH_OUT,2205,Colette-Sophie Prévost,251259,249054,Agence_moov_Ouidah,300000,297795,2022-01-22
CASH_OUT,198242,Colette-Sophie Prévost,249054,50812,Agence_moov_Abomey,300000,101758,2022-01-26
TRANSFER,538956,Nathalie Bonnin-Joubert,1127420,588464,Colette-Sophie Prévost,50812,589768,2022-01-26
CASH_OUT,105137,Colette-Sophie Prévost,589768,484631,Agence_moov_Abomey,300000,194863,2022-01-26
TRANSFER,18332,Aurore Charrier,67255,48923,Mathilde de la Samson,387600,405932,2022-01-02
TRANSFER,319699,Thérèse François,375740,56041,Mathilde de la Samson,405932,725631,2022-01-04
CASH_OUT,224383,Mathilde de la Samson,725631,501248,Agence_moov_Cotonou,300000,75617,2022-01-05
CASH_OUT,196151,Mathilde de la Samson,501248,305097,Agence_moov_Abomey,300000,103849,2022-01-06
CASH_OUT,25310,Mathilde de la Samson,305097,279787,Agence_moov_Cotonou,300000,274690,2022-01-07
TRANSFER,7504,Manon Lebon,10361,2857,Mathilde de la Samson,279787,287291,2022-01-07
CASH_OUT,68713,Mathilde de la Samson,287291,218578,Agence_moov_Cotonou,300000,231287,2022-01-09
TRANSFER,83657,Mathilde de la Samson,218578,134921,Martine Aubert,116055,32398,2022-01-09
CASH_OUT,17426,Mathilde de la Samson,134921,117495,Agence_moov_Ouidah,300000,282574,2022-01-10
CASH_OUT,21476,Mathilde de la Samson,117495,96019,Agence_moov_Ouidah,300000,278524,2022-01-10
CASH_IN,207574,Agence_moov_Abomey,300000,92426,Mathilde de la Samson,96019,303593,2022-01-13
CASH_OUT,106832,Mathilde de la Samson,303593,196761,Agence_moov_Ouidah,300000,193168,2022-01-13
CASH_OUT,57150,Mathilde de la Samson,196761,139611,Agence_moov_Cotonou,300000,242850,2022-01-13
CASH_IN,67270,Agence_moov_Cotonou,300000,232730,Mathilde de la Samson,139611,206881,2022-01-13
CASH_IN,204787,Agence_moov_Ouidah,300000,95213,Mathilde de la Samson,206881,411668,2022-01-14
TRANSFER,267248,Mathilde de la Samson,411668,144420,Nathalie Bonnin-Joubert,588464,321216,2022-01-15
CASH_OUT,87263,Mathilde de la Samson,144420,57157,Agence_moov_Cotonou,300000,212737,2022-01-15
CASH_IN,835,Agence_moov_Cotonou,300000,299165,Mathilde de la Samson,57157,57992,2022-01-15
TRANSFER,19131,Aurore Charrier,48923,29792,Mathilde de la Samson,57992,77123,2022-01-15
