Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Luce-Corinne Martel,1931-10-29,Masculin,"BORGOU,N'DALI,BORI,BIO-SIKA carré 4415",luce-corinnemartel@gmail.com,+22994241048,ingénieur en construction automobile
Yves Faure,1932-03-02,Féminin,"OUEME,PORTO-NOVO,4EME ARRONDISSEMENT,HOUNSA carré 7109",yvesfaure@gmail.com,+22994873375,architecte naval
Alexandre-Robert Lemoine,1953-02-06,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,HEVIE,DOSSOUNOU carré 3593",alexandre-robertlemoine@gmail.com,+22999651567,vendeur-magasinier en fournitures automobiles
Georges Fontaine-Bernier,1948-05-07,Masculin,"ALIBORI,KANDI,KANDI 2,KOSSAROU carré 4471",georgesfontaine-bernier@gmail.com,+22999357177,ingénieur méthodes mécaniques
Michèle Laroche-Lelièvre,1930-05-27,Féminin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,VOSSA carré 9767",michèlelaroche-lelièvre@gmail.com,+22953174627,patron pêcheur
Clémence-Véronique Munoz,2016-12-23,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,TCHINANCOMEY carré 0179",,,
Raymond Simon,1966-06-14,Masculin,"OUEME,ADJARRA,MALANHOUI,MALANHOUI carré 5073",raymondsimon@gmail.com,+22966768809,agent d'exploitation de l'eau
Frédérique Masse,2015-08-28,Féminin,"ALIBORI,SEGBANA,LOUGOU,GANDOLOUKASSA carré 2220",,,
Jules-Roland Bousquet,1934-11-17,Masculin,"ALIBORI,KANDI,DONWARI,DONWARI carré 0123",jules-rolandbousquet@gmail.com,+22954883177,ingénieur de recherche (papiers cartons)
Emmanuelle Bouvet,1967-02-13,Masculin,"DONGA,OUAKE,BADJOUDE,AKPADE carré 4492",emmanuellebouvet@gmail.com,+22967010668,accompagnateur de voyages
Marc Costa-Daniel,1997-10-21,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DJLADO carré 0521",marccosta-daniel@gmail.com,+22995024226,chargé de pharmacovigilance
Luc Le Colin,1995-01-24,Masculin,"DONGA,BASSILA,BASSILA,BASSILA ATONONKA carré 6632",luclecolin@gmail.com,+22995874560,bibliothécaire
Alphonse Lévêque,2001-07-25,Féminin,"COLLINES,SAVALOU,SAVALOU-AGBADO,AHOSSEDO carré 3967",alphonselévêque@gmail.com,+22999388557,auteur-compositeur interprète interprète
François Bigot,2016-09-30,Masculin,"COLLINES,OUESSE,ODOUGBA,N'GBEHOUEDO carré 7915",,,
William Marty,1948-04-23,Masculin,"COUFFO,LALO,BANIGBE,AFFOMAÏ carré 8763",williammarty@gmail.com,+22961169715,projectionniste
Laetitia de la Delannoy,1991-07-22,Masculin,"ATLANTIQUE,ALLADA,AYOU,AHOTA carré 0034",laetitiadeladelannoy@gmail.com,+22969829753,architecte des systèmes d'information
Éléonore Marin Le Morel,1966-09-04,Masculin,"BORGOU,NIKKI,SEREKALI,MOUSSOURE carré 3497",éléonoremarinlemorel@gmail.com,+22969657116,mécanicien marine navigant
Renée Le Diaz,1997-03-25,Masculin,"COUFFO,DJAKOTOMEY,DJAKOTOMEY II,TOHOUEHOUE carré 0905",renéelediaz@gmail.com,+22952990954,psychologue
Aurélie Charles,2013-10-22,Masculin,"COLLINES,SAVALOU,OTTOLA,AKPAKI carré 4218",,,
Lucy Joseph,2010-12-12,Masculin,"COUFFO,APLAHOUE,KISSAMEY,HELETOUMEY carré 2580",,,
Aurore Charrier,1991-05-16,Masculin,"COUFFO,KLOUEKANMEY,ADJAHONME,ADJAHONME carré 2025",aurorecharrier@gmail.com,+22998493879,technicien chimiste
Thibault-Julien Chevallier,1995-12-19,Masculin,"OUEME,SEME-PODJI,SEME-PODJI,PODJI-MISSERETE carré 6823",thibault-julienchevallier@gmail.com,+22965053433,femme de chambre
Maggie Martinez,1944-03-20,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,DJEDJE-LAYE carré 1183",maggiemartinez@gmail.com,+22966071349,enseignant d'art
Jeanne-Margaux Muller,2021-07-16,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,TITIROU carré 3179",,,
André Daniel,1975-06-17,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-GARE,AGOUAKO carré 4007",andrédaniel@gmail.com,+22997153583,cogniticien
Laure de la Aubry,1975-11-30,Masculin,"COLLINES,SAVALOU,LOGOZOHE,BAME carré 1599",lauredelaaubry@gmail.com,+22962131556,conducteur de ligne de production alimentaire
Élisabeth-Nathalie Coulon,1936-01-03,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,DANDJI carré 6062",élisabeth-nathaliecoulon@gmail.com,+22995151045,relieur-doreur
Édouard Bouvier de Gillet,1930-01-21,Masculin,"BORGOU,KALALE,DERASSI,DERASSI carré 6062",édouardbouvierdegillet@gmail.com,+22964845126,cryptologue
Gérard de la Martinez,2002-10-06,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,N'VENAMEDE carré 1014",gérarddelamartinez@gmail.com,+22990521579,manager de risques
Marguerite Jacquet,1965-04-09,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,ASSROSSA carré 4730",margueritejacquet@gmail.com,+22962907386,concepteur de jeux vidéo
Adrien de la Lesage,1967-05-11,Féminin,"COLLINES,OUESSE,ODOUGBA,ZOGBA-TREKOU carré 7158",adriendelalesage@gmail.com,+22951984293,tailleur-couturier
Aurélie Maury,1981-02-16,Masculin,"BORGOU,NIKKI,NIKKI,KPARISSEROU carré 7633",auréliemaury@gmail.com,+22996915794,collecteur de fonds
Charlotte Le Roux,2012-07-30,Masculin,"COUFFO,APLAHOUE,AZOVE,AZOVE CENTRE carré 7406",,,
Charles Pineau,1975-02-27,Féminin,"COLLINES,OUESSE,OUESSE,LAKOKO carré 2996",charlespineau@gmail.com,+22998826001,responsable des ressources humaines
Odette Guilbert,1935-06-09,Masculin,"OUEME,BONOU,AFFAME,AGBOSSO carré 5512",odetteguilbert@gmail.com,+22965314136,hôtesse de l'air
Zacharie Lagarde,1948-06-18,Féminin,"ATLANTIQUE,TOFFO,COLLI,BOSSOUVI carré 8920",zacharielagarde@gmail.com,+22964651407,prototypiste en matériaux souples
Gérard Lemaire de la Lecomte,1998-07-29,Féminin,"COLLINES,OUESSE,CHALLA-OGOI,KOKORO AWOYO carré 7421",gérardlemairedelalecomte@gmail.com,+22959664877,paysagiste
Noémi Renault Le Dumont,1949-03-23,Masculin,"MONO,ATHIEME,ATHIEME,ASSEKOME carré 7273",noémirenaultledumont@gmail.com,+22954418349,pilote d'hélicoptère
Valérie Louis,1950-02-25,Masculin,"ALIBORI,BANIKOARA,FOUNOUGO,YINGNIMPOGOU carré 9994",valérielouis@gmail.com,+22964163238,opérateur sur machine à commande numérique
Manon Lebon,1988-05-06,Masculin,"OUEME,ADJARRA,ADJARRA 1,HOUNSINVIE carré 0511",manonlebon@gmail.com,+22964003051,électricien installateur installatrice
Emmanuel Leleu,1945-05-19,Féminin,"OUEME,DANGBO,HOZIN,HOZIN carré 5767",emmanuelleleu@gmail.com,+22968812457,technicien en métrologie
Henri-Adrien Bernard,1994-11-02,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,SURU LERE carré 3957",henri-adrienbernard@gmail.com,+22994891167,agent d'escale
Margot Renard,1949-03-22,Masculin,"PLATEAU,ADJA-OUERE,TATONNONKON,OLOHOUNGBODJE carré 2765",margotrenard@gmail.com,+22995567382,technicien logistique
Cécile-Louise Traore,1955-11-19,Féminin,"OUEME,DANGBO,ZOUNGUE,YOKON carré 7487",cécile-louisetraore@gmail.com,+22961302804,tailleur-couturier
Monique Lebon,1938-03-26,Masculin,"PLATEAU,KETOU,KPANKOU,KPANKOU carré 1153",moniquelebon@gmail.com,+22965125091,horticulteur
Margaud Boyer,1994-03-20,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-BOSSITO,HOUNNONCO carré 7035",margaudboyer@gmail.com,+22995602944,chef de projet informatique
Marcel Perret de Girard,1989-12-12,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AHOGBOHOUE CITE DE L'EXPERIENCE carré 2563",marcelperretdegirard@gmail.com,+22999695790,conservateur territorial de bibliothèques
Charles Techer,1997-11-01,Masculin,"ALIBORI,BANIKOARA,FOUNOUGO,GOUGNIROU carré 6237",charlestecher@gmail.com,+22999002692,moniteur de ski
Rémy Marie de la Dubois,2001-06-04,Masculin,"BORGOU,NIKKI,NIKKI,TOTOROU carré 2964",rémymariedeladubois@gmail.com,+22998131550,directeur artistique
Capucine Berthelot,1947-06-20,Masculin,"ATLANTIQUE,TOFFO,SEHOUE,SOME carré 7656",capucineberthelot@gmail.com,+22994970709,directeur d'hôpital
Éléonore Royer,2015-09-02,Masculin,"ATLANTIQUE,OUIDAH,PAHOU,ACADJAME carré 7698",,,
Céline-Inès Meunier,1986-10-09,Masculin,"BORGOU,SINENDE,SINENDE,DIDI carré 8261",céline-inèsmeunier@gmail.com,+22995335899,botaniste
Véronique Hardy,2001-05-10,Masculin,"OUEME,SEME-PODJI,TOHOUE,WEGBEGO-ADIEME carré 2669",véroniquehardy@gmail.com,+22959145803,sous-officier de l'armée de terre
Simone Muller de la Brun,1994-10-30,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,KPEROU-GUERA carré 9821",simonemullerdelabrun@gmail.com,+22998044669,statisticien en analyse sensorielle
Geneviève Rémy,1936-04-09,Masculin,"COUFFO,LALO,HLASSAME,OUKANME carré 7728",genevièverémy@gmail.com,+22956859706,sportif de haut niveau
Jean Blot du Sanchez,1954-10-28,Masculin,"COUFFO,APLAHOUE,AZOVE,YEHOUEMEY carré 4010",jeanblotdusanchez@gmail.com,+22959403437,pédiatre
Émilie du Allain,2018-04-07,Masculin,"DONGA,BASSILA,PENESSOULOU,MELAN carré 7415",,,
Christine Texier,1977-04-11,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,N'VENAMEDE carré 3996",christinetexier@gmail.com,+22968060312,statisticien
François du Duval,1994-02-24,Masculin,"ATLANTIQUE,ZE,TANGBO,AVLESSA carré 2926",françoisduduval@gmail.com,+22950434841,podo-orthésiste
Éric Lopes,1995-03-24,Masculin,"BORGOU,PERERE,GUINAGOUROU,KPAWOLOU carré 9222",ériclopes@gmail.com,+22950207416,gendarme
Frédéric Sanchez,1956-08-18,Masculin,"ATLANTIQUE,SO-AVA,GANVIE 2,GUEDEVIE carré 1084",frédéricsanchez@gmail.com,+22995555663,analyste financier
Gilbert de la Carre,2004-06-13,Féminin,"COUFFO,KLOUEKANMEY,LANTA,GBOWIME carré 3315",gilbertdelacarre@gmail.com,+22953636649,déclarant en douane
Agnès de Deschamps,2011-10-31,Masculin,"OUEME,SEME-PODJI,AGBLANGANDAN,SEKANDJI HOUEYOGBE carré 9123",,,
Émile Rossi,1947-02-26,Féminin,"ALIBORI,MALANVILLE,GAROU,GAROU-TEDJI carré 2150",émilerossi@gmail.com,+22953186002,technicien en métrologie
Maurice Grégoire,2018-04-19,Féminin,"ALIBORI,BANIKOARA,SOMPEROUKOU,SIMPEROU carré 6314",,,
Julien Richard,1999-04-24,Masculin,"BORGOU,KALALE,BOUCA,SEREGOUROU carré 4039",julienrichard@gmail.com,+22950982580,technicien en traitement des matériaux
Antoine de Peron,1989-04-17,Masculin,"LITTORAL,COTONOU,8EME ARRONDISSEMENT,MINONKPO WOLOGUEDE carré 9577",antoinedeperon@gmail.com,+22957980760,architecte naval
Isabelle Hamel,1962-11-17,Masculin,"BORGOU,SINENDE,SIKKI,SIKKI-GOUROU carré 4821",isabellehamel@gmail.com,+22959024955,chef de chantier
Jacqueline Lacroix-Maillot,2001-04-21,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,AIDJEDO AHITO carré 2277",jacquelinelacroix-maillot@gmail.com,+22951091232,hydraulicien
Christophe Jean,1931-10-27,Masculin,"COLLINES,DASSA-ZOUME,KERE,OKEMERE carré 1712",christophejean@gmail.com,+22997137097,professeur de collège et de lycée
Jérôme Fournier,2021-07-12,Masculin,"OUEME,PORTO-NOVO,4EME ARRONDISSEMENT,GBEDJROMEDE FUSION carré 8170",,,
Denis Bouvier Le Bazin,1987-01-28,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA  DEDOME carré 5860",denisbouvierlebazin@gmail.com,+22961911161,secrétaire médical
Rémy Da Costa,1995-07-30,Féminin,"ZOU,COVE,SOLI,AGOSSOUHOUE carré 2831",rémydacosta@gmail.com,+22967672830,danseur
Maurice Da Silva,1963-09-10,Féminin,"ALIBORI,BANIKOARA,KOKIBOROU,KOKIBOROU carré 7891",mauricedasilva@gmail.com,+22964203685,secrétaire administratif
Bertrand Regnier,2014-11-02,Masculin,"ATLANTIQUE,ALLADA,AGBANOU,ATTOTINGA carré 4455",,,
Luce Pires Le Lacroix,1976-03-31,Masculin,"ATACORA,KEROU,KAOBAGOU,KAOBAGOU carré 7968",lucepireslelacroix@gmail.com,+22961451315,hôte d'accueil
Michelle-Adèle Raymond,1977-11-27,Masculin,"OUEME,SEME-PODJI,SEME-PODJI,SEME-PODJI carré 5409",michelle-adèleraymond@gmail.com,+22957563373,convoyeur de fonds
Thierry de la Jourdan,2007-06-11,Masculin,"ZOU,ZA-KPOTA,ZA-KPOTA,DOKPA carré 7338",,,
Emmanuel Meunier,1940-12-08,Masculin,"OUEME,ADJOHOUN,ADJOHOUN,HOUEKPA DOGBAME carré 4074",emmanuelmeunier@gmail.com,+22995552191,chargé hygiène sécurité environnement (HSE)
Sébastien Guillou de Lopez,2021-05-26,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,PLATEAU carré 6560",,,
Rémy Grondin,1991-04-12,Masculin,"ATLANTIQUE,KPOMASSE,SEGBOHOUE,SEGBOHOUE CENTRE carré 1927",rémygrondin@gmail.com,+22994113488,pilote de ligne
Madeleine Martinez du Rossi,2001-05-22,Féminin,"ATLANTIQUE,ALLADA,ALLADA CENTRE,DONOU carré 2416",madeleinemartinezdurossi@gmail.com,+22968830673,officier de l'armée de terre
Élisabeth Muller,1960-12-22,Masculin,"ALIBORI,BANIKOARA,SOMPEROUKOU,SOMPEROUKOU-GBESSARA carré 2643",élisabethmuller@gmail.com,+22998821547,responsable de réseau eau potable
Marine Vallée,1998-06-04,Féminin,"PLATEAU,ADJA-OUERE,ADJA-OUERE,OKE-ODAN carré 1997",marinevallée@gmail.com,+22964776146,designer graphique
Maryse Delorme,1984-10-05,Féminin,"ALIBORI,MALANVILLE,MALANVILLE,WOLLO carré 7860",marysedelorme@gmail.com,+22965794821,bio-informaticien
Stéphane Munoz,2009-01-26,Masculin,"COLLINES,BANTE,AGOUA,N'TCHOCHE carré 9449",,,
Marc Leblanc,2009-03-08,Masculin,"BORGOU,KALALE,DUNKASSA,DUNKASSA-PEULH carré 8427",,,
Honoré de Ledoux,1982-07-23,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,KERA carré 6350",honorédeledoux@gmail.com,+22965844520,ingénieur mathématicien
Vincent Colas-De Oliveira,1969-08-07,Féminin,"ALIBORI,MALANVILLE,GUENE,LAKALI-KANEY carré 0958",vincentcolas-deoliveira@gmail.com,+22964868636,technicien forestier forestière
Emmanuel Michaud,1984-03-09,Masculin,"ATLANTIQUE,ZE,SEDJE-DENOU,SEDJE-ZOUNMEY-AGA carré 9453",emmanuelmichaud@gmail.com,+22999200152,conseiller en génétique
Suzanne Dupuy de la Mercier,1964-04-11,Masculin,"BORGOU,PERERE,GUINAGOUROU,SINANIMOIN carré 0213",suzannedupuydelamercier@gmail.com,+22953805170,plâtrier
Noël Bourgeois,2018-01-10,Masculin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,GBENONKPO carré 9101",,,
Louise-Marie Munoz,1987-06-27,Masculin,"PLATEAU,KETOU,KETOU,IDENA carré 2699",louise-mariemunoz@gmail.com,+22959996209,collaborateur de notaire de notaire
Honoré Tanguy,2004-03-24,Masculin,"ZOU,BOHICON,OUASSAHO,ATTOGOUIN carré 7274",honorétanguy@gmail.com,+22996306683,agent d'exploitation de l'eau
Richard Leduc,1944-12-14,Masculin,"ATLANTIQUE,ZE,DAWE,TOMASSEAHOUA carré 0184",richardleduc@gmail.com,+22956568808,coloriste
Monique Rousseau,2009-07-27,Féminin,"ATACORA,KOUANDE,OROUKAYO,NIAROSSON carré 9247",,,
René Robin,1947-10-29,Masculin,"ATLANTIQUE,ALLADA,AYOU,GBEDJI carré 0565",renérobin@gmail.com,+22966685841,monteur en réseaux de distribution électrique
Maggie Barbier,1950-02-07,Masculin,"MONO,LOKOSSA,AGAME,ALIGOUDO carré 3323",maggiebarbier@gmail.com,+22965288119,chocolatier-confiseur
Paulette Charrier,1943-03-13,Masculin,"COUFFO,LALO,TCHITO,TCHITO carré 1559",paulettecharrier@gmail.com,+22965566647,sous-officier de l'armée de terre
Manon Fouquet Le Chevalier,1940-11-28,Masculin,"ALIBORI,BANIKOARA,BANIKOARA,YADIKPAROU carré 2603",manonfouquetlechevalier@gmail.com,+22953354014,régisseur lumière
Laure-Mathilde Richard,1931-10-25,Masculin,"COUFFO,APLAHOUE,AZOVE,AVEGODOUI carré 2200",laure-mathilderichard@gmail.com,+22956019817,chef de rayon
