Dates,Noms,Déplacements,Documents,Numéro_du_document,Frontières,Destinations
2012-01-15,Maurice de Chartier,Sortie,Passeport,25103184,Niger,Niger
2012-01-15,Bernard Le Gall,Entrée,Carte nationale dIdentité,89734896,Nigéria,Bénin
2012-01-15,Thibaut Peltier Le Guilbert,Entrée,Carte nationale dIdentité,75367576,Togo,Bénin
2012-01-15,Nicole du Gosselin,Sortie,Passeport,57583240,Togo,Togo
2012-01-15,Éric Boulay-Michel,Entrée,Carte nationale dIdentité,56983425,Niger,Bénin
2012-01-15,Claire Millet-Chevalier,Sortie,Passeport,76320137,Aéroport de Cotonou,Monaco
2012-01-15,Jules Guillot,Entrée,Carte nationale dIdentité,31187198,Burikina-Faso,Bénin
2012-01-16,Denis de Guillaume,Entrée,Carte nationale dIdentité,69909091,Niger,Bénin
2012-01-16,Olivier Robert,Entrée,Passeport,86193810,Togo,Bénin
2012-01-16,Hugues Petit,Sortie,Passeport,43240464,Niger,Niger
2012-01-16,Hortense Dijoux,Sortie,Passeport,43480653,Togo,Togo
2012-01-17,Guillaume Le Chauvin,Sortie,Passeport,87520600,Nigéria,Nigéria
2012-01-17,Antoinette Navarro,Sortie,Carte nationale dIdentité,31667670,Aéroport de Cotonou,Guam
2012-01-17,Vincent du Chartier,Sortie,Passeport,79366260,Togo,Togo
2012-01-18,Alexandria Fernandez-Lopes,Sortie,Passeport,79815228,Aéroport de Cotonou,Niue
2012-01-18,Sabine de la Regnier,Sortie,Passeport,1386113,Aéroport de Cotonou,Pays-Bas
2012-01-19,Charles Rodrigues,Entrée,Carte nationale dIdentité,90765726,Niger,Bénin
2012-01-19,Geneviève Morvan,Entrée,Carte nationale dIdentité,90612609,Niger,Bénin
2012-01-19,Léon-Bertrand Le Roux,Sortie,Passeport,1260361,Burikina-Faso,Burikina-Faso
2012-01-19,Célina De Sousa,Entrée,Carte nationale dIdentité,25889663,Nigéria,Bénin
2012-01-19,Adrien Dumont de la Rolland,Sortie,Carte nationale dIdentité,31519716,Aéroport de Cotonou,Mauritanie
2012-01-19,Gabriel Thibault-Dupuy,Entrée,Carte nationale dIdentité,28620868,Aéroport de Cotonou,Bénin
2012-01-19,Rémy Ribeiro-Bousquet,Entrée,Carte nationale dIdentité,26470087,Nigéria,Bénin
2012-01-20,Denise Peltier,Sortie,Carte nationale dIdentité,20318871,Burikina-Faso,Burikina-Faso
2012-01-20,Corinne Mallet,Sortie,Carte nationale dIdentité,86528448,Niger,Niger
2012-01-20,Frédérique Roux-Blanchard,Entrée,Passeport,9404335,Aéroport de Cotonou,Bénin
2012-01-20,Georges Guillou-Blondel,Sortie,Carte nationale dIdentité,11848145,Nigéria,Nigéria
2012-01-20,Pénélope Turpin-Costa,Entrée,Carte nationale dIdentité,10974618,Aéroport de Cotonou,Bénin
2012-01-20,Océane Mercier,Entrée,Carte nationale dIdentité,88670425,Aéroport de Cotonou,Bénin
2012-01-20,Olivie-Anaïs Fouquet,Sortie,Passeport,30439145,Nigéria,Nigéria
2012-01-20,Gilbert Marie-Laine,Entrée,Passeport,1605475,Togo,Bénin
2012-01-21,Nicole Breton,Entrée,Carte nationale dIdentité,4073648,Niger,Bénin
2012-01-21,Alfred Chauvin de la Pichon,Sortie,Passeport,69225022,Togo,Togo
2012-01-21,Patrick Gaillard,Sortie,Passeport,5167925,Togo,Togo
2012-01-21,Antoine Joly,Sortie,Passeport,96533390,Niger,Niger
2012-01-22,Claude de la Neveu,Entrée,Carte nationale dIdentité,70868530,Aéroport de Cotonou,Bénin
2012-01-22,Alex Durand,Entrée,Carte nationale dIdentité,70361736,Aéroport de Cotonou,Bénin
2012-01-22,Martine Poirier,Sortie,Passeport,79333745,Nigéria,Nigéria
2012-01-22,Zacharie Poirier,Entrée,Carte nationale dIdentité,87549590,Nigéria,Bénin
2012-01-22,Honoré-Yves Girard,Entrée,Carte nationale dIdentité,80328424,Burikina-Faso,Bénin
2012-01-22,Victor de la Jacob,Entrée,Carte nationale dIdentité,81357376,Nigéria,Bénin
2012-01-23,Xavier-Jérôme Gay,Sortie,Carte nationale dIdentité,28980986,Niger,Niger
2012-01-23,Honoré-Yves Girard,Sortie,Passeport,75008183,Aéroport de Cotonou,Guatemala
2012-01-23,Amélie Dos Santos,Sortie,Carte nationale dIdentité,66733660,Aéroport de Cotonou,Tonga
2012-01-24,Gabrielle Blot-Noël,Sortie,Carte nationale dIdentité,62610101,Aéroport de Cotonou,Andorre
2012-01-24,Jacques Adam-Clerc,Entrée,Passeport,3271940,Nigéria,Bénin
2012-01-25,Richard-Joseph Marchal,Sortie,Carte nationale dIdentité,76161259,Niger,Niger
2012-01-25,Éric Mercier,Entrée,Carte nationale dIdentité,37843101,Burikina-Faso,Bénin
2012-01-25,Constance Delaunay,Entrée,Carte nationale dIdentité,78037228,Burikina-Faso,Bénin
2012-01-25,Vincent Lebrun,Sortie,Carte nationale dIdentité,28609215,Burikina-Faso,Burikina-Faso
2012-01-26,Gabriel Ramos,Entrée,Passeport,98140213,Togo,Bénin
2012-01-27,Stéphane Hardy,Sortie,Passeport,19236326,Aéroport de Cotonou,Hong Kong
2012-01-27,Olivier Robert,Entrée,Carte nationale dIdentité,6903113,Togo,Bénin
2012-01-27,Honoré Gaillard,Entrée,Passeport,14210243,Burikina-Faso,Bénin
2012-01-27,Grégoire Maillet,Entrée,Passeport,27778441,Togo,Bénin
2012-01-28,Célina De Sousa,Sortie,Passeport,49315643,Burikina-Faso,Burikina-Faso
2012-01-28,Marc Georges,Entrée,Carte nationale dIdentité,12572513,Aéroport de Cotonou,Bénin
2012-01-28,Luc Hamon,Sortie,Carte nationale dIdentité,96267928,Niger,Niger
2012-01-28,Monique Guibert,Entrée,Passeport,9842353,Togo,Bénin
2012-01-28,Denis de Guillaume,Entrée,Passeport,98229076,Togo,Bénin
2012-01-29,Olivier de la Moreau,Sortie,Carte nationale dIdentité,33791133,Burikina-Faso,Burikina-Faso
2012-01-29,Margaux Allain,Entrée,Passeport,62705404,Niger,Bénin
2012-01-29,Nicole Breton,Entrée,Carte nationale dIdentité,4073648,Niger,Bénin
2012-01-29,Honoré-Yves Girard,Entrée,Carte nationale dIdentité,80328424,Burikina-Faso,Bénin
2012-01-29,Alexandria Fernandez-Lopes,Sortie,Passeport,79815228,Aéroport de Cotonou,Ouganda
2012-01-29,Sabine Coulon,Sortie,Carte nationale dIdentité,2449885,Niger,Niger
2012-01-29,Nicole du Gosselin,Entrée,Carte nationale dIdentité,11420823,Togo,Bénin
2012-01-29,Vincent Rodrigues,Sortie,Carte nationale dIdentité,48281140,Aéroport de Cotonou,Kazakhstan
2012-01-30,Anastasie Guillet-Rodrigues,Sortie,Passeport,71451395,Aéroport de Cotonou,Cameroun
2012-01-30,Corinne Mallet,Entrée,Carte nationale dIdentité,86528448,Aéroport de Cotonou,Bénin
2012-01-30,Laurent Mace,Sortie,Carte nationale dIdentité,934335,Burikina-Faso,Burikina-Faso
2012-01-31,Joseph Peltier-Robert,Sortie,Carte nationale dIdentité,51878886,Aéroport de Cotonou,Comores
2012-01-31,Yves Briand du Albert,Sortie,Passeport,17958495,Burikina-Faso,Burikina-Faso
2012-01-31,Alix-Claire Voisin,Entrée,Carte nationale dIdentité,44695759,Aéroport de Cotonou,Bénin
2012-01-31,Noël Fleury,Entrée,Carte nationale dIdentité,37519006,Burikina-Faso,Bénin
2012-02-01,Joséphine Girard,Entrée,Passeport,15436715,Niger,Bénin
2012-02-02,Joséphine Girard,Sortie,Carte nationale dIdentité,46608541,Togo,Togo
2012-02-02,André Maurice,Sortie,Passeport,59024029,Burikina-Faso,Burikina-Faso
2012-02-02,Noël Fleury,Sortie,Carte nationale dIdentité,37519006,Burikina-Faso,Burikina-Faso
2012-02-02,Océane Mercier,Sortie,Passeport,29070014,Nigéria,Nigéria
2012-02-02,Alfred Ledoux,Entrée,Passeport,17917817,Nigéria,Bénin
2012-02-03,Georges Guillou-Blondel,Sortie,Carte nationale dIdentité,11848145,Nigéria,Nigéria
2012-02-03,Denis de Guillaume,Sortie,Carte nationale dIdentité,69909091,Aéroport de Cotonou,Mozambique
2012-02-03,Patrick Gaillard,Entrée,Passeport,5167925,Niger,Bénin
2012-02-03,Olivie de la Bonnet,Sortie,Carte nationale dIdentité,57136494,Togo,Togo
2012-02-03,Lucie-Valérie Baron,Entrée,Passeport,38895558,Nigéria,Bénin
2012-02-03,David Ruiz,Sortie,Passeport,20632790,Aéroport de Cotonou,Vanuatu
2012-02-03,Jérôme Marques-Lemaire,Entrée,Carte nationale dIdentité,98865837,Togo,Bénin
2012-02-03,Lucas Baron,Sortie,Carte nationale dIdentité,97275684,Burikina-Faso,Burikina-Faso
2012-02-03,Vincent du Chartier,Entrée,Carte nationale dIdentité,2899640,Niger,Bénin
2012-02-03,Noël Fleury,Entrée,Carte nationale dIdentité,37519006,Togo,Bénin
2012-02-04,Hélène Fischer du Marin,Sortie,Passeport,72748712,Aéroport de Cotonou,Malawi
2012-02-04,Roger du Clément,Sortie,Passeport,94258029,Togo,Togo
2012-02-05,Honoré Gaillard,Sortie,Passeport,14210243,Togo,Togo
2012-02-05,Honoré Gaillard,Sortie,Passeport,14210243,Burikina-Faso,Burikina-Faso
2012-02-06,Hortense Dijoux,Sortie,Passeport,43480653,Togo,Togo
2012-02-06,Grégoire Maillet,Entrée,Passeport,27778441,Niger,Bénin
2012-02-06,Gabriel Ramos,Entrée,Carte nationale dIdentité,36705768,Niger,Bénin
2012-02-07,Vincent Rodrigues,Sortie,Passeport,32865985,Burikina-Faso,Burikina-Faso
2012-02-07,Élise Hoareau-Simon,Entrée,Carte nationale dIdentité,47685346,Burikina-Faso,Bénin
2012-02-07,Arnaude Martin,Sortie,Passeport,49718999,Burikina-Faso,Burikina-Faso
2012-02-07,Alexandre Seguin,Sortie,Carte nationale dIdentité,11105856,Nigéria,Nigéria
2012-02-07,Lucie-Valérie Baron,Sortie,Carte nationale dIdentité,72599140,Togo,Togo
2012-02-07,Honoré-Yves Girard,Entrée,Carte nationale dIdentité,80328424,Aéroport de Cotonou,Bénin
2012-02-08,Christine Le Jacquet,Sortie,Carte nationale dIdentité,11778407,Burikina-Faso,Burikina-Faso
2012-02-08,Noël Fleury,Sortie,Carte nationale dIdentité,37519006,Burikina-Faso,Burikina-Faso
2012-02-08,Amélie-Juliette Lemonnier,Entrée,Carte nationale dIdentité,4240286,Niger,Bénin
2012-02-08,Jacques Delattre,Sortie,Carte nationale dIdentité,39906945,Togo,Togo
2012-02-09,Charles Rodrigues,Sortie,Carte nationale dIdentité,90765726,Burikina-Faso,Burikina-Faso
2012-02-09,Olivier de la Moreau,Sortie,Passeport,91990985,Togo,Togo
2012-02-09,Monique Guibert,Sortie,Carte nationale dIdentité,19026443,Niger,Niger
2012-02-09,Andrée Guillaume,Sortie,Passeport,88971789,Aéroport de Cotonou,Mali
2012-02-10,Élise Hoareau-Simon,Sortie,Passeport,71640811,Niger,Niger
2012-02-10,Théophile Texier,Entrée,Carte nationale dIdentité,22223349,Burikina-Faso,Bénin
2012-02-10,Margot Lenoir,Entrée,Passeport,27406623,Aéroport de Cotonou,Bénin
2012-02-10,David Vincent,Sortie,Passeport,23770405,Togo,Togo
2012-02-10,Louis Coulon,Sortie,Carte nationale dIdentité,66645145,Togo,Togo
2012-02-10,Constance Blanchet-Goncalves,Sortie,Passeport,64270786,Aéroport de Cotonou,Namibie
2012-02-10,David Vincent,Entrée,Passeport,23770405,Nigéria,Bénin
2012-02-10,Lucas Baron,Entrée,Passeport,68716585,Niger,Bénin
2012-02-10,Pénélope Olivier,Sortie,Passeport,63133313,Aéroport de Cotonou,Gambie
2012-02-11,Zacharie Poirier,Entrée,Passeport,63353081,Burikina-Faso,Bénin
2012-02-11,Louis Bouchet,Sortie,Passeport,82764023,Nigéria,Nigéria
2012-02-11,Hortense Huet de la Renaud,Sortie,Carte nationale dIdentité,48724020,Nigéria,Nigéria
2012-02-11,Georges Guillou-Blondel,Sortie,Passeport,98306589,Togo,Togo
2012-02-11,Théophile Texier,Entrée,Carte nationale dIdentité,22223349,Nigéria,Bénin
2012-02-11,Suzanne Girard,Sortie,Carte nationale dIdentité,33337234,Togo,Togo
2012-02-11,Vincent Barbe,Entrée,Passeport,19843879,Nigéria,Bénin
2012-02-12,Bernadette De Sousa,Sortie,Carte nationale dIdentité,71080189,Aéroport de Cotonou,Guatemala
2012-02-12,Timothée Rodriguez-Grondin,Sortie,Carte nationale dIdentité,51691537,Niger,Niger
2012-02-12,Frédérique Roux-Blanchard,Entrée,Carte nationale dIdentité,99908498,Aéroport de Cotonou,Bénin
2012-02-12,Hortense Bodin,Sortie,Carte nationale dIdentité,16580776,Nigéria,Nigéria
2012-02-13,Bernadette De Sousa,Sortie,Carte nationale dIdentité,71080189,Togo,Togo
2012-02-13,Antoinette Navarro,Sortie,Passeport,4648339,Niger,Niger
2012-02-13,Antoinette Navarro,Entrée,Carte nationale dIdentité,31667670,Aéroport de Cotonou,Bénin
2012-02-13,Louis Coulon,Sortie,Passeport,54824273,Togo,Togo
2012-02-13,Vincent du Chartier,Sortie,Passeport,79366260,Aéroport de Cotonou,Turquie
2012-02-13,Jeanne Lecomte,Sortie,Carte nationale dIdentité,58868621,Nigéria,Nigéria
2012-02-14,Sophie Adam,Sortie,Carte nationale dIdentité,54586070,Aéroport de Cotonou,Malte
2012-02-14,Dominique Fontaine,Entrée,Passeport,25070242,Togo,Bénin
2012-02-14,Louis Coulon,Sortie,Passeport,54824273,Aéroport de Cotonou,Namibie
2012-02-14,Paul Bonneau,Entrée,Passeport,70441327,Aéroport de Cotonou,Bénin
2012-02-15,Manon Bouchet,Entrée,Passeport,33383058,Niger,Bénin
2012-02-15,Daniel-Augustin Bernard,Entrée,Passeport,37240323,Niger,Bénin
2012-02-15,Bernard Le Gall,Entrée,Carte nationale dIdentité,89734896,Aéroport de Cotonou,Bénin
2012-02-16,Brigitte Coste,Entrée,Passeport,12416039,Aéroport de Cotonou,Bénin
2012-02-16,Monique Guibert,Entrée,Passeport,9842353,Burikina-Faso,Bénin
2012-02-16,Aimé Renault de Garcia,Entrée,Carte nationale dIdentité,11907308,Nigéria,Bénin
2012-02-17,Claire Millet-Chevalier,Entrée,Passeport,76320137,Burikina-Faso,Bénin
2012-02-18,Gabrielle Mendès,Sortie,Passeport,98233383,Nigéria,Nigéria
2012-02-18,Alfred Ledoux,Sortie,Passeport,17917817,Aéroport de Cotonou,Dominique
2012-02-18,Nicole Breton,Entrée,Carte nationale dIdentité,4073648,Niger,Bénin
2012-02-18,Jacques Delattre,Sortie,Passeport,49359279,Aéroport de Cotonou,Guadeloupe
2012-02-18,Brigitte Coste,Sortie,Carte nationale dIdentité,95656939,Burikina-Faso,Burikina-Faso
2012-02-18,Margaret Caron,Entrée,Carte nationale dIdentité,58961409,Niger,Bénin
2012-02-18,Nicole du Gosselin,Sortie,Carte nationale dIdentité,11420823,Aéroport de Cotonou,Afghanistan
2012-02-18,Sébastien Pereira,Entrée,Passeport,4299914,Burikina-Faso,Bénin
2012-02-19,Catherine-Michelle Mendès,Entrée,Carte nationale dIdentité,44931391,Aéroport de Cotonou,Bénin
2012-02-19,Denise Peltier,Entrée,Carte nationale dIdentité,20318871,Nigéria,Bénin
2012-02-19,Agnès Bouvier-Royer,Entrée,Carte nationale dIdentité,25348837,Togo,Bénin
2012-02-19,Guy de la Guillet,Sortie,Carte nationale dIdentité,66674479,Aéroport de Cotonou,Malaisie
2012-02-19,Mathilde Da Costa,Sortie,Carte nationale dIdentité,29936401,Togo,Togo
2012-02-20,Noël Fleury,Sortie,Passeport,93654184,Niger,Niger
2012-02-20,Grégoire Maillet,Entrée,Passeport,27778441,Aéroport de Cotonou,Bénin
2012-02-20,Arthur Paul,Sortie,Carte nationale dIdentité,45240158,Togo,Togo
2012-02-21,Véronique Coste,Entrée,Carte nationale dIdentité,62521333,Nigéria,Bénin
2012-02-21,Nicole du Gosselin,Entrée,Passeport,57583240,Aéroport de Cotonou,Bénin
2012-02-21,Agathe-Nicole Texier,Sortie,Passeport,97773695,Nigéria,Nigéria
2012-02-22,Bernard Le Gall,Entrée,Passeport,34750700,Niger,Bénin
2012-02-22,Jeanne Lecomte,Sortie,Passeport,20428097,Nigéria,Nigéria
2012-02-22,Astrid de la Bertin,Sortie,Passeport,19992852,Aéroport de Cotonou,Haïti
2012-02-22,Édith-Anaïs Leclercq,Entrée,Passeport,24010498,Aéroport de Cotonou,Bénin
2012-02-22,Alice Michaud de Da Costa,Entrée,Passeport,11024764,Aéroport de Cotonou,Bénin
2012-02-22,Daniel-Augustin Bernard,Entrée,Carte nationale dIdentité,69844718,Aéroport de Cotonou,Bénin
2012-02-23,Jacques David,Entrée,Passeport,85329681,Niger,Bénin
2012-02-23,Hortense Dijoux,Sortie,Passeport,43480653,Niger,Niger
2012-02-23,Gilbert Marie-Laine,Sortie,Carte nationale dIdentité,51325860,Burikina-Faso,Burikina-Faso
2012-02-23,Diane Potier,Entrée,Carte nationale dIdentité,54174384,Aéroport de Cotonou,Bénin
2012-02-23,Corinne Mallet,Entrée,Passeport,17571037,Burikina-Faso,Bénin
2012-02-23,Alexandria Fernandez-Lopes,Entrée,Passeport,79815228,Togo,Bénin
2012-02-23,Gilles Charpentier-Hamon,Sortie,Passeport,87879475,Togo,Togo
2012-02-24,Margot de Dias,Entrée,Passeport,6133184,Niger,Bénin
2012-02-24,Vincent Rodrigues,Entrée,Carte nationale dIdentité,48281140,Nigéria,Bénin
2012-02-24,Lucie-Valérie Baron,Sortie,Carte nationale dIdentité,72599140,Aéroport de Cotonou,Irlande
2012-02-24,Arnaude Martin,Entrée,Carte nationale dIdentité,51927396,Nigéria,Bénin
2012-02-24,Diane Perrin,Sortie,Carte nationale dIdentité,27985532,Nigéria,Nigéria
2012-02-24,Isaac Fontaine de la Fournier,Sortie,Passeport,49622170,Aéroport de Cotonou,Cuba
2012-02-25,Paul-Noël Bousquet,Sortie,Carte nationale dIdentité,11977418,Nigéria,Nigéria
2012-02-25,Michel Ruiz-Delattre,Entrée,Passeport,78898403,Togo,Bénin
2012-02-26,Georges Guillou-Blondel,Sortie,Passeport,98306589,Nigéria,Nigéria
2012-02-26,Gabrielle Delahaye,Sortie,Carte nationale dIdentité,22213695,Burikina-Faso,Burikina-Faso
2012-02-26,Sophie Adam,Entrée,Passeport,78104635,Burikina-Faso,Bénin
2012-02-26,Pénélope Olivier,Sortie,Passeport,63133313,Burikina-Faso,Burikina-Faso
2012-02-27,Noël Fleury,Entrée,Passeport,93654184,Togo,Bénin
2012-02-27,Franck Carlier,Sortie,Carte nationale dIdentité,30530734,Niger,Niger
2012-02-27,Cécile Dufour,Entrée,Carte nationale dIdentité,95944177,Niger,Bénin
2012-02-27,Antoinette Navarro,Entrée,Carte nationale dIdentité,31667670,Niger,Bénin
2012-02-28,Xavier-Jérôme Gay,Entrée,Passeport,10030307,Aéroport de Cotonou,Bénin
2012-02-28,Margot de Dias,Entrée,Passeport,6133184,Nigéria,Bénin
2012-02-28,Gérard de Aubry,Sortie,Carte nationale dIdentité,8862796,Burikina-Faso,Burikina-Faso
2012-02-29,Thibaut Peltier Le Guilbert,Entrée,Passeport,59807690,Aéroport de Cotonou,Bénin
2012-02-29,Gabriel Ramos,Sortie,Carte nationale dIdentité,36705768,Nigéria,Nigéria
2012-02-29,Gabrielle Mendès,Entrée,Carte nationale dIdentité,22339890,Niger,Bénin
2012-02-29,Amélie-Aimée Michel,Sortie,Passeport,40305952,Aéroport de Cotonou,République centrafricaine
2012-02-29,Alexandre Seguin,Sortie,Passeport,14430694,Togo,Togo
2012-02-29,Adèle Lambert,Sortie,Carte nationale dIdentité,12385957,Aéroport de Cotonou,Guadeloupe
2012-02-29,Grégoire Guichard,Entrée,Carte nationale dIdentité,86650576,Togo,Bénin
2012-03-01,Antoinette Navarro,Entrée,Carte nationale dIdentité,31667670,Burikina-Faso,Bénin
2012-03-01,Lucy-Brigitte Turpin,Sortie,Passeport,10057478,Aéroport de Cotonou,Libéria
2012-03-01,Agathe-Nicole Texier,Sortie,Carte nationale dIdentité,41481706,Nigéria,Nigéria
2012-03-01,Emmanuel Marchand,Entrée,Passeport,65272024,Togo,Bénin
2012-03-01,Adèle Lambert,Sortie,Passeport,16729443,Burikina-Faso,Burikina-Faso
2012-03-02,Éric Boulay-Michel,Sortie,Carte nationale dIdentité,56983425,Niger,Niger
2012-03-02,Jérôme Marques-Lemaire,Sortie,Passeport,3981993,Niger,Niger
2012-03-02,Anastasie Guillet-Rodrigues,Entrée,Passeport,71451395,Niger,Bénin
2012-03-03,Adrien Dumont de la Rolland,Entrée,Carte nationale dIdentité,31519716,Aéroport de Cotonou,Bénin
2012-03-03,Roland Menard,Sortie,Carte nationale dIdentité,29699406,Nigéria,Nigéria
2012-03-03,Sébastien Blin,Sortie,Passeport,4395874,Aéroport de Cotonou,Guinée
2012-03-03,Luc Peron,Entrée,Passeport,79309355,Aéroport de Cotonou,Bénin
2012-03-03,Agathe-Nicole Texier,Entrée,Passeport,97773695,Burikina-Faso,Bénin
2012-03-04,Nicole du Gosselin,Entrée,Passeport,57583240,Nigéria,Bénin
2012-03-04,Denis de Guillaume,Entrée,Passeport,98229076,Nigéria,Bénin
2012-03-04,Margaret-Brigitte Gosselin,Entrée,Passeport,77805595,Togo,Bénin
2012-03-04,Corinne Mallet,Sortie,Passeport,17571037,Aéroport de Cotonou,Mexique
2012-03-04,Pénélope Turpin-Costa,Entrée,Carte nationale dIdentité,10974618,Nigéria,Bénin
2012-03-04,Louis Coulon,Entrée,Passeport,54824273,Aéroport de Cotonou,Bénin
2012-03-04,Zacharie Poirier,Sortie,Carte nationale dIdentité,87549590,Togo,Togo
