relative_to,sender,receiver,operator,type,date,amount
Anouk Camus,Anouk Camus,Valentine Lelièvre,mtn,TRANSFER,2022-01-01,113200
Valentine Lelièvre,,,mtn,CASH_IN,2022-01-02,213000
Valentine Lelièvre,,,mtn,CASH_OUT,2022-01-11,21200
Véronique du Schmitt,,,mtn,CASH_IN,2022-01-18,122700
Véronique du Schmitt,Jacqueline Lemonnier-Nguyen,Véronique du Schmitt,mtn,RECEIPT,2022-01-19,136300
Jacqueline Lemonnier-Nguyen,Jacqueline Lemonnier-Nguyen,Véronique du Schmitt,mtn,TRANSFER,2022-01-19,136300
Véronique du Schmitt,,,mtn,CASH_OUT,2022-01-27,274000
Martine Lacroix,Amélie Faivre,Martine Lacroix,mtn,RECEIPT,2022-01-05,404600
Amélie Faivre,Amélie Faivre,Martine Lacroix,mtn,TRANSFER,2022-01-05,404600
Martine Lacroix,,,mtn,CASH_OUT,2022-01-19,318400
Martine Lacroix,Martine Lacroix,Joséphine Legrand,mtn,TRANSFER,2022-01-23,438000
Joséphine Legrand,Martine Lacroix,Joséphine Legrand,mtn,RECEIPT,2022-01-23,438000
Valérie Samson-Blanc,Valérie Samson-Blanc,Matthieu Robin,mtn,TRANSFER,2022-01-01,121000
Matthieu Robin,Valérie Samson-Blanc,Matthieu Robin,mtn,RECEIPT,2022-01-01,121000
Valérie Samson-Blanc,,,mtn,CASH_OUT,2022-01-19,227600
Caroline Lejeune de la Bonnet,Lucie Dijoux de Boyer,Caroline Lejeune de la Bonnet,mtn,RECEIPT,2022-01-08,320300
Lucie Dijoux de Boyer,Lucie Dijoux de Boyer,Caroline Lejeune de la Bonnet,mtn,TRANSFER,2022-01-08,320300
Caroline Lejeune de la Bonnet,,,mtn,CASH_OUT,2022-01-08,295300
Caroline Lejeune de la Bonnet,,,mtn,CASH_OUT,2022-01-19,35400
Caroline Lejeune de la Bonnet,,,mtn,CASH_OUT,2022-01-23,277800
Adrien de la Reynaud,Lucie Dijoux de Boyer,Adrien de la Reynaud,mtn,RECEIPT,2022-01-03,293300
Lucie Dijoux de Boyer,Lucie Dijoux de Boyer,Adrien de la Reynaud,mtn,TRANSFER,2022-01-03,293300
Adrien de la Reynaud,,,mtn,CASH_IN,2022-01-05,191200
Adrien de la Reynaud,,,mtn,CASH_OUT,2022-01-23,180400
Agnès Bouvet,,,mtn,CASH_IN,2022-01-01,222900
Agnès Bouvet,Lucie Dumont,Agnès Bouvet,mtn,RECEIPT,2022-01-02,33000
Lucie Dumont,Lucie Dumont,Agnès Bouvet,mtn,TRANSFER,2022-01-02,33000
Agnès Bouvet,Agnès Bouvet,Anaïs Courtois,mtn,TRANSFER,2022-01-18,376800
Anaïs Courtois,Agnès Bouvet,Anaïs Courtois,mtn,RECEIPT,2022-01-18,376800
Agnès Bouvet,Aimé Colas du Prévost,Agnès Bouvet,mtn,RECEIPT,2022-01-19,336800
Aimé Colas du Prévost,Aimé Colas du Prévost,Agnès Bouvet,mtn,TRANSFER,2022-01-19,336800
Agnès Bouvet,Agnès Bouvet,Antoinette Leconte-Boutin,mtn,TRANSFER,2022-01-23,17200
Antoinette Leconte-Boutin,Agnès Bouvet,Antoinette Leconte-Boutin,mtn,RECEIPT,2022-01-23,17200
Josette Dupuy du Paul,Josette Dupuy du Paul,Brigitte-Olivie Nicolas,mtn,TRANSFER,2022-01-02,225800
Brigitte-Olivie Nicolas,Josette Dupuy du Paul,Brigitte-Olivie Nicolas,mtn,RECEIPT,2022-01-02,225800
Josette Dupuy du Paul,,,mtn,CASH_IN,2022-01-04,456700
Josette Dupuy du Paul,,,mtn,CASH_IN,2022-01-07,383000
Josette Dupuy du Paul,Josette Dupuy du Paul,Marguerite-Michelle Fournier,mtn,TRANSFER,2022-01-12,365500
Marguerite-Michelle Fournier,Josette Dupuy du Paul,Marguerite-Michelle Fournier,mtn,RECEIPT,2022-01-12,365500
Clémence Chauvet de la Roger,Clémence Chauvet de la Roger,Amélie-Marie Jacquot,mtn,TRANSFER,2022-01-01,239900
Amélie-Marie Jacquot,Clémence Chauvet de la Roger,Amélie-Marie Jacquot,mtn,RECEIPT,2022-01-01,239900
Clémence Chauvet de la Roger,,,mtn,CASH_OUT,2022-01-06,397200
Clémence Chauvet de la Roger,,,mtn,CASH_IN,2022-01-21,202900
Matthieu Robin,Charles Dupuy,Matthieu Robin,mtn,RECEIPT,2022-01-12,360600
Charles Dupuy,Charles Dupuy,Matthieu Robin,mtn,TRANSFER,2022-01-12,360600
Victor Payet,Victor Payet,Éric Lemonnier,mtn,TRANSFER,2022-01-09,345600
Éric Lemonnier,Victor Payet,Éric Lemonnier,mtn,RECEIPT,2022-01-09,345600
Victor Payet,Victor Payet,Alphonse Couturier,mtn,TRANSFER,2022-01-22,328400
Alphonse Couturier,Victor Payet,Alphonse Couturier,mtn,RECEIPT,2022-01-22,328400
Victor Payet,,,mtn,CASH_OUT,2022-01-27,441000
Henri Weiss,Henri Weiss,Adrien Dupré du Hamon,mtn,TRANSFER,2022-01-11,40500
Adrien Dupré du Hamon,Henri Weiss,Adrien Dupré du Hamon,mtn,RECEIPT,2022-01-11,40500
Henri Weiss,Henri Weiss,Nicole Jacquet,mtn,TRANSFER,2022-01-15,195500
Nicole Jacquet,Henri Weiss,Nicole Jacquet,mtn,RECEIPT,2022-01-15,195500
Hugues Gérard,Hugues Gérard,Alphonse Couturier,mtn,TRANSFER,2022-01-06,134100
Alphonse Couturier,Hugues Gérard,Alphonse Couturier,mtn,RECEIPT,2022-01-06,134100
Hugues Gérard,Claude de la Julien,Hugues Gérard,mtn,RECEIPT,2022-01-21,100400
Claude de la Julien,Claude de la Julien,Hugues Gérard,mtn,TRANSFER,2022-01-21,100400
Thibault Maillet,Marc Allard,Thibault Maillet,mtn,RECEIPT,2022-01-17,344800
Marc Allard,Marc Allard,Thibault Maillet,mtn,TRANSFER,2022-01-17,344800
Alphonse Couturier,Alphonse Couturier,Aimé Colas du Prévost,mtn,TRANSFER,2022-01-09,183300
Aimé Colas du Prévost,Alphonse Couturier,Aimé Colas du Prévost,mtn,RECEIPT,2022-01-09,183300
Alphonse Couturier,,,mtn,CASH_OUT,2022-01-10,20600
Alphonse Couturier,Lucie Dumont,Alphonse Couturier,mtn,RECEIPT,2022-01-21,136100
Lucie Dumont,Lucie Dumont,Alphonse Couturier,mtn,TRANSFER,2022-01-21,136100
Alphonse Couturier,,,mtn,CASH_IN,2022-01-25,244800
Alphonse Couturier,Louise Hervé,Alphonse Couturier,mtn,RECEIPT,2022-01-27,214700
Louise Hervé,Louise Hervé,Alphonse Couturier,mtn,TRANSFER,2022-01-27,214700
Lucie Dijoux de Boyer,Thibault Martin,Lucie Dijoux de Boyer,mtn,RECEIPT,2022-01-12,183200
Thibault Martin,Thibault Martin,Lucie Dijoux de Boyer,mtn,TRANSFER,2022-01-12,183200
Lucie Dijoux de Boyer,Lucie Dijoux de Boyer,Diane Le Goff,mtn,TRANSFER,2022-01-14,393800
Diane Le Goff,Lucie Dijoux de Boyer,Diane Le Goff,mtn,RECEIPT,2022-01-14,393800
Lucie Dijoux de Boyer,,,mtn,CASH_IN,2022-01-21,404100
Lucie Dijoux de Boyer,Joséphine Legrand,Lucie Dijoux de Boyer,mtn,RECEIPT,2022-01-27,261700
Joséphine Legrand,Joséphine Legrand,Lucie Dijoux de Boyer,mtn,TRANSFER,2022-01-27,261700
Marie Masson,Marie Masson,Éric Lemonnier,mtn,TRANSFER,2022-01-11,43300
Éric Lemonnier,Marie Masson,Éric Lemonnier,mtn,RECEIPT,2022-01-11,43300
Pauline-Alexandria Colas,Pauline-Alexandria Colas,Laurence Lefort,mtn,TRANSFER,2022-01-02,235100
Laurence Lefort,Pauline-Alexandria Colas,Laurence Lefort,mtn,RECEIPT,2022-01-02,235100
Pauline-Alexandria Colas,Pauline-Alexandria Colas,Arthur Lemaître,mtn,TRANSFER,2022-01-07,125400
Arthur Lemaître,Pauline-Alexandria Colas,Arthur Lemaître,mtn,RECEIPT,2022-01-07,125400
Pauline-Alexandria Colas,,,mtn,CASH_IN,2022-01-10,177200
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-01,393800
Thérèse Bouchet,Susan Buisson du Klein,Thérèse Bouchet,mtn,RECEIPT,2022-01-02,231900
Susan Buisson du Klein,Susan Buisson du Klein,Thérèse Bouchet,mtn,TRANSFER,2022-01-02,231900
Thérèse Bouchet,Thibault Martin,Thérèse Bouchet,mtn,RECEIPT,2022-01-03,490300
Thibault Martin,Thibault Martin,Thérèse Bouchet,mtn,TRANSFER,2022-01-03,490300
Thérèse Bouchet,Thérèse Bouchet,Amélie-Marie Jacquot,mtn,TRANSFER,2022-01-05,142800
Amélie-Marie Jacquot,Thérèse Bouchet,Amélie-Marie Jacquot,mtn,RECEIPT,2022-01-05,142800
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-05,221200
Thérèse Bouchet,Marguerite-Michelle Fournier,Thérèse Bouchet,mtn,RECEIPT,2022-01-05,340900
Marguerite-Michelle Fournier,Marguerite-Michelle Fournier,Thérèse Bouchet,mtn,TRANSFER,2022-01-05,340900
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-07,470400
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-10,305300
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-13,264800
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-13,451200
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-14,12200
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-15,293900
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-15,57400
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-18,103000
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-18,28300
Thérèse Bouchet,Thérèse Bouchet,Henriette Mallet Le Rodriguez,mtn,TRANSFER,2022-01-19,465300
Henriette Mallet Le Rodriguez,Thérèse Bouchet,Henriette Mallet Le Rodriguez,mtn,RECEIPT,2022-01-19,465300
Thérèse Bouchet,Thérèse Bouchet,Maggie Gaudin du Bonnin,mtn,TRANSFER,2022-01-19,329100
Maggie Gaudin du Bonnin,Thérèse Bouchet,Maggie Gaudin du Bonnin,mtn,RECEIPT,2022-01-19,329100
Thérèse Bouchet,Marcel Besson-Barre,Thérèse Bouchet,mtn,RECEIPT,2022-01-19,122200
Marcel Besson-Barre,Marcel Besson-Barre,Thérèse Bouchet,mtn,TRANSFER,2022-01-19,122200
Thérèse Bouchet,Thérèse Bouchet,Anaïs Courtois,mtn,TRANSFER,2022-01-19,107100
Anaïs Courtois,Thérèse Bouchet,Anaïs Courtois,mtn,RECEIPT,2022-01-19,107100
Thérèse Bouchet,Thérèse Bouchet,Antoinette Leconte-Boutin,mtn,TRANSFER,2022-01-21,167700
Antoinette Leconte-Boutin,Thérèse Bouchet,Antoinette Leconte-Boutin,mtn,RECEIPT,2022-01-21,167700
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-21,23800
Thérèse Bouchet,,,mtn,CASH_IN,2022-01-25,204500
Thérèse Bouchet,Thérèse Bouchet,Antoinette Leconte-Boutin,mtn,TRANSFER,2022-01-25,477800
Antoinette Leconte-Boutin,Thérèse Bouchet,Antoinette Leconte-Boutin,mtn,RECEIPT,2022-01-25,477800
Thérèse Bouchet,,,mtn,CASH_OUT,2022-01-26,453000
Thérèse Bouchet,Thérèse Bouchet,Alexandrie Martel,mtn,TRANSFER,2022-01-27,29300
Alexandrie Martel,Thérèse Bouchet,Alexandrie Martel,mtn,RECEIPT,2022-01-27,29300
Thérèse Bouchet,Thérèse Bouchet,Thibault Martin,mtn,TRANSFER,2022-01-27,166800
Thibault Martin,Thérèse Bouchet,Thibault Martin,mtn,RECEIPT,2022-01-27,166800
Susan Buisson du Klein,René Diaz,Susan Buisson du Klein,mtn,RECEIPT,2022-01-02,235400
René Diaz,René Diaz,Susan Buisson du Klein,mtn,TRANSFER,2022-01-02,235400
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-02,65300
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-03,397200
Susan Buisson du Klein,Susan Buisson du Klein,Laurence Lefort,mtn,TRANSFER,2022-01-06,295800
Laurence Lefort,Susan Buisson du Klein,Laurence Lefort,mtn,RECEIPT,2022-01-06,295800
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-07,239300
Susan Buisson du Klein,Henri Gaillard,Susan Buisson du Klein,mtn,RECEIPT,2022-01-07,55400
Henri Gaillard,Henri Gaillard,Susan Buisson du Klein,mtn,TRANSFER,2022-01-07,55400
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-08,148000
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-09,78300
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-10,490000
Susan Buisson du Klein,Clémence Pages,Susan Buisson du Klein,mtn,RECEIPT,2022-01-10,10200
Clémence Pages,Clémence Pages,Susan Buisson du Klein,mtn,TRANSFER,2022-01-10,10200
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-10,340500
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-11,192300
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-12,251300
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-14,225900
Susan Buisson du Klein,Nicolas de la Paul,Susan Buisson du Klein,mtn,RECEIPT,2022-01-15,325100
Nicolas de la Paul,Nicolas de la Paul,Susan Buisson du Klein,mtn,TRANSFER,2022-01-15,325100
Susan Buisson du Klein,,,mtn,CASH_OUT,2022-01-21,211500
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-21,64000
Susan Buisson du Klein,Susan Buisson du Klein,Christine Morvan,mtn,TRANSFER,2022-01-23,104800
Christine Morvan,Susan Buisson du Klein,Christine Morvan,mtn,RECEIPT,2022-01-23,104800
Susan Buisson du Klein,Susan Buisson du Klein,Claire Noël,mtn,TRANSFER,2022-01-23,263000
Claire Noël,Susan Buisson du Klein,Claire Noël,mtn,RECEIPT,2022-01-23,263000
Susan Buisson du Klein,Sébastien Monnier,Susan Buisson du Klein,mtn,RECEIPT,2022-01-23,494400
Sébastien Monnier,Sébastien Monnier,Susan Buisson du Klein,mtn,TRANSFER,2022-01-23,494400
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-23,110600
Susan Buisson du Klein,,,mtn,CASH_IN,2022-01-24,405700
Susan Buisson du Klein,Sébastien Monnier,Susan Buisson du Klein,mtn,RECEIPT,2022-01-27,486000
Sébastien Monnier,Sébastien Monnier,Susan Buisson du Klein,mtn,TRANSFER,2022-01-27,486000
Marine Durand,Marine Durand,Alexandrie Martel,mtn,TRANSFER,2022-01-01,294700
Alexandrie Martel,Marine Durand,Alexandrie Martel,mtn,RECEIPT,2022-01-01,294700
Marine Durand,,,mtn,CASH_OUT,2022-01-01,423100
Marine Durand,,,mtn,CASH_OUT,2022-01-03,1300
Marine Durand,Jacqueline Colas,Marine Durand,mtn,RECEIPT,2022-01-04,36700
Jacqueline Colas,Jacqueline Colas,Marine Durand,mtn,TRANSFER,2022-01-04,36700
Marine Durand,,,mtn,CASH_IN,2022-01-06,394000
Marine Durand,Marine Durand,Arnaude Hernandez-Perret,mtn,TRANSFER,2022-01-06,194000
Arnaude Hernandez-Perret,Marine Durand,Arnaude Hernandez-Perret,mtn,RECEIPT,2022-01-06,194000
Marine Durand,,,mtn,CASH_OUT,2022-01-08,371600
Marine Durand,,,mtn,CASH_OUT,2022-01-10,154900
Marine Durand,Lucie Dumont,Marine Durand,mtn,RECEIPT,2022-01-10,239900
Lucie Dumont,Lucie Dumont,Marine Durand,mtn,TRANSFER,2022-01-10,239900
Marine Durand,,,mtn,CASH_OUT,2022-01-11,248800
Marine Durand,,,mtn,CASH_OUT,2022-01-14,213300
Marine Durand,Marine Durand,Arthur Lemaître,mtn,TRANSFER,2022-01-14,419000
Arthur Lemaître,Marine Durand,Arthur Lemaître,mtn,RECEIPT,2022-01-14,419000
Marine Durand,,,mtn,CASH_OUT,2022-01-15,18500
Marine Durand,Marc Allard,Marine Durand,mtn,RECEIPT,2022-01-16,459100
Marc Allard,Marc Allard,Marine Durand,mtn,TRANSFER,2022-01-16,459100
Marine Durand,,,mtn,CASH_OUT,2022-01-18,359800
Marine Durand,,,mtn,CASH_OUT,2022-01-18,208600
Marine Durand,Marine Durand,Amélie-Marie Jacquot,mtn,TRANSFER,2022-01-19,324500
Amélie-Marie Jacquot,Marine Durand,Amélie-Marie Jacquot,mtn,RECEIPT,2022-01-19,324500
Marine Durand,,,mtn,CASH_OUT,2022-01-21,470900
Marine Durand,,,mtn,CASH_IN,2022-01-21,406100
Marine Durand,Gabriel Ruiz-Léger,Marine Durand,mtn,RECEIPT,2022-01-22,42700
Gabriel Ruiz-Léger,Gabriel Ruiz-Léger,Marine Durand,mtn,TRANSFER,2022-01-22,42700
Marine Durand,,,mtn,CASH_OUT,2022-01-24,165300
Marine Durand,Jacqueline Colas,Marine Durand,mtn,RECEIPT,2022-01-24,228100
Jacqueline Colas,Jacqueline Colas,Marine Durand,mtn,TRANSFER,2022-01-24,228100
Marine Durand,Marine Durand,Amélie-Marie Jacquot,mtn,TRANSFER,2022-01-25,224600
Amélie-Marie Jacquot,Marine Durand,Amélie-Marie Jacquot,mtn,RECEIPT,2022-01-25,224600
Marine Durand,,,mtn,CASH_OUT,2022-01-25,214000
Marine Durand,,,mtn,CASH_IN,2022-01-25,37800
Marine Durand,,,mtn,CASH_IN,2022-01-27,281300
Éric Lemonnier,,,mtn,CASH_IN,2022-01-01,213000
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-03,265400
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-03,140600
Éric Lemonnier,Éric Lemonnier,Marc Allard,mtn,TRANSFER,2022-01-03,464800
Marc Allard,Éric Lemonnier,Marc Allard,mtn,RECEIPT,2022-01-03,464800
Éric Lemonnier,,,mtn,CASH_IN,2022-01-03,450500
Éric Lemonnier,Éric Lemonnier,Marie Legendre,mtn,TRANSFER,2022-01-04,210500
Marie Legendre,Éric Lemonnier,Marie Legendre,mtn,RECEIPT,2022-01-04,210500
Éric Lemonnier,,,mtn,CASH_IN,2022-01-05,463700
Éric Lemonnier,Éric Lemonnier,Lucy Picard,mtn,TRANSFER,2022-01-05,271900
Lucy Picard,Éric Lemonnier,Lucy Picard,mtn,RECEIPT,2022-01-05,271900
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-05,139700
Éric Lemonnier,Éric Lemonnier,Christine Morvan,mtn,TRANSFER,2022-01-06,46600
Christine Morvan,Éric Lemonnier,Christine Morvan,mtn,RECEIPT,2022-01-06,46600
Éric Lemonnier,Éric Lemonnier,Antoinette Hernandez,mtn,TRANSFER,2022-01-08,455700
Antoinette Hernandez,Éric Lemonnier,Antoinette Hernandez,mtn,RECEIPT,2022-01-08,455700
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-09,141600
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-13,146500
Éric Lemonnier,André de Hebert,Éric Lemonnier,mtn,RECEIPT,2022-01-13,105300
André de Hebert,André de Hebert,Éric Lemonnier,mtn,TRANSFER,2022-01-13,105300
Éric Lemonnier,Nicolas de la Paul,Éric Lemonnier,mtn,RECEIPT,2022-01-18,402600
Nicolas de la Paul,Nicolas de la Paul,Éric Lemonnier,mtn,TRANSFER,2022-01-18,402600
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-19,140000
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-19,161200
Éric Lemonnier,,,mtn,CASH_IN,2022-01-20,285100
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-24,8000
Éric Lemonnier,Christine Morvan,Éric Lemonnier,mtn,RECEIPT,2022-01-24,352100
Christine Morvan,Christine Morvan,Éric Lemonnier,mtn,TRANSFER,2022-01-24,352100
Éric Lemonnier,Éric Lemonnier,Brigitte-Olivie Nicolas,mtn,TRANSFER,2022-01-24,255400
Brigitte-Olivie Nicolas,Éric Lemonnier,Brigitte-Olivie Nicolas,mtn,RECEIPT,2022-01-24,255400
Éric Lemonnier,Lorraine Martel,Éric Lemonnier,mtn,RECEIPT,2022-01-25,336500
Lorraine Martel,Lorraine Martel,Éric Lemonnier,mtn,TRANSFER,2022-01-25,336500
Éric Lemonnier,,,mtn,CASH_OUT,2022-01-26,210300
Éric Lemonnier,,,mtn,CASH_IN,2022-01-26,203300
Éric Lemonnier,,,mtn,CASH_IN,2022-01-26,210100
Éric Lemonnier,Éric Lemonnier,Henri Gaillard,mtn,TRANSFER,2022-01-27,390200
Henri Gaillard,Éric Lemonnier,Henri Gaillard,mtn,RECEIPT,2022-01-27,390200
Lucie Dumont,,,mtn,CASH_IN,2022-01-01,86400
Lucie Dumont,,,mtn,CASH_IN,2022-01-02,182700
Lucie Dumont,Lucie Dumont,Antoinette Auger,mtn,TRANSFER,2022-01-03,384200
Antoinette Auger,Lucie Dumont,Antoinette Auger,mtn,RECEIPT,2022-01-03,384200
Lucie Dumont,,,mtn,CASH_OUT,2022-01-03,458600
Lucie Dumont,,,mtn,CASH_IN,2022-01-04,379600
Lucie Dumont,,,mtn,CASH_IN,2022-01-04,152400
Lucie Dumont,Amélie-Marie Jacquot,Lucie Dumont,mtn,RECEIPT,2022-01-06,338200
Amélie-Marie Jacquot,Amélie-Marie Jacquot,Lucie Dumont,mtn,TRANSFER,2022-01-06,338200
Lucie Dumont,,,mtn,CASH_OUT,2022-01-06,326900
Lucie Dumont,Roland-Rémy Lemonnier,Lucie Dumont,mtn,RECEIPT,2022-01-08,173400
Roland-Rémy Lemonnier,Roland-Rémy Lemonnier,Lucie Dumont,mtn,TRANSFER,2022-01-08,173400
Lucie Dumont,,,mtn,CASH_IN,2022-01-08,184700
Lucie Dumont,Lucie Dumont,Thibaut Besnard,mtn,TRANSFER,2022-01-09,61100
Thibaut Besnard,Lucie Dumont,Thibaut Besnard,mtn,RECEIPT,2022-01-09,61100
Lucie Dumont,,,mtn,CASH_IN,2022-01-10,196300
Lucie Dumont,,,mtn,CASH_OUT,2022-01-11,12500
Lucie Dumont,Lucie Dumont,Sébastien Monnier,mtn,TRANSFER,2022-01-11,396700
Sébastien Monnier,Lucie Dumont,Sébastien Monnier,mtn,RECEIPT,2022-01-11,396700
Lucie Dumont,,,mtn,CASH_IN,2022-01-12,326200
Lucie Dumont,Arthur Lemaître,Lucie Dumont,mtn,RECEIPT,2022-01-13,162800
Arthur Lemaître,Arthur Lemaître,Lucie Dumont,mtn,TRANSFER,2022-01-13,162800
Lucie Dumont,,,mtn,CASH_OUT,2022-01-13,158700
Lucie Dumont,,,mtn,CASH_OUT,2022-01-14,222400
Lucie Dumont,,,mtn,CASH_IN,2022-01-15,321300
Lucie Dumont,,,mtn,CASH_IN,2022-01-15,314600
Lucie Dumont,Lucie Dumont,Christine Morvan,mtn,TRANSFER,2022-01-16,43600
Christine Morvan,Lucie Dumont,Christine Morvan,mtn,RECEIPT,2022-01-16,43600
Lucie Dumont,,,mtn,CASH_OUT,2022-01-18,299600
Lucie Dumont,Lucie Dumont,Amélie Faivre,mtn,TRANSFER,2022-01-18,388700
Amélie Faivre,Lucie Dumont,Amélie Faivre,mtn,RECEIPT,2022-01-18,388700
Lucie Dumont,Lucie Dumont,Clémence Pages,mtn,TRANSFER,2022-01-19,135000
Clémence Pages,Lucie Dumont,Clémence Pages,mtn,RECEIPT,2022-01-19,135000
Lucie Dumont,,,mtn,CASH_OUT,2022-01-20,37900
Lucie Dumont,Antoine Lemonnier,Lucie Dumont,mtn,RECEIPT,2022-01-20,82400
Antoine Lemonnier,Antoine Lemonnier,Lucie Dumont,mtn,TRANSFER,2022-01-20,82400
Lucie Dumont,Marie Legendre,Lucie Dumont,mtn,RECEIPT,2022-01-24,39500
Marie Legendre,Marie Legendre,Lucie Dumont,mtn,TRANSFER,2022-01-24,39500
Lucie Dumont,Marine-Nicole Michel,Lucie Dumont,mtn,RECEIPT,2022-01-25,8000
Marine-Nicole Michel,Marine-Nicole Michel,Lucie Dumont,mtn,TRANSFER,2022-01-25,8000
Lucie Dumont,Lucie Dumont,Arthur Lemaître,mtn,TRANSFER,2022-01-25,467000
Arthur Lemaître,Lucie Dumont,Arthur Lemaître,mtn,RECEIPT,2022-01-25,467000
Thibault Salmon,Thibault Salmon,Marine-Nicole Michel,mtn,TRANSFER,2022-01-01,10300
Marine-Nicole Michel,Thibault Salmon,Marine-Nicole Michel,mtn,RECEIPT,2022-01-01,10300
Thibault Salmon,,,mtn,CASH_OUT,2022-01-01,65100
Thibault Salmon,,,mtn,CASH_OUT,2022-01-03,438700
Thibault Salmon,Olivier Deschamps,Thibault Salmon,mtn,RECEIPT,2022-01-03,153600
Olivier Deschamps,Olivier Deschamps,Thibault Salmon,mtn,TRANSFER,2022-01-03,153600
Thibault Salmon,Adrien Dupré du Hamon,Thibault Salmon,mtn,RECEIPT,2022-01-04,113900
Adrien Dupré du Hamon,Adrien Dupré du Hamon,Thibault Salmon,mtn,TRANSFER,2022-01-04,113900
Thibault Salmon,Noël Marchand,Thibault Salmon,mtn,RECEIPT,2022-01-04,31900
Noël Marchand,Noël Marchand,Thibault Salmon,mtn,TRANSFER,2022-01-04,31900
