Name,Age,is_sentenced
Antoine Leconte,15,0
Marcelle Adam,57,0
François Devaux,43,1
Bernadette Bernier,71,1
Michelle Da Costa,91,1
Laure Pascal,45,1
Raymond-Jacques Legros,60,1
Rémy Lamy,29,1
Alphonse Renaud,26,1
Victor de Lombard,3,0
Gilbert Maillot,25,1
Adélaïde Paul,24,1
Éric Fernandez,58,1
Céline de Tessier,37,1
Tristan Berger,47,1
Jeanne de Poulain,21,1
Rémy-René Charles,18,0
Benjamin Roussel de la Pruvost,87,1
Jules Vasseur,64,1
Adélaïde Mary Le Lemaire,39,1
Théophile Rousseau,19,0
Hortense Picard,52,1
Émilie Valette,67,0
Christelle Chevalier,5,0
Jérôme Grondin,48,1
Pauline Gonzalez,80,1
Brigitte-Nathalie Petit,4,0
Isaac Schneider,13,0
Roland de Gaudin,39,1
Jacques Allard,33,1
Dorothée Charles,87,1
Aimée du Hernandez,6,0
Raymond Godard,15,0
Jules Collin,88,0
Madeleine Le Dupuis,56,1
Alexandria de la Grégoire,34,1
Virginie Carre du Evrard,41,1
Benoît de Fouquet,84,1
Marine Marie,44,1
Étienne Mary,19,0
Alexandre Maréchal,5,0
Valérie Alexandre,43,1
Agnès Guérin de la Le Roux,21,1
Théophile de Bernard,82,1
Constance Vincent,86,1
Susan Gaillard,72,1
Adrien Diallo,44,1
Monique Petit,36,0
Monique du Lemaire,58,1
Victor du Dumont,35,1
Marianne Blanchard,55,1
Daniel Guillet,1,0
Patricia Briand,68,1
Marguerite Dumas,10,0
Gilles Gimenez,54,1
Tristan Garnier,76,0
Lucy Fontaine,50,1
Patrick Jacquet,3,0
Renée Chevalier,15,0
Frédéric Lebreton,82,1
Aurore de la Guillaume,10,0
Patrick Jourdan,4,0
Jacques Lemoine,21,1
Lucie Foucher-Chartier,31,1
Alex Marques,83,0
Guy Brunel,17,0
Alice de la Diaz,31,1
Élise Lecoq,88,0
Marine Leleu,30,1
Marguerite Pinto,27,1
Marianne Rossi,63,1
Guillaume Sauvage,87,0
Augustin Hoareau,22,1
Nicolas Potier-Daniel,90,1
Célina Langlois,8,0
Anne Neveu,42,1
Pauline Rodrigues,8,0
Émilie Garnier,26,1
Patrick Tessier,52,1
Sabine Colas,78,0
Léon Guyon,80,0
Robert-Henri Fouquet,77,1
Grégoire Maréchal,35,1
Susanne Auger de la Dumas,17,0
Jeannine Loiseau,88,1
Noël Barthelemy-Blot,87,0
Anaïs Joly-Roux,9,0
Anastasie Huet,82,0
Élodie-Virginie Pasquier,91,0
Jeannine Hamel-Martins,80,0
Grégoire-Léon Berger,72,1
Laure Navarro,48,1
Julien Le Turpin,1,0
Suzanne-Michelle Bousquet,76,1
Astrid Samson,26,1
Monique Lefort-Lenoir,30,1
Adélaïde Verdier,89,1
Benoît-François Andre,37,1
Élise Étienne,38,1
Dorothée Le Moreau,53,1
René Ribeiro de Le Gall,57,1
Stéphanie Martin de Normand,12,0
Tristan Turpin,17,0
Christophe Delmas,44,1
Olivie François,58,1
Lucy Besson,70,0
Aimé Blanchard-Sauvage,14,0
Lucas Ramos,76,0
Capucine-Michelle Pascal,51,1
Gilbert Bigot,77,1
Stéphanie Godard,34,1
Guillaume Mendès,18,0
Eugène Colas-Girard,62,1
Guy Wagner,66,1
Sabine Gérard de la Fouquet,79,1
Susanne Coste,27,1
Josette-Sophie Lebreton,88,1
Caroline Lefort,4,0
Marianne du Charles,32,1
Manon-Jeanne Coste,69,1
Marine Charles,25,1
William de Prévost,93,0
Lorraine Maillot de Bigot,61,1
Laure Bigot de la Munoz,34,0
Daniel Reynaud,79,1
Maurice Potier Le Devaux,7,0
Manon du Chrétien,60,1
Olivier Robin,61,1
Laure Peltier,66,1
Isaac Chrétien,11,0
Stéphanie Payet-Diallo,22,1
Noémi Maillot,63,1
Aurore Chrétien,85,1
Léon du Bernier,89,1
Gilles Ledoux,3,0
Thérèse Leblanc-Becker,59,1
Richard Olivier,33,0
Jérôme Marion,75,0
Alexandre Le Roux-Seguin,30,1
Jeanne Étienne,55,1
Alexandria-Manon Goncalves,35,1
Joséphine Martinez,17,0
Bernadette Dos Santos de Dumont,53,1
Adrien Delannoy,15,0
Thomas Michel,12,0
David Lopez-Texier,19,0
Agnès Germain,23,0
Émile Ollivier,20,1
Laure Mathieu-Aubry,33,1
Gilbert de Poulain,92,0
Lucie Gomes,69,0
Josette Fouquet de la Samson,61,1
Jules-Paul Maillet,87,1
Thibault Ribeiro,32,1
Édith Brunet-Le Roux,48,1
Michel du Boutin,36,1
Brigitte Vallée,72,0
Alphonse de la Le Roux,28,1
Astrid-Alice Munoz,41,1
Sylvie Rossi,61,1
Alain Buisson de la Foucher,1,0
Antoinette Renault du Da Silva,51,1
Julie Lecoq,24,0
Dorothée Humbert,67,1
Célina Rolland,29,1
Alexandrie Legendre,24,0
Denise Costa,49,1
Josette Hubert de Leconte,37,0
Isaac Morvan,50,1
Christophe Texier,14,0
Clémence Bertrand,1,0
Michelle Grenier,40,1
Élisabeth Carpentier-Gaudin,58,1
Jérôme Gilbert Le Moulin,38,1
Jacques Merle,38,1
Roger-Paul Gaudin,21,1
François De Sousa-Gaudin,34,1
Jacqueline Perrin,81,1
Astrid Jacob,21,1
Noël-Antoine Daniel,70,0
Théophile Vallet,19,0
Yves Gautier,45,0
Madeleine Rousset de Pasquier,56,1
Augustin Couturier,52,1
Auguste Gilles,86,0
Julie Blot,84,1
Louise Lemaître,32,1
Gilbert-Matthieu Delorme,54,1
Léon Legros,91,1
Philippine Blondel-Fernandez,89,1
Élisabeth Blondel,69,1
Émile Huet-Bouchet,25,0
Jeannine-Christelle Barbe,91,1
Michelle Bruneau-Grondin,7,0
Sophie Legendre,18,0
Honoré Fouquet,61,1
Émilie Guilbert,67,1
Alix Guillon,29,1
Laurent Étienne,73,1
Joseph-Thierry Weiss,60,1
Charlotte Antoine,25,1
Marthe Olivier de la Jourdan,47,1
Richard Gay-Petit,85,0
Maurice Le Antoine,31,1
Joseph Simon,25,1
Nicolas Laporte,3,0
Charlotte Dufour,72,1
Timothée Guillon,37,1
Richard Gaillard,84,1
Brigitte du Perrin,41,0
Jacques Leroux,28,1
Élise Leconte de la Hoareau,45,1
Margaret Chevallier,63,1
Alice Picard,68,0
Raymond Lebon,52,1
Joseph Mathieu Le Dupuis,48,1
Alexandre Martineau-Thibault,23,1
Anaïs-Anne Da Silva,52,1
Julie Dubois,35,1
Catherine Le Bonneau,9,0
Matthieu Joly,64,1
Luc du Gauthier,22,1
Sabine Bernard-Grondin,0,0
François Gilbert,18,0
Xavier Lombard Le Boulanger,35,1
Sophie Mercier de la Rousset,49,0
Thibault Thierry,31,1
Clémence Leroux,81,1
Anastasie Maillet,64,1
Émile Torres du Hernandez,14,0
Monique Léger,83,0
Michelle Maury,89,1
Bernadette de Guillet,8,0
Isaac-Augustin Pinto,75,0
Léon de Barbier,2,0
Michelle Boutin,1,0
Mathilde Cousin,28,1
Lorraine Jacquet-Guérin,1,0
Jacques Picard,80,0
Manon Courtois,14,0
Vincent Pelletier Le Dupont,10,0
Margaret de la Berger,47,1
Daniel Antoine,1,0
Jules Delmas,63,1
Michelle Lebrun,59,1
Guillaume Dupuy,31,1
Marcel-Christophe Voisin,26,1
Henri Dupont,54,1
David Nguyen,58,1
Laure Pineau du Duhamel,84,0
François Lacroix de De Oliveira,73,0
Laetitia Gautier de la Jourdan,4,0
Marine de Dupont,32,1
Zacharie Martin,53,1
Caroline Diaz-Martinez,76,1
Margaux-Caroline Bernier,84,1
Alfred Bodin,60,0
Élodie Torres,74,0
Astrid Dijoux-Becker,30,1
Camille Boutin,22,1
Louis Garnier-Gros,17,0
Susan Léger,28,1
Thomas Regnier,61,1
Jeanne Martineau,11,0
Adèle Boutin,83,1
Frédéric Pascal,43,1
Thibaut de Renaud,84,1
Louis Peltier,66,0
Hugues Rémy de Albert,14,0
Gabriel Le Julien,37,1
Jeannine Robert,8,0
Olivier Étienne,23,1
Margaud de la Louis,81,1
Denis Marty,70,1
Margaux Joly-Humbert,36,0
Sébastien Gay Le Fabre,2,0
François Delannoy de la Jacquet,74,1
Adrienne de Leleu,3,0
François François,61,1
Louise Pineau,39,1
Roland Arnaud,33,1
Madeleine-Susanne Imbert,27,1
Josette Gomes,72,1
Gérard Buisson,85,1
Aurélie Faivre,42,1
Manon Voisin,87,1
Honoré Gimenez,79,0
Isabelle Jacquot,32,1
Nath Imbert,44,1
Nathalie Ribeiro,45,1
Alix-Valérie Petitjean,30,1
Hortense Marie de la Perrot,58,1
Raymond Sauvage,1,0
Maryse Descamps,50,1
Isaac Rodriguez,25,1
Eugène Schneider,75,0
Xavier du Fouquet,29,1
Patrick Le Roux,7,0
François Dupuis,74,1
Grégoire Carlier,31,1
Marie Roy-Maury,72,1
Marc de Paul,13,0
Bernard Michel,32,1
Anne Descamps de la Petit,65,1
Matthieu Lecomte-Hamon,2,0
Frédérique Rey,92,1
Antoine Lelièvre,83,0
Pénélope Colin,76,0
Georges Vincent,5,0
David Ramos,21,1
Vincent Bonnin-Besnard,76,1
René Legrand,70,0
Colette Nicolas,29,1
Martine Sanchez-Moreau,9,0
Élodie Joubert,86,1
Madeleine Potier,13,0
Thibault du Dupont,34,1
Pierre Perret,55,1
Michel Lebrun,92,1
Madeleine Grenier,18,0
Geneviève Samson,82,1
Jérôme Leclercq,92,1
Richard Barre,10,0
Georges Delannoy,67,1
Marthe Masse,16,0
Aurélie Maillard,3,0
Henri Barbe,70,1
Matthieu Chrétien,62,1
Paul Roy,4,0
Marthe de la Fabre,68,1
Aurore-Françoise Rousseau,48,1
Eugène Pons,5,0
Monique Tanguy,22,1
Noémi Charles,53,0
Léon David,73,0
Franck Jacquet,33,0
Frédérique Rolland,52,1
Jeannine Morin,17,0
Jacques Guichard,77,1
Margot Simon,55,1
Maurice Godard-Dijoux,60,1
Roland Boulanger,27,1
Suzanne Gros,84,1
Laurent Roux,9,0
Valérie Cordier,85,0
René Bertin,47,1
Alexandre Dos Santos,44,1
Stéphanie Langlois,37,1
Victor Legrand-Clerc,11,0
Thibault Delorme de Merle,69,0
Michèle Valette,12,0
Suzanne Hoareau,63,0
Zoé Neveu,73,1
Agnès Blanchet,74,0
Victoire Salmon de Bertrand,76,1
Michelle du Denis,11,0
Rémy Bailly,26,1
Denis Picard,27,1
Antoinette Klein,5,0
Maurice Leroy,84,1
Sabine-Marthe Benard,83,1
Nicole Garcia,39,0
Martin Moreau,19,0
Laetitia Marin-Bernard,21,1
Margaux de Legros,8,0
Valentine Henry,40,1
Valérie Martineau,17,0
Stéphane Germain,59,1
Isaac Hamon,31,1
Emmanuel Leroy-Meunier,75,0
Madeleine Martinez-Baron,32,1
Célina Laroche Le Meyer,17,0
Antoine Peron,19,0
Stéphane-Benoît Benard,73,1
Suzanne Marchal-Devaux,80,1
Adèle Hoareau,69,0
Raymond Brunel,34,1
Paul Allain,88,1
Manon Daniel,57,1
Marcelle Berger,75,1
Yves-Jérôme Parent,76,1
William Arnaud,33,1
Philippine Ramos-Roux,74,1
Thibault Guilbert,9,0
Marthe Fontaine du Bonneau,27,1
Louis Vallée,17,0
Clémence-Philippine Martins,64,1
Thibaut Le Gall,77,1
Bernadette Blanchard-Navarro,56,1
Henri Valette,14,0
Danielle-Isabelle Marty,81,0
Laurent Poulain,62,1
Théodore Grenier,54,1
Pauline Charpentier-Descamps,58,1
Franck Berthelot,51,1
Madeleine Jacques,71,1
Jules Meunier Le Bonnet,38,1
Pénélope Chauvin de la Poirier,13,0
Océane-Olivie Bailly,81,1
Josette Berger-Neveu,45,1
Luce Chartier-Laine,61,1
Joseph Antoine,22,0
Camille de Arnaud,63,1
Marc Joseph-Labbé,32,1
Alfred Gros,47,1
Émile Poulain,27,1
Mathilde Lemonnier,8,0
Odette Daniel,59,1
Henri Lopez,29,1
Capucine Marty,79,1
Joseph Arnaud,1,0
René Rémy,92,1
Alain de la Gilbert,85,0
Victoire de Hamon,8,0
Lorraine Pasquier Le Faure,15,0
Hélène de Riou,89,1
Martine Cousin,81,1
Anaïs Texier,72,1
Mathilde Masse-Morvan,32,0
Alfred Dumas,85,1
Jérôme Deschamps-Grégoire,38,1
Michèle Delorme,34,1
Olivie-Madeleine Pages,19,0
Élise Alves,67,1
Capucine Georges,9,0
Yves Fabre,71,1
Michèle Fernandez,15,0
Claude Mallet,68,0
Christophe Menard,33,1
Olivier Perrier,52,1
Bertrand Lévy,15,0
David Antoine,41,0
Anaïs de Vallée,60,1
Susanne-Élisabeth Lacroix,82,0
Henriette Weber de Maillot,50,1
Richard Lopez de Joseph,92,1
Josette Baudry,40,1
Aimé Durand,68,1
Anouk Royer,51,1
Catherine Charpentier,2,0
Franck de Denis,58,1
Alexandre Bonnet,23,1
Lucas Dufour,14,0
Dominique Maillet,3,0
Louis Ribeiro Le Launay,90,1
Lucie Thomas,80,1
Étienne Renaud,22,1
Honoré Pons-Chrétien,92,1
Jules Lamy Le Verdier,35,1
Roland Coste du Pinto,50,1
Daniel Royer de De Sousa,19,0
Pierre Rossi,39,1
Colette Pelletier Le Martins,62,1
Grégoire Philippe,54,1
Philippine Bourdon,3,0
Adèle Rémy du Martins,13,0
Dominique Joseph Le Legendre,13,0
Anaïs Paul,34,1
Alex Germain,71,0
Grégoire Da Silva,24,1
Manon Brun,0,0
Bernard Lefort,22,1
Dominique Fischer,26,0
Lorraine Besnard,23,1
Mathilde Lagarde,18,0
William Duval,30,1
Suzanne Pottier,14,0
Nicolas-Guy Laporte,68,1
Charles-François Lefèvre,40,1
Augustin Legros,70,0
Thibault Carpentier,2,0
Monique-Diane Coulon,87,0
Zacharie de la Lamy,35,1
Patrick de la Lemaître,11,0
Alphonse Munoz de la Benard,85,1
Eugène Marie,20,1
Roger Le Gall-Boyer,34,1
Alex Guillet de la Bourgeois,91,1
Sébastien Fischer,6,0
Guy Bourdon,20,1
Franck Bonnet,13,0
Patricia-Juliette Maillet,2,0
Laurence Boutin Le Bertin,36,1
Emmanuel de la Lemaire,35,0
Marcelle Marques,31,1
Frédérique Lacroix,49,1
Jacques Raynaud de la Baron,84,0
Olivier Techer,45,1
Hugues Picard,35,1
Adélaïde Leleu,67,1
Alphonse Laporte de la Jacquet,85,1
Thérèse Aubry du Pelletier,34,1
Nath Perrier,41,1
Simone Schneider,80,1
Jacques Blondel,7,0
Odette François Le Marchal,75,1
Henriette Petitjean,55,1
Alexandre Boucher-Ollivier,77,0
Marianne Lombard,73,0
Raymond Raynaud,32,1
Alfred Lefort,10,0
Olivie Duhamel,62,1
Adélaïde Boulanger,54,1
Laurence Martinez,45,1
Noël Bourdon,89,1
Bernard Moreno Le Coste,53,1
Roland-Éric Chevalier,29,1
Victor-Jacques Guillet,33,1
Anne De Oliveira,49,1
Valentine Imbert,81,1
Simone Arnaud,13,0
Benoît Goncalves,90,0
Gilles Wagner,22,1
Élise Pires,12,0
Julien Pinto,90,1
Jérôme Salmon,47,0
Adrienne Morvan,6,0
Alexandrie Mahe-Guyon,62,1
Caroline du Boutin,16,0
Hugues Monnier,90,1
Monique Joubert-Gay,8,0
Henriette Hamel-Salmon,61,1
Marine-Nicole Michel,42,1
Rémy du Lecomte,12,0
Tristan Letellier,42,1
Timothée Carlier de Legendre,76,1
Sabine de la Pasquier,18,0
Chantal Marchand-Laporte,84,1
Étienne Le Breton,74,1
Élise-Alix Vallet,8,0
Michèle Aubert,75,0
Laurence Le Gall,88,1
Danielle Bertin-Meyer,28,1
Monique-Astrid Camus,91,0
William Petitjean,58,1
Gérard Vasseur,10,0
Alix Fleury,23,0
Alphonse Collin,32,1
Nicolas Moulin de Adam,50,1
Grégoire Jourdan,36,0
Auguste Dupont de la Poulain,19,0
Emmanuel-Nicolas Ollivier,75,1
Jacques Sanchez,18,0
Patrick Rémy-Dumas,73,1
William Lemaître,16,0
Gilles-Timothée Lamy,90,1
Suzanne Cohen,22,0
Jean Marin,33,1
Hugues de Girard,51,1
Gabriel-Thomas Pereira,40,1
Alfred Guillon,55,1
Marcelle-Nicole Cousin,67,1
Susan Maurice,45,1
Édouard de la Rocher,91,1
Paul Bernier de la Ferrand,30,1
Henri Adam,80,0
Jacques Hamon,49,1
Frédéric Berthelot de Denis,92,1
Margaud Rey,63,1
Thierry Lambert-Guillaume,86,0
Antoine Roche de Courtois,61,1
Alexandre Simon,84,1
Marie Roussel-Marin,9,0
Nathalie Godard,50,1
Philippe Hubert,51,1
Lorraine Louis de la Pons,25,1
Maurice Guyot,53,1
Laetitia Le Roux,32,1
Édouard Labbé-Giraud,28,1
Lucas Gilbert,37,1
Charles Garcia,23,1
Alexandre Le Goff,5,0
Margaux-Aurore Roger,67,1
Vincent Carpentier,50,1
Jean Lelièvre,1,0
Michelle Maillet,73,1
Victor Le Delorme,9,0
Alix Renard,55,1
Théodore Millet,54,1
Paul-Thibault Georges,85,1
Thibaut Garcia,61,1
Camille Vallée,51,1
Isaac Dumont,56,0
Amélie Durand,50,0
Nicolas-Thibault Rousset,53,0
Frédéric Dupuis-Mendès,65,1
Hugues Briand,79,1
Claudine du Bourgeois,43,1
Lucie Picard-Pascal,82,1
Olivier Garnier,20,0
Olivie Delorme,46,1
Gabrielle Pages,28,1
Charles Boulanger,42,1
Martin Delattre Le Rivière,7,0
Catherine Laurent,88,1
Constance Gautier de Dos Santos,59,1
Stéphanie Lévy,91,1
Noël Dupont,2,0
Christophe-Maurice Munoz,89,0
Camille Delattre,21,0
Simone-Joséphine Schneider,50,1
Jules Salmon-Lemoine,17,0
Antoinette Colin,35,1
Alain-Laurent Ribeiro,52,1
Théodore de la Jacob,89,1
Audrey Lecomte,42,1
Guillaume Le Parent,23,0
Pauline Gillet-Garnier,13,0
Martin Thomas,37,0
René Muller,37,1
Marc Wagner,55,1
Eugène du Charles,82,1
Richard de la Renaud,17,0
Martine Martin,26,0
Aimée Lamy,42,1
Gilles Noël,83,0
Henriette-Aimée Garnier,54,1
Joséphine Rousseau,11,0
Marcelle-Valentine Becker,7,0
Honoré Munoz,51,0
Michel Roche,8,0
Jacqueline Lemonnier-Nguyen,87,1
Manon Renaud,53,1
Sébastien Legendre,58,1
Eugène Vaillant,90,1
Maurice Bernard,40,1
Richard Alves Le Étienne,1,0
Louis Richard,82,0
Olivie de Gauthier,86,0
Alix Perret,80,1
Christelle Leconte,39,1
Eugène-Étienne Jacques,86,1
Mathilde Colas-Teixeira,32,1
Emmanuelle du Gomes,49,1
Jules Laine,5,0
Constance Antoine,3,0
Emmanuel de Foucher,77,0
Thibaut de Guilbert,77,1
Éric Leblanc,29,1
Philippe Joubert,5,0
Martin Lebreton,59,1
Brigitte de la Barre,47,1
Caroline-Margot Hamel,86,0
Sabine Caron,22,1
Alice Laporte,76,0
Aimée Guibert-Ruiz,9,0
Jules Ruiz,82,1
Bertrand Thibault du Lefort,45,1
Aurore Blanchard,62,1
Sabine Labbé,10,0
Nathalie Nicolas Le Michaud,2,0
Laure Guillou,14,0
Édith Aubry,17,0
Jeannine Perrier,2,0
Franck Georges,71,0
Guillaume Renault Le Rolland,66,1
David Mallet,42,1
Caroline Martin,20,0
Océane Lelièvre,31,1
Élise Masse,2,0
Agathe Marin,8,0
Michèle Brunel,21,0
Dorothée Charrier,0,0
Marcelle Navarro,92,1
Théodore Dupont,81,1
Chantal Perrot de Leroy,80,1
Hortense Coulon,55,1
Jacques Masson,13,0
Adrien-Richard Bruneau,81,0
Aimée Delorme,28,1
Yves Gosselin,47,1
Stéphane Martins,12,0
Éric Delaunay,10,0
Théophile Berger,33,1
Daniel Julien,92,1
Patrick Lenoir,83,1
Étienne du Le Gall,62,1
Margot-Danielle Coulon,93,1
Bernard Guillot du Ribeiro,57,1
Éric Merle,40,1
Augustin Ribeiro,84,1
Lucie Thibault Le Paul,6,0
Arnaude Chrétien-Descamps,11,0
Marine Perrier du Mathieu,40,1
Anouk Becker,22,1
Corinne-Diane Michaud,83,1
Roger Antoine,85,1
Françoise Parent,68,1
Émile Moulin,47,1
Monique Legrand,40,1
Anaïs Descamps,10,0
Philippe Gonzalez de la Petitjean,12,0
Thibault Adam,44,1
Stéphanie Jean,78,1
Thibault Diallo,42,1
Constance-Odette Michaud,15,0
Antoine Delahaye-Renard,90,1
Paul Bernard Le Coulon,59,1
Denise David de Laine,21,1
Joséphine Benoit,25,1
Emmanuel Salmon,57,1
Arthur Dupré-Bousquet,52,1
Odette Andre,56,1
Lucas Gillet,77,1
Margot Denis de la Lefèvre,60,1
Noël Barbier,34,1
Alexandrie du Tanguy,57,1
Sophie Imbert,52,1
Jules De Oliveira,79,1
Philippine Sauvage,56,1
Zacharie Lombard,5,0
Raymond-Emmanuel Hamon,62,1
Catherine-Astrid Fischer,84,1
Jules Gaudin,63,1
Bernard Leclercq-Renard,61,1
Jules Bourdon,28,1
Adélaïde Guillet,49,1
Michèle Mary,11,0
Lucas Garcia,62,1
