relative_to,sender,receiver,operator,type,date,amount
Tristan de la Maurice,,,moov,CASH_OUT,2022-01-06,202100
Tristan de la Maurice,Colette Baron,Tristan de la Maurice,moov,RECEIPT,2022-01-12,200500
Colette Baron,Colette Baron,Tristan de la Maurice,moov,TRANSFER,2022-01-12,200500
Tristan de la Maurice,,,moov,CASH_IN,2022-01-14,28600
Tristan de la Maurice,,,moov,CASH_IN,2022-01-17,222900
Susan Marty,Océane Diallo,Susan Marty,moov,RECEIPT,2022-01-23,445400
Océane Diallo,Océane Diallo,Susan Marty,moov,TRANSFER,2022-01-23,445400
David Ramos,David Ramos,André Fleury-Bourgeois,moov,TRANSFER,2022-01-04,154300
André Fleury-Bourgeois,David Ramos,André Fleury-Bourgeois,moov,RECEIPT,2022-01-04,154300
Émile Marion,,,moov,CASH_IN,2022-01-07,76800
Émile Marion,,,moov,CASH_IN,2022-01-07,241100
Émile Marion,,,moov,CASH_OUT,2022-01-10,353800
Émile Marion,Émile Marion,Aurore Le Carlier,moov,TRANSFER,2022-01-19,189700
Aurore Le Carlier,Émile Marion,Aurore Le Carlier,moov,RECEIPT,2022-01-19,189700
Lorraine Hardy,,,moov,CASH_OUT,2022-01-01,319800
Lorraine Hardy,Lorraine Hardy,Émile Payet Le Benard,moov,TRANSFER,2022-01-07,286200
Émile Payet Le Benard,Lorraine Hardy,Émile Payet Le Benard,moov,RECEIPT,2022-01-07,286200
Lorraine Hardy,Lorraine Hardy,Raymond Brunel,moov,TRANSFER,2022-01-25,266000
Raymond Brunel,Lorraine Hardy,Raymond Brunel,moov,RECEIPT,2022-01-25,266000
Madeleine Colas,,,moov,CASH_OUT,2022-01-04,215200
Madeleine Colas,,,moov,CASH_IN,2022-01-25,380900
Andrée Lamy de Mercier,Andrée Lamy de Mercier,Denise Gonzalez de Buisson,moov,TRANSFER,2022-01-08,371100
Denise Gonzalez de Buisson,Andrée Lamy de Mercier,Denise Gonzalez de Buisson,moov,RECEIPT,2022-01-08,371100
Émile Payet Le Benard,,,moov,CASH_OUT,2022-01-08,401200
Émile Payet Le Benard,Émile Payet Le Benard,Alain Blanchet de Clerc,moov,TRANSFER,2022-01-15,425200
Alain Blanchet de Clerc,Émile Payet Le Benard,Alain Blanchet de Clerc,moov,RECEIPT,2022-01-15,425200
Émile Payet Le Benard,,,moov,CASH_OUT,2022-01-15,243800
Émile Payet Le Benard,Émile Payet Le Benard,Vincent Gosselin de la Mallet,moov,TRANSFER,2022-01-23,175300
Vincent Gosselin de la Mallet,Émile Payet Le Benard,Vincent Gosselin de la Mallet,moov,RECEIPT,2022-01-23,175300
Victor de Meyer,,,moov,CASH_OUT,2022-01-07,246500
Victor de Meyer,,,moov,CASH_IN,2022-01-10,79900
Victor de Meyer,,,moov,CASH_OUT,2022-01-14,438100
Victor de Meyer,Victor de Meyer,Xavier Lebrun,moov,TRANSFER,2022-01-18,177900
Xavier Lebrun,Victor de Meyer,Xavier Lebrun,moov,RECEIPT,2022-01-18,177900
Victor de Meyer,,,moov,CASH_OUT,2022-01-23,91800
Marianne Dias,Marianne Dias,Corinne Fabre,moov,TRANSFER,2022-01-06,181100
Corinne Fabre,Marianne Dias,Corinne Fabre,moov,RECEIPT,2022-01-06,181100
Marianne Dias,,,moov,CASH_OUT,2022-01-24,65600
Marianne Dias,,,moov,CASH_IN,2022-01-24,416100
Yves Richard,,,moov,CASH_OUT,2022-01-03,421900
Yves Richard,,,moov,CASH_IN,2022-01-08,496600
Yves Richard,Yves Richard,Honoré Vincent,moov,TRANSFER,2022-01-14,208000
Honoré Vincent,Yves Richard,Honoré Vincent,moov,RECEIPT,2022-01-14,208000
Yves Richard,,,moov,CASH_IN,2022-01-19,40200
Yves Richard,Yves Richard,Marine Couturier,moov,TRANSFER,2022-01-20,286000
Marine Couturier,Yves Richard,Marine Couturier,moov,RECEIPT,2022-01-20,286000
Sylvie Baron,Océane Diallo,Sylvie Baron,moov,RECEIPT,2022-01-08,131400
Océane Diallo,Océane Diallo,Sylvie Baron,moov,TRANSFER,2022-01-08,131400
Sylvie Baron,,,moov,CASH_IN,2022-01-11,442800
Sylvie Baron,,,moov,CASH_IN,2022-01-12,414700
Sylvie Baron,,,moov,CASH_OUT,2022-01-15,84700
Sylvie Baron,Sylvie Baron,Philippine de Brunet,moov,TRANSFER,2022-01-23,477100
Philippine de Brunet,Sylvie Baron,Philippine de Brunet,moov,RECEIPT,2022-01-23,477100
Charlotte Dupont,Charlotte Dupont,Frédéric Charles de la Pineau,moov,TRANSFER,2022-01-03,314100
Frédéric Charles de la Pineau,Charlotte Dupont,Frédéric Charles de la Pineau,moov,RECEIPT,2022-01-03,314100
Charlotte Dupont,,,moov,CASH_OUT,2022-01-06,372900
Charlotte Dupont,Maryse Michaud,Charlotte Dupont,moov,RECEIPT,2022-01-09,331600
Maryse Michaud,Maryse Michaud,Charlotte Dupont,moov,TRANSFER,2022-01-09,331600
Charlotte Dupont,,,moov,CASH_OUT,2022-01-20,365500
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-01,424400
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-02,312600
Stéphanie Pages de Delmas,,,moov,CASH_OUT,2022-01-02,151300
Stéphanie Pages de Delmas,Michelle Paris,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-04,424800
Michelle Paris,Michelle Paris,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-04,424800
Stéphanie Pages de Delmas,,,moov,CASH_OUT,2022-01-05,329900
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-05,391400
Stéphanie Pages de Delmas,Frédéric Charles de la Pineau,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-06,459900
Frédéric Charles de la Pineau,Frédéric Charles de la Pineau,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-06,459900
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Laurence de la Coulon,moov,TRANSFER,2022-01-08,312600
Laurence de la Coulon,Stéphanie Pages de Delmas,Laurence de la Coulon,moov,RECEIPT,2022-01-08,312600
Stéphanie Pages de Delmas,Maryse Michaud,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-08,495500
Maryse Michaud,Maryse Michaud,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-08,495500
Stéphanie Pages de Delmas,Théodore Mathieu de la Duval,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-10,106200
Théodore Mathieu de la Duval,Théodore Mathieu de la Duval,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-10,106200
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-10,168000
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Guy Rivière-Dufour,moov,TRANSFER,2022-01-10,177800
Guy Rivière-Dufour,Stéphanie Pages de Delmas,Guy Rivière-Dufour,moov,RECEIPT,2022-01-10,177800
Stéphanie Pages de Delmas,Chantal Dupuis,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-11,264000
Chantal Dupuis,Chantal Dupuis,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-11,264000
Stéphanie Pages de Delmas,Nicolas Chartier,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-12,354400
Nicolas Chartier,Nicolas Chartier,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-12,354400
Stéphanie Pages de Delmas,Philippine de Brunet,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-12,487400
Philippine de Brunet,Philippine de Brunet,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-12,487400
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Victor-David Faure,moov,TRANSFER,2022-01-13,164300
Victor-David Faure,Stéphanie Pages de Delmas,Victor-David Faure,moov,RECEIPT,2022-01-13,164300
Stéphanie Pages de Delmas,,,moov,CASH_OUT,2022-01-14,445800
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-14,376700
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Théodore-Gérard Raymond,moov,TRANSFER,2022-01-15,253200
Théodore-Gérard Raymond,Stéphanie Pages de Delmas,Théodore-Gérard Raymond,moov,RECEIPT,2022-01-15,253200
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Georges Étienne,moov,TRANSFER,2022-01-16,444300
Georges Étienne,Stéphanie Pages de Delmas,Georges Étienne,moov,RECEIPT,2022-01-16,444300
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Georges Étienne,moov,TRANSFER,2022-01-16,46800
Georges Étienne,Stéphanie Pages de Delmas,Georges Étienne,moov,RECEIPT,2022-01-16,46800
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-17,442500
Stéphanie Pages de Delmas,Xavier Lebrun,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-18,284000
Xavier Lebrun,Xavier Lebrun,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-18,284000
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Capucine Bazin,moov,TRANSFER,2022-01-20,215300
Capucine Bazin,Stéphanie Pages de Delmas,Capucine Bazin,moov,RECEIPT,2022-01-20,215300
Stéphanie Pages de Delmas,Victor-David Faure,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-20,383700
Victor-David Faure,Victor-David Faure,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-20,383700
Stéphanie Pages de Delmas,,,moov,CASH_OUT,2022-01-21,30000
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Bernard Traore,moov,TRANSFER,2022-01-22,364300
Bernard Traore,Stéphanie Pages de Delmas,Bernard Traore,moov,RECEIPT,2022-01-22,364300
Stéphanie Pages de Delmas,Émile Gilles,Stéphanie Pages de Delmas,moov,RECEIPT,2022-01-25,223700
Émile Gilles,Émile Gilles,Stéphanie Pages de Delmas,moov,TRANSFER,2022-01-25,223700
Stéphanie Pages de Delmas,Stéphanie Pages de Delmas,Vincent Gosselin de la Mallet,moov,TRANSFER,2022-01-26,287900
Vincent Gosselin de la Mallet,Stéphanie Pages de Delmas,Vincent Gosselin de la Mallet,moov,RECEIPT,2022-01-26,287900
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-01-27,276300
Constance Bousquet,,,moov,CASH_OUT,2022-01-01,170400
Constance Bousquet,Constance Bousquet,Guy Rivière-Dufour,moov,TRANSFER,2022-01-01,101500
Guy Rivière-Dufour,Constance Bousquet,Guy Rivière-Dufour,moov,RECEIPT,2022-01-01,101500
Constance Bousquet,,,moov,CASH_IN,2022-01-02,366700
Constance Bousquet,Constance Bousquet,Nicolas Chartier,moov,TRANSFER,2022-01-02,438600
Nicolas Chartier,Constance Bousquet,Nicolas Chartier,moov,RECEIPT,2022-01-02,438600
Constance Bousquet,,,moov,CASH_IN,2022-01-03,355400
Constance Bousquet,Alfred Vallée,Constance Bousquet,moov,RECEIPT,2022-01-03,383500
Alfred Vallée,Alfred Vallée,Constance Bousquet,moov,TRANSFER,2022-01-03,383500
Constance Bousquet,Constance Bousquet,Georges Étienne,moov,TRANSFER,2022-01-03,12200
Georges Étienne,Constance Bousquet,Georges Étienne,moov,RECEIPT,2022-01-03,12200
Constance Bousquet,,,moov,CASH_IN,2022-01-06,171300
Constance Bousquet,,,moov,CASH_IN,2022-01-07,126300
Constance Bousquet,,,moov,CASH_IN,2022-01-12,254900
Constance Bousquet,,,moov,CASH_OUT,2022-01-12,426300
Constance Bousquet,,,moov,CASH_OUT,2022-01-13,400900
Constance Bousquet,,,moov,CASH_IN,2022-01-14,222000
Constance Bousquet,,,moov,CASH_IN,2022-01-15,228300
Constance Bousquet,Constance Bousquet,Alexandre Bonnet,moov,TRANSFER,2022-01-17,200400
Alexandre Bonnet,Constance Bousquet,Alexandre Bonnet,moov,RECEIPT,2022-01-17,200400
Constance Bousquet,,,moov,CASH_IN,2022-01-19,214200
Constance Bousquet,,,moov,CASH_IN,2022-01-20,259800
Constance Bousquet,,,moov,CASH_OUT,2022-01-23,329700
Constance Bousquet,Chantal Dupuis,Constance Bousquet,moov,RECEIPT,2022-01-24,180300
Chantal Dupuis,Chantal Dupuis,Constance Bousquet,moov,TRANSFER,2022-01-24,180300
Constance Bousquet,,,moov,CASH_OUT,2022-01-25,148600
Constance Bousquet,Corinne Fabre,Constance Bousquet,moov,RECEIPT,2022-01-25,166800
Corinne Fabre,Corinne Fabre,Constance Bousquet,moov,TRANSFER,2022-01-25,166800
Constance Bousquet,,,moov,CASH_IN,2022-01-26,188600
Constance Bousquet,Constance Bousquet,Isaac Le Gall,moov,TRANSFER,2022-01-26,394200
Isaac Le Gall,Constance Bousquet,Isaac Le Gall,moov,RECEIPT,2022-01-26,394200
Constance Bousquet,Constance Bousquet,Auguste Letellier de Aubry,moov,TRANSFER,2022-01-27,361500
Auguste Letellier de Aubry,Constance Bousquet,Auguste Letellier de Aubry,moov,RECEIPT,2022-01-27,361500
Honoré Vincent,Honoré Vincent,Michelle Paris,moov,TRANSFER,2022-01-01,466900
Michelle Paris,Honoré Vincent,Michelle Paris,moov,RECEIPT,2022-01-01,466900
Honoré Vincent,,,moov,CASH_IN,2022-01-01,423800
Honoré Vincent,,,moov,CASH_IN,2022-01-01,88600
Honoré Vincent,Honoré Vincent,Michelle Paris,moov,TRANSFER,2022-01-04,52000
Michelle Paris,Honoré Vincent,Michelle Paris,moov,RECEIPT,2022-01-04,52000
Honoré Vincent,Honoré Vincent,Guy Rivière-Dufour,moov,TRANSFER,2022-01-05,171800
Guy Rivière-Dufour,Honoré Vincent,Guy Rivière-Dufour,moov,RECEIPT,2022-01-05,171800
Honoré Vincent,,,moov,CASH_OUT,2022-01-07,291800
Honoré Vincent,,,moov,CASH_OUT,2022-01-08,104200
Honoré Vincent,Honoré Vincent,Georges Reynaud,moov,TRANSFER,2022-01-09,254100
Georges Reynaud,Honoré Vincent,Georges Reynaud,moov,RECEIPT,2022-01-09,254100
Honoré Vincent,,,moov,CASH_IN,2022-01-09,32300
Honoré Vincent,Honoré Vincent,Vincent Gosselin de la Mallet,moov,TRANSFER,2022-01-10,496900
Vincent Gosselin de la Mallet,Honoré Vincent,Vincent Gosselin de la Mallet,moov,RECEIPT,2022-01-10,496900
Honoré Vincent,,,moov,CASH_OUT,2022-01-11,65700
Honoré Vincent,Honoré Vincent,Théodore-Gérard Raymond,moov,TRANSFER,2022-01-12,407900
Théodore-Gérard Raymond,Honoré Vincent,Théodore-Gérard Raymond,moov,RECEIPT,2022-01-12,407900
Honoré Vincent,Honoré Vincent,Grégoire Philippe,moov,TRANSFER,2022-01-12,83000
Grégoire Philippe,Honoré Vincent,Grégoire Philippe,moov,RECEIPT,2022-01-12,83000
Honoré Vincent,,,moov,CASH_OUT,2022-01-13,222700
Honoré Vincent,,,moov,CASH_IN,2022-01-13,219300
Honoré Vincent,Alain Blanchet de Clerc,Honoré Vincent,moov,RECEIPT,2022-01-17,272500
Alain Blanchet de Clerc,Alain Blanchet de Clerc,Honoré Vincent,moov,TRANSFER,2022-01-17,272500
Honoré Vincent,Honoré Vincent,Hélène Durand-Bègue,moov,TRANSFER,2022-01-18,403800
Hélène Durand-Bègue,Honoré Vincent,Hélène Durand-Bègue,moov,RECEIPT,2022-01-18,403800
Honoré Vincent,Honoré Vincent,Sabine Baron-Leroy,moov,TRANSFER,2022-01-19,270500
Sabine Baron-Leroy,Honoré Vincent,Sabine Baron-Leroy,moov,RECEIPT,2022-01-19,270500
Honoré Vincent,Alain Blanchet de Clerc,Honoré Vincent,moov,RECEIPT,2022-01-22,487200
Alain Blanchet de Clerc,Alain Blanchet de Clerc,Honoré Vincent,moov,TRANSFER,2022-01-22,487200
Honoré Vincent,Honoré Vincent,Guy Rivière-Dufour,moov,TRANSFER,2022-01-22,338000
Guy Rivière-Dufour,Honoré Vincent,Guy Rivière-Dufour,moov,RECEIPT,2022-01-22,338000
Honoré Vincent,Brigitte Perrot-Dufour,Honoré Vincent,moov,RECEIPT,2022-01-25,189700
Brigitte Perrot-Dufour,Brigitte Perrot-Dufour,Honoré Vincent,moov,TRANSFER,2022-01-25,189700
Honoré Vincent,,,moov,CASH_OUT,2022-01-25,449900
Honoré Vincent,,,moov,CASH_IN,2022-01-25,108200
Honoré Vincent,Honoré Vincent,Sabine Baron-Leroy,moov,TRANSFER,2022-01-25,291800
Sabine Baron-Leroy,Honoré Vincent,Sabine Baron-Leroy,moov,RECEIPT,2022-01-25,291800
Honoré Vincent,,,moov,CASH_OUT,2022-01-26,449100
Honoré Vincent,,,moov,CASH_IN,2022-01-26,5700
Honoré Vincent,,,moov,CASH_OUT,2022-01-26,124600
Nicolas Cousin-Dufour,,,moov,CASH_IN,2022-01-03,126200
Nicolas Cousin-Dufour,,,moov,CASH_OUT,2022-01-04,337500
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Colette Baron,moov,TRANSFER,2022-01-05,345200
Colette Baron,Nicolas Cousin-Dufour,Colette Baron,moov,RECEIPT,2022-01-05,345200
Nicolas Cousin-Dufour,,,moov,CASH_IN,2022-01-05,288600
Nicolas Cousin-Dufour,,,moov,CASH_IN,2022-01-05,350700
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Stéphanie Mace,moov,TRANSFER,2022-01-10,146000
Stéphanie Mace,Nicolas Cousin-Dufour,Stéphanie Mace,moov,RECEIPT,2022-01-10,146000
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Georges-Bernard Gros,moov,TRANSFER,2022-01-14,265000
Georges-Bernard Gros,Nicolas Cousin-Dufour,Georges-Bernard Gros,moov,RECEIPT,2022-01-14,265000
Nicolas Cousin-Dufour,,,moov,CASH_OUT,2022-01-14,398200
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Victor Fournier-Rodriguez,moov,TRANSFER,2022-01-15,166000
Victor Fournier-Rodriguez,Nicolas Cousin-Dufour,Victor Fournier-Rodriguez,moov,RECEIPT,2022-01-15,166000
Nicolas Cousin-Dufour,,,moov,CASH_OUT,2022-01-16,67900
Nicolas Cousin-Dufour,Maryse Michaud,Nicolas Cousin-Dufour,moov,RECEIPT,2022-01-17,408800
Maryse Michaud,Maryse Michaud,Nicolas Cousin-Dufour,moov,TRANSFER,2022-01-17,408800
Nicolas Cousin-Dufour,François Lebon,Nicolas Cousin-Dufour,moov,RECEIPT,2022-01-19,151900
François Lebon,François Lebon,Nicolas Cousin-Dufour,moov,TRANSFER,2022-01-19,151900
Nicolas Cousin-Dufour,Victor-David Faure,Nicolas Cousin-Dufour,moov,RECEIPT,2022-01-19,213900
Victor-David Faure,Victor-David Faure,Nicolas Cousin-Dufour,moov,TRANSFER,2022-01-19,213900
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Raymond Brunel,moov,TRANSFER,2022-01-20,381700
Raymond Brunel,Nicolas Cousin-Dufour,Raymond Brunel,moov,RECEIPT,2022-01-20,381700
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Georges Reynaud,moov,TRANSFER,2022-01-21,384900
Georges Reynaud,Nicolas Cousin-Dufour,Georges Reynaud,moov,RECEIPT,2022-01-21,384900
Nicolas Cousin-Dufour,,,moov,CASH_IN,2022-01-24,76300
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Charles François,moov,TRANSFER,2022-01-26,414600
Charles François,Nicolas Cousin-Dufour,Charles François,moov,RECEIPT,2022-01-26,414600
Nicolas Cousin-Dufour,Anastasie Guilbert,Nicolas Cousin-Dufour,moov,RECEIPT,2022-01-26,317600
Anastasie Guilbert,Anastasie Guilbert,Nicolas Cousin-Dufour,moov,TRANSFER,2022-01-26,317600
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Frédéric Lombard,moov,TRANSFER,2022-01-27,334800
Frédéric Lombard,Nicolas Cousin-Dufour,Frédéric Lombard,moov,RECEIPT,2022-01-27,334800
Nicolas Cousin-Dufour,Philippe Hubert,Nicolas Cousin-Dufour,moov,RECEIPT,2022-01-27,286300
Philippe Hubert,Philippe Hubert,Nicolas Cousin-Dufour,moov,TRANSFER,2022-01-27,286300
Nicolas Cousin-Dufour,Nicolas Cousin-Dufour,Georges Étienne,moov,TRANSFER,2022-01-27,356300
Georges Étienne,Nicolas Cousin-Dufour,Georges Étienne,moov,RECEIPT,2022-01-27,356300
Alfred Vallée,,,moov,CASH_IN,2022-01-01,39700
Alfred Vallée,Alfred Vallée,Michelle Paris,moov,TRANSFER,2022-01-03,347500
Michelle Paris,Alfred Vallée,Michelle Paris,moov,RECEIPT,2022-01-03,347500
Alfred Vallée,Alfred Vallée,Raymond Brunel,moov,TRANSFER,2022-01-03,311100
Raymond Brunel,Alfred Vallée,Raymond Brunel,moov,RECEIPT,2022-01-03,311100
Alfred Vallée,,,moov,CASH_OUT,2022-01-04,335800
Alfred Vallée,,,moov,CASH_IN,2022-01-04,165500
Alfred Vallée,,,moov,CASH_OUT,2022-01-04,149200
Alfred Vallée,Alfred Vallée,Colette Baron,moov,TRANSFER,2022-01-06,248000
Colette Baron,Alfred Vallée,Colette Baron,moov,RECEIPT,2022-01-06,248000
Alfred Vallée,Gilles-Guillaume Dupuis,Alfred Vallée,moov,RECEIPT,2022-01-06,231800
Gilles-Guillaume Dupuis,Gilles-Guillaume Dupuis,Alfred Vallée,moov,TRANSFER,2022-01-06,231800
Alfred Vallée,Alfred Vallée,Geneviève Pages,moov,TRANSFER,2022-01-06,47200
Geneviève Pages,Alfred Vallée,Geneviève Pages,moov,RECEIPT,2022-01-06,47200
Alfred Vallée,Alfred Vallée,André Fleury-Bourgeois,moov,TRANSFER,2022-01-08,81100
André Fleury-Bourgeois,Alfred Vallée,André Fleury-Bourgeois,moov,RECEIPT,2022-01-08,81100
Alfred Vallée,Alfred Vallée,Christelle Riou,moov,TRANSFER,2022-01-08,275100
Christelle Riou,Alfred Vallée,Christelle Riou,moov,RECEIPT,2022-01-08,275100
Alfred Vallée,Philippe Hubert,Alfred Vallée,moov,RECEIPT,2022-01-08,14200
Philippe Hubert,Philippe Hubert,Alfred Vallée,moov,TRANSFER,2022-01-08,14200
Alfred Vallée,Alfred Vallée,Édith Brunet-Le Roux,moov,TRANSFER,2022-01-09,347400
Édith Brunet-Le Roux,Alfred Vallée,Édith Brunet-Le Roux,moov,RECEIPT,2022-01-09,347400
Alfred Vallée,Alfred Vallée,Alexandria Garnier,moov,TRANSFER,2022-01-12,251200
Alexandria Garnier,Alfred Vallée,Alexandria Garnier,moov,RECEIPT,2022-01-12,251200
Alfred Vallée,,,moov,CASH_OUT,2022-01-12,247500
Alfred Vallée,Alfred Vallée,Georges-Bernard Gros,moov,TRANSFER,2022-01-14,130900
Georges-Bernard Gros,Alfred Vallée,Georges-Bernard Gros,moov,RECEIPT,2022-01-14,130900
Alfred Vallée,Alfred Vallée,Virginie Diallo,moov,TRANSFER,2022-01-17,459700
Virginie Diallo,Alfred Vallée,Virginie Diallo,moov,RECEIPT,2022-01-17,459700
Alfred Vallée,,,moov,CASH_OUT,2022-01-18,417400
