Name,Gender,Address,E-mail,Date-of-birth,Phone-number,Job
Jacques Descamps,Masculin,"OUEME,AVRANKOU,AVRANKOU,GBEGODO carré 0623",jacquesdescamps@gmail.com,1948-11-17,+22995718228,"inspecteur des douanes, des finances publiques ou du travail"
Antoine Le Charles,Féminin,"ATLANTIQUE,OUIDAH,DJEGBADJI,DJEGBADJI carré 0134",antoinelecharles@gmail.com,1961-09-30,+22995582766,fleuriste
Franck Poirier-Thierry,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,LADJIFARANI carré 0062",none,2006-12-24,none,none
Christiane Vasseur-Roussel,Féminin,"OUEME,AVRANKOU,KOUTI,KOUTI-YENAWA carré 8670",none,2019-08-13,none,none
René Boulanger,Masculin,"OUEME,PORTO-NOVO,1ER ARRONDISSEMENT,KPOTA SANDODO carré 9760",renéboulanger@gmail.com,1995-06-14,+22995789065,carrossier
Caroline Labbé,Féminin,"ATACORA,OUASSA-PEHUNCO,PEHUNCO,SOASSARAROU carré 5658",carolinelabbé@gmail.com,1998-04-29,+22964023893,moniteur de ski
Joseph Brun,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA carré 9514",josephbrun@gmail.com,1988-04-06,+22964245152,géothermicien
Josette Normand,Féminin,"ATLANTIQUE,OUIDAH,SAVI,MINANTINKPON carré 7356",josettenormand@gmail.com,2003-06-21,+22995010148,staffeur-ornemaniste
Guy Munoz du Muller,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,TCHAOUROU-GOBI-ALEDJI carré 2821",guymunozdumuller@gmail.com,1976-08-06,+22995463961,ingénieur calcul
Juliette Pereira,Féminin,"BORGOU,N'DALI,BORI,MAREGOUROU-PEULH carré 2952",juliettepereira@gmail.com,1998-03-14,+22995769969,dessinateur en construction mécanique
Dominique de la Pottier,Féminin,"COUFFO,APLAHOUE,KISSAMEY,HELETOUMEY carré 4591",none,2004-10-02,none,none
Charles Tanguy-Foucher,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-BOSSITO,ZOUNME carré 7542",charlestanguy-foucher@gmail.com,1968-05-02,+22991043615,cryptologue
Laurent Lopes,Masculin,"COLLINES,OUESSE,TOUI,TOUI-ODJOULE carré 0377",laurentlopes@gmail.com,1992-11-20,+22995971666,inspecteur de banque
Alexandrie du Maillet,Féminin,"ZOU,COVE,LAINTA-COGBE,DEKPADA carré 8265",alexandriedumaillet@gmail.com,1998-09-15,+22964434094,bibliothécaire
Inès Philippe-Da Costa,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,GBEDJROMEDE carré 2281",inèsphilippe-dacosta@gmail.com,1971-04-29,+22964356092,responsable achats en chimie
Jacqueline Colas,Féminin,"PLATEAU,IFANGNI,TCHAADA,MONGBA carré 5187",jacquelinecolas@gmail.com,1956-10-08,+22966820642,assistant réalisateur réalisatrice
Adélaïde Hamel du Voisin,Féminin,"ALIBORI,BANIKOARA,SOROKO,SOUDOU carré 0846",adélaïdehamelduvoisin@gmail.com,1980-03-19,+22995850070,yield manager
Maurice-Guy Joseph,Masculin,"ZOU,ZOGBODOMEY,DOME,BOLAME carré 2187",none,2019-02-26,none,none
Simone Dupuis,Féminin,"OUEME,PORTO-NOVO,2EME ARRONDISSEMENT,SEDJEKO carré 3266",simonedupuis@gmail.com,1951-01-23,+22995033961,soudeur
Philippe-Marcel Lefort,Masculin,"ZOU,BOHICON,BOHICON I,AGBADJAGON carré 1122",philippe-marcellefort@gmail.com,1950-01-19,+22964657084,horticulteur
Honoré Joseph,Masculin,"ZOU,DJIDJA,DJIDJA CENTRE,SAWLAKPA carré 8985",honoréjoseph@gmail.com,1948-06-05,+22964047317,régisseur lumière
Joséphine Guillon,Féminin,"ATLANTIQUE,ZE,TANGBO,GLEGBODJI AGAH carré 5176",joséphineguillon@gmail.com,1939-01-09,+22996184856,agenceur de cuisines et salles de bains
Hugues Robert,Masculin,"ATLANTIQUE,ZE,SEDJE-DENOU,SEDJE-KPOTA carré 6313",huguesrobert@gmail.com,1999-06-02,+22995747472,canalisateur
Danielle David-Launay,Féminin,"MONO,GRAND-POPO,GRAND-POPO,HEVE carré 7426",danielledavid-launay@gmail.com,1932-09-05,+22964543911,sous-officier de l'armée de l'air
Gérard Grégoire,Masculin,"COLLINES,SAVE,OKPARA,AKON carré 2565",gérardgrégoire@gmail.com,1980-02-10,+22954031271,directeur de golf
Sabine Rodriguez du Hardy,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,THIAN carré 1155",sabinerodriguezduhardy@gmail.com,1965-10-06,+22953888743,agent de propreté urbaine
Manon Le Launay,Masculin,"DONGA,DJOUGOU,BOUGOU,BOUGOU FANA carré 0404",none,2016-08-25,none,none
Claude Jourdan,Féminin,"BORGOU,NIKKI,NIKKI,GOURE-GBATA carré 8177",claudejourdan@gmail.com,1957-09-09,+22966663774,installateur en télécoms
Jérôme Boucher,Féminin,"COUFFO,DJAKOTOMEY,DJAKOTOMEY II,HOUNGBEZANME carré 6955",jérômeboucher@gmail.com,1947-10-29,+22964056509,technicien d'analyses biomédicales
William Blot,Masculin,"ZOU,ZAGNANADO,BANAME,MASSAGBO carré 9909",none,2008-02-21,none,none
Noël Lagarde,Masculin,"MONO,LOKOSSA,OUEDEME-ADJA,ADJIGO-KPODAVE carré 0232",noëllagarde@gmail.com,2002-01-25,+22995516861,monteur-câbleur
Nathalie Dufour du Bonnin,Féminin,"COUFFO,KLOUEKANMEY,TCHIKPE,GNANTCHIME carré 2571",nathaliedufourdubonnin@gmail.com,1958-12-04,+22964748192,acheteur
Laure Carre,Féminin,"ATACORA,KOUANDE,BIRNI,YAKABISSI carré 4599",none,2022-07-21,none,none
Marcel-Thibaut Picard,Masculin,"COLLINES,DASSA-ZOUME,KERE,ITAGUI carré 5018",marcel-thibautpicard@gmail.com,1986-09-07,+22956155958,patron pêcheur
Antoine Becker,Féminin,"ATLANTIQUE,ALLADA,HINVI,ALIGOUDO carré 3466",none,2015-09-10,none,none
Laurent Thomas,Masculin,"ATACORA,MATERI,DASSARI,DASSARI carré 1041",laurentthomas@gmail.com,1951-12-13,+22995005683,consultant en solutions intégrées
Xavier Petit,Masculin,"OUEME,SEME-PODJI,DJEREGBE,DJEREGBE carré 0358",xavierpetit@gmail.com,1936-03-12,+22957516586,souscripteur
Adèle Delattre,Féminin,"COLLINES,OUESSE,GBANLIN,VOSSA carré 3981",adèledelattre@gmail.com,1999-08-17,+22957268676,libraire
Clémence Laine,Féminin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,GANOU carré 6764",clémencelaine@gmail.com,1968-03-20,+22959905632,électromécanicien
David Pascal,Masculin,"ALIBORI,MALANVILLE,GUENE,ISSENE carré 9289",davidpascal@gmail.com,1948-06-17,+22953812941,enseignant-chercheur
Sébastien Besnard,Masculin,"ATACORA,MATERI,NODI,NODI carré 7145",sébastienbesnard@gmail.com,1932-11-15,+22959573254,ingénieur en caractérisation des matériaux
Franck Rocher,Masculin,"COLLINES,OUESSE,KILIBO,KILIBO-OLATA carré 0817",franckrocher@gmail.com,1966-12-23,+22964591607,conducteur opérateur opératrice de scierie
Frédérique Ribeiro,Féminin,"OUEME,SEME-PODJI,EKPE,EKPE KANHONNOU carré 3412",frédériqueribeiro@gmail.com,1960-03-01,+22997087831,administrateur de spectacle
Charlotte Lenoir,Féminin,"DONGA,DJOUGOU,DJOUGOU I,SASSIROU carré 3340",charlottelenoir@gmail.com,1933-05-29,+22996643638,charpentier métallique
Alain Vincent,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,DJIDJE AICHEDJI carré 8306",none,2022-04-18,none,none
Richard-Laurent Rivière,Masculin,"ALIBORI,KANDI,KANDI 2,MADINA carré 6209",richard-laurentrivière@gmail.com,1989-01-04,+22995711863,ethnologue
Xavier Monnier,Masculin,"DONGA,BASSILA,BASSILA,BASSILA ATONONKA carré 3703",xaviermonnier@gmail.com,1993-12-05,+22995367017,ingénieur intégration satellite
Marguerite Raynaud,Féminin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,BANIKANNI-ENI carré 5804",margueriteraynaud@gmail.com,1998-07-22,+22995234959,gestionnaire de contrats d'assurance
Laurent Marty,Masculin,"COUFFO,DOGBO,HONTON,AVEGODE carré 9208",laurentmarty@gmail.com,1969-01-29,+22950776137,climatologue
Mathilde Parent,Féminin,"ZOU,ABOMEY,VIDOLE,DOGUEME carré 5415",mathildeparent@gmail.com,1994-10-16,+22951461579,commercial export
Geneviève Petitjean,Féminin,"BORGOU,NIKKI,NIKKI,TONTAROU carré 6562",genevièvepetitjean@gmail.com,1942-02-08,+22959995504,bronzier
Guy Meunier Le Masse,Masculin,"ATLANTIQUE,KPOMASSE,AGBANTO,GOGOTINKPONME carré 3464",guymeunierlemasse@gmail.com,1996-03-02,+22996028711,secrétaire administratif
Corinne Letellier-Laine,Féminin,"MONO,HOUEYOGBE,DAHE,DJETOE carré 6322",corinneletellier-laine@gmail.com,1932-03-25,+22964296588,chargé hygiène sécurité environnement (HSE)
Adrienne Chevallier du Bonnet,Féminin,"DONGA,COPARGO,ANANDANA,KOUKOULBENDI carré 3333",adriennechevallierdubonnet@gmail.com,1943-02-04,+22954254590,technicien en optique de précision
Sébastien Carre,Masculin,"ATACORA,NATITINGOU,PERMA,TEPENTE carré 7293",sébastiencarre@gmail.com,1983-04-15,+22951283933,responsable de production alimentaire
Robert Colin,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,ROSE-CROIX BAH MORA carré 1490",robertcolin@gmail.com,1984-08-01,+22995340552,ingénieur RD en énergies renouvelables
Joseph du Colas,Masculin,"BORGOU,N'DALI,BORI,GOUNIN carré 4846",josephducolas@gmail.com,1990-01-23,+22964745189,ingénieur radioprotection
Zacharie Dupuy,Féminin,"COLLINES,GLAZOUE,ZAFFE,ADOUREKOMAN carré 6914",zachariedupuy@gmail.com,1996-07-09,+22964239440,garçon de café
Valentine Samson-Ferrand,Féminin,"PLATEAU,SAKETE,SAKETE 1,KOSSI carré 8688",valentinesamson-ferrand@gmail.com,2001-04-17,+22995564562,directeur de golf
Grégoire-Benoît Chartier,Masculin,"ALIBORI,KANDI,ANGARADEBOU,FAFA carré 0472",grégoire-benoîtchartier@gmail.com,1933-02-07,+22990968139,professeur dans l'enseignement agricole
Michel Grenier,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-GARE,AKADJAME carré 4355",michelgrenier@gmail.com,1978-01-16,+22964383617,professeur en activité physique adaptée
Bernard Moulin,Masculin,"COUFFO,DJAKOTOMEY,KINKINHOUE,SEGLAHOUE carré 5552",bernardmoulin@gmail.com,1978-12-15,+22991596597,professeur-documentaliste
Franck Bernard,Masculin,"ATACORA,MATERI,TANTEGA,TANHOUN carré 8597",franckbernard@gmail.com,1957-05-02,+22956292243,ouvrier plasturgiste
Laurence Richard,Féminin,"ATACORA,NATITINGOU,NATITINGOU II,OUROUBONNA carré 9753",laurencerichard@gmail.com,1967-09-29,+22995785645,manipulateur en électroradiologie médicale
Nathalie Aubry du Ferreira,Féminin,"DONGA,DJOUGOU,DJOUGOU III,ZEMBOUGOU-BERI carré 8376",none,2014-11-10,none,none
Alexandrie-Odette Schneider,Féminin,"MONO,GRAND-POPO,GBEHOUE,GBEHOUE PEDAH carré 2862",alexandrie-odetteschneider@gmail.com,1970-12-25,+22964586816,gestionnaire de données cliniques
Benoît Evrard,Masculin,"ZOU,BOHICON,BOHICON I,SEME carré 9648",benoîtevrard@gmail.com,1999-10-10,+22990678350,responsable du back office
Robert Bernard,Masculin,"ATLANTIQUE,TOFFO,TOFFO,GBEDE-AGONSA carré 6649",robertbernard@gmail.com,1953-08-28,+22964697248,bijoutier-joaillier
André Marchand,Masculin,"COLLINES,BANTE,BANTE,GBEGAMEY carré 1966",andrémarchand@gmail.com,1941-10-09,+22964325990,rédacteur territorial territoriale
Théophile Bernier de la Durand,Féminin,"ZOU,ZOGBODOMEY,DOME,DOME-GO carré 0209",théophilebernierdeladurand@gmail.com,1971-07-17,+22995826154,ingénieur opticien opticienne
Luce Chauveau,Féminin,"ZOU,ZA-KPOTA,ZEKO,DANTOTA carré 4663",lucechauveau@gmail.com,1981-03-06,+22964544565,directeur des services pénitentiaires
Juliette-Alexandria Delahaye,Féminin,"PLATEAU,SAKETE,AGUIDI,IBADJA SODJI carré 3862",juliette-alexandriadelahaye@gmail.com,1939-11-14,+22995892764,costumier
Georges du Besson,Masculin,"DONGA,DJOUGOU,BOUGOU,BOUGOU FANA carré 8197",georgesdubesson@gmail.com,1954-11-23,+22995308670,maître-chien
Roland-Rémy Lemonnier,Masculin,"OUEME,ADJARRA,ADJARRA 2,ADJINAN carré 2280",roland-rémylemonnier@gmail.com,1944-11-07,+22991854895,guichetier
Adélaïde Techer,Féminin,"ATACORA,NATITINGOU,NATITINGOU II,DASSAKATE carré 7539",none,2007-12-03,none,none
Jérôme Gomez,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,OUEDO,ADJAGBO carré 0770",none,2014-07-13,none,none
Diane Merle,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,ALEGLETA carré 7145",none,2008-05-08,none,none
Mathilde Roux,Féminin,"ATLANTIQUE,TORI-BOSSITO,AVAME,HOUNGO carré 6902",none,2020-11-08,none,none
Alain Julien,Masculin,"ALIBORI,GOGOUNOU,SORI,GOURE DANTCHA carré 5746",alainjulien@gmail.com,1966-02-15,+22951157039,technicien céramiste
Arthur-Yves Besnard,Masculin,"ATLANTIQUE,TORI-BOSSITO,AZOHOUE-CADA,AZOHOUE-CADA CENTRE carré 8899",arthur-yvesbesnard@gmail.com,1984-01-31,+22995479743,économètre statisticien
Vincent-Étienne Berthelot,Féminin,"COLLINES,GLAZOUE,AKLAMPA,ANTADJI carré 9909",vincent-étienneberthelot@gmail.com,1942-08-31,+22964608003,assistant en études de prix
Pierre Devaux Le Foucher,Féminin,"ATACORA,MATERI,DASSARI,TANKOUARI carré 0804",pierredevauxlefoucher@gmail.com,2002-07-14,+22964323214,encadreur
Tristan Philippe,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,DJEDJE-LAYE carré 2543",tristanphilippe@gmail.com,1965-10-06,+22964359718,formulateur
Thomas Gillet,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,AKONABOE carré 8400",none,2011-11-27,none,none
Roland Sauvage,Masculin,"ALIBORI,MALANVILLE,MADECALI,SENDE carré 6709",rolandsauvage@gmail.com,1958-02-18,+22964253713,monteur en installations thermiques et climatiques
Catherine Sauvage,Féminin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AHOGBOHOUE CITE DE L'EXPERIENCE carré 9339",none,2011-12-06,none,none
Denis Techer-Lacroix,Masculin,"ATACORA,MATERI,NODI,N'TCHIEGA carré 8713",none,2004-03-04,none,none
Émile Marques Le Pinto,Féminin,"BORGOU,TCHAOUROU,KIKA,KPASSA carré 5254",none,2004-03-19,none,none
Charles Grondin-Henry,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,DONATEN carré 6626",charlesgrondin-henry@gmail.com,1980-01-30,+22995826210,rédacteur territorial territoriale
Frédérique-Éléonore Valentin,Féminin,"ATACORA,KOUANDE,KOUANDE,DAROU-WIROU carré 0373",none,2012-08-10,none,none
Rémy Arnaud,Masculin,"ALIBORI,BANIKOARA,GOUMORI,DOMBOURE-GAH carré 0875",rémyarnaud@gmail.com,1996-02-29,+22995753785,ouvrier forestier forestière
Marguerite Hoarau,Féminin,"OUEME,ADJOHOUN,AKPADANOU,HOUEDO-AGUE carré 6959",margueritehoarau@gmail.com,1999-02-05,+22995717363,ouvrier paysagiste
Corinne Valette,Féminin,"PLATEAU,ADJA-OUERE,MASSE,TEFFI-OKEIGBALA carré 9552",corinnevalette@gmail.com,1976-05-24,+22990108431,analyste financier
Alphonse Dubois,Féminin,"BORGOU,BEMBEREKE,BOUANRI,BOUANRI-SONGOURA carré 5672",alphonsedubois@gmail.com,1933-12-30,+22964727668,monteur en installations thermiques et climatiques
Antoine Bourdon,Féminin,"PLATEAU,POBE,AHOYEYE,ITA-ADELEYE carré 0350",antoinebourdon@gmail.com,1982-02-08,+22995138175,machiniste-constructeur ou plateau
Denis Hardy,Masculin,"LITTORAL,COTONOU,8EME ARRONDISSEMENT,HOUENOUSSOU STE RITA carré 5818",none,2020-08-30,none,none
Alphonse Pereira-Picard,Féminin,"COLLINES,SAVE,KABOUA,BAAKO carré 8776",alphonsepereira-picard@gmail.com,1957-07-06,+22964066514,ingénieur brevets
Lucas Legendre,Masculin,"COLLINES,SAVE,SAKIN,DIHO-OGBO carré 1216",none,2013-04-17,none,none
Michèle-Charlotte Picard,Féminin,"ATLANTIQUE,TOFFO,COUSSI,ADJAHO carré 7999",none,2014-11-28,none,none
René Weiss,Masculin,"BORGOU,TCHAOUROU,ALAFIAROU,KOKO carré 5711",renéweiss@gmail.com,1943-06-22,+22966706301,inspecteur du permis de conduire et de la sécurité routière
Emmanuelle Lejeune de la Martinez,Féminin,"COLLINES,SAVALOU,LEMA,ZONGO carré 5626",emmanuellelejeunedelamartinez@gmail.com,1963-09-24,+22995533448,concepteur multimédia
Michèle Mercier-Munoz,Féminin,"MONO,BOPA,YEGODOE,TEKOZOUIN carré 1217",michèlemercier-munoz@gmail.com,1966-06-10,+22950930903,ingénieur combustion et brûleurs
Paul Auger,Masculin,"OUEME,AGUEGUES,HOUEDOME,AKPOLOUKOME carré 4946",none,2009-01-09,none,none
Émile Gallet,Féminin,"OUEME,SEME-PODJI,AGBLANGANDAN,AGBALILAME carré 2935",none,2009-11-12,none,none
Éric Sanchez,Masculin,"ATACORA,MATERI,NODI,MAHONTIKA carré 1831",éricsanchez@gmail.com,1964-12-24,+22964933673,conducteur de bus ou d'autocar
Noël Peron,Masculin,"OUEME,PORTO-NOVO,3EME ARRONDISSEMENT,AVAKPA KPODJI carré 1114",none,2014-04-02,none,none
